COFIPS,CYNAME,STUSPS,POPULATION20,URBANDESTINATION20,BEA10,HHS
01001,Autauga County,AL,58805,3,114,4
01003,Baldwin County,AL,231767,3,112,4
01005,Barbour County,AL,25223,2,48,4
01007,Bibb County,AL,22293,3,19,4
01009,Blount County,AL,59134,3,19,4
01011,Bullock County,AL,10357,1,114,4
01013,Butler County,AL,19051,1,114,4
01015,Calhoun County,AL,116441,3,19,4
01017,Chambers County,AL,34772,2,11,4
01019,Cherokee County,AL,24971,1,11,4
01021,Chilton County,AL,45014,3,19,4
01023,Choctaw County,AL,12665,1,80,4
01025,Clarke County,AL,23087,1,112,4
01027,Clay County,AL,14236,1,19,4
01029,Cleburne County,AL,15056,1,11,4
01031,Coffee County,AL,53465,2,48,4
01033,Colbert County,AL,57227,3,76,4
01035,Conecuh County,AL,11597,1,112,4
01037,Coosa County,AL,10387,2,114,4
01039,Covington County,AL,37570,1,48,4
01041,Crenshaw County,AL,13194,1,114,4
01043,Cullman County,AL,87866,2,19,4
01045,Dale County,AL,49326,2,48,4
01047,Dallas County,AL,38462,2,114,4
01049,DeKalb County,AL,71608,2,76,4
01051,Elmore County,AL,87977,3,114,4
01053,Escambia County,AL,36757,2,112,4
01055,Etowah County,AL,103436,3,76,4
01057,Fayette County,AL,16321,1,19,4
01059,Franklin County,AL,32113,1,76,4
01061,Geneva County,AL,26659,3,48,4
01063,Greene County,AL,7730,3,19,4
01065,Hale County,AL,14785,3,19,4
01067,Henry County,AL,17146,3,48,4
01069,Houston County,AL,107202,3,48,4
01071,Jackson County,AL,52579,2,76,4
01073,Jefferson County,AL,674721,3,19,4
01075,Lamar County,AL,13972,1,19,4
01077,Lauderdale County,AL,93564,3,76,4
01079,Lawrence County,AL,33073,3,76,4
01081,Lee County,AL,174241,3,39,4
01083,Limestone County,AL,103570,3,76,4
01085,Lowndes County,AL,10311,3,114,4
01087,Macon County,AL,19532,1,39,4
01089,Madison County,AL,388153,3,76,4
01091,Marengo County,AL,19323,1,112,4
01093,Marion County,AL,29341,1,19,4
01095,Marshall County,AL,97612,2,76,4
01097,Mobile County,AL,414809,3,112,4
01099,Monroe County,AL,19772,1,112,4
01101,Montgomery County,AL,228954,3,114,4
01103,Morgan County,AL,123421,3,76,4
01105,Perry County,AL,8511,1,114,4
01107,Pickens County,AL,19123,3,19,4
01109,Pike County,AL,33009,2,114,4
01111,Randolph County,AL,21967,1,11,4
01113,Russell County,AL,59183,3,39,4
01115,St. Clair County,AL,91103,3,19,4
01117,Shelby County,AL,223024,3,19,4
01119,Sumter County,AL,12345,1,80,4
01121,Talladega County,AL,82149,2,19,4
01123,Tallapoosa County,AL,41311,2,114,4
01125,Tuscaloosa County,AL,227036,3,19,4
01127,Walker County,AL,65342,2,19,4
01129,Washington County,AL,15388,3,112,4
01131,Wilcox County,AL,10600,1,112,4
01133,Winston County,AL,23540,1,19,4
02010,Aleutian Islands,AK,8652,1,8,10
02020,Anchorage Municipality,AK,291247,3,8,10
02050,Bethel Census Area,AK,18666,1,8,10
02060,Bristol Bay Borough,AK,844,1,8,10
02070,Dillingham Census Area,AK,4857,1,8,10
02090,Fairbanks North Star Borough,AK,95655,3,8,10
02100,Haines Borough,AK,2080,1,8,10
02110,Juneau City and Borough,AK,32255,2,8,10
02122,Kenai Peninsula Borough,AK,58799,1,8,10
02130,Ketchikan Gateway Borough,AK,13948,2,8,10
02150,Kodiak Island Borough,AK,13101,1,8,10
02158,Kusilvak Census Area,AK,8368,1,8,10
02164,Lake and Peninsual Borough,AK,1476,1,8,10
02170,Matanuska-Susitna Borough,AK,107081,3,8,10
02180,Nome Census Area,AK,10046,1,8,10
02185,North Slope Borough,AK,11031,1,8,10
02188,Northwest Arctic Borough,AK,7793,1,8,10
02220,Sitka City and Borough,AK,8458,1,8,10
02240,Southeast Fairbanks Census Area,AK,6808,1,8,10
02261,Valdez-Cordova,AK,9719,1,8,10
02290,Yukon-Koyukuk Census Area,AK,6962,1,8,10
02999,Skagway-Ketchikan Peninsula,AK,15545,1,8,10
04001,Apache County,AZ,66021,1,128,9
04003,Cochise County,AZ,125447,3,169,9
04005,Coconino County,AZ,145101,3,58,9
04007,Gila County,AZ,53272,2,128,9
04009,Graham County,AZ,38533,2,128,9
04011,Greenlee County,AZ,9563,1,128,9
04012,La Paz County,AZ,16557,1,97,9
04013,Maricopa County,AZ,4420568,3,128,9
04015,Mohave County,AZ,213267,3,92,9
04017,Navajo County,AZ,106717,2,128,9
04019,Pima County,AZ,1043433,3,169,9
04021,Pinal County,AZ,425264,3,128,9
04023,Santa Cruz County,AZ,47669,2,169,9
04025,Yavapai County,AZ,236209,3,128,9
04027,Yuma County,AZ,203881,3,97,9
05001,Arkansas County,AR,17149,1,96,6
05003,Ashley County,AR,19062,1,96,6
05005,Baxter County,AR,41627,2,159,6
05007,Benton County,AR,284333,3,57,6
05009,Boone County,AR,37373,2,159,6
05011,Bradley County,AR,10545,1,96,6
05013,Calhoun County,AR,4739,2,96,6
05015,Carroll County,AR,28260,1,159,6
05017,Chicot County,AR,10208,1,96,6
05019,Clark County,AR,21446,2,96,6
05021,Clay County,AR,14552,1,82,6
05023,Cleburne County,AR,24711,1,96,6
05025,Cleveland County,AR,7550,3,96,6
05027,Columbia County,AR,22801,2,96,6
05029,Conway County,AR,20715,1,96,6
05031,Craighead County,AR,111231,3,82,6
05033,Crawford County,AR,60133,3,59,6
05035,Crittenden County,AR,48163,3,105,6
05037,Cross County,AR,16833,1,105,6
05039,Dallas County,AR,6482,1,96,6
05041,Desha County,AR,11395,1,96,6
05043,Drew County,AR,17350,1,96,6
05045,Faulkner County,AR,123498,3,96,6
05047,Franklin County,AR,17097,3,59,6
