GEOID,AGE_GROUP,FERTILITY
01,15-19,21.46
01,20-24,83.13
01,25-29,111.61
01,30-34,85.51
01,35-39,39.15
01,40-44,7.72
02,15-19,16.5
02,20-24,86.33
02,25-29,107.24
02,30-34,94.18
02,35-39,53.2
02,40-44,13.02
04,15-19,14.99
04,20-24,62.32
04,25-29,94.52
04,30-34,89.43
04,35-39,47.27
04,40-44,10.75
05,15-19,24.95
05,20-24,93.93
05,25-29,112.7
05,30-34,81.6
05,35-39,36.5
05,40-44,7.62
06,15-19,9.69
06,20-24,44.91
06,25-29,74.04
06,30-34,91.35
06,35-39,63.27
06,40-44,16.52
08,15-19,11.42
08,20-24,51.56
08,25-29,75.98
08,30-34,90.24
08,35-39,54.76
08,40-44,12.19
09,15-19,6.89
09,20-24,32.12
09,25-29,72.51
09,30-34,111.71
09,35-39,66.08
09,40-44,14.31
10,15-19,13.84
10,20-24,60.23
10,25-29,94.2
10,30-34,95.52
10,35-39,54.36
10,40-44,12.97
11,15-19,13.28
11,20-24,35.87
11,25-29,36.83
11,30-34,65.49
11,35-39,68.55
11,40-44,22.82
12,15-19,13.21
12,20-24,56.86
12,25-29,89.45
12,30-34,92.1
12,35-39,53.49
12,40-44,12.89
13,15-19,16.77
13,20-24,68.4
13,25-29,95.54
13,30-34,89.49
13,35-39,48.06
13,40-44,11.27
15,15-19,11.85
15,20-24,65.6
15,25-29,92.13
15,30-34,93.96
15,35-39,61.54
15,40-44,16.92
16,15-19,11.44
16,20-24,78.49
16,25-29,121.19
16,30-34,96.11
16,35-39,45.66
16,40-44,10.02
17,15-19,11.37
17,20-24,48.11
17,25-29,80.4
17,30-34,97.97
17,35-39,55.95
17,40-44,12.11
18,15-19,16.6
18,20-24,73.48
18,25-29,113.85
18,30-34,96.78
18,35-39,44.29
18,40-44,9.13
19,15-19,12.49
19,20-24,58.5
19,25-29,124.22
19,30-34,112.51
19,35-39,46.9
19,40-44,9.21
20,15-19,16.07
20,20-24,68.19
20,25-29,114.95
20,30-34,106.08
20,35-39,47.5
20,40-44,9.25
21,15-19,21.78
21,20-24,87.72
21,25-29,112.69
21,30-34,88.7
21,35-39,41.25
21,40-44,8.13
22,15-19,23.64
22,20-24,89.0
22,25-29,112.92
22,30-34,87.36
