TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2085-2089,30-34,MALE,29574
2030-2034,70-74,FEMALE,-59
2040-2044,70-74,FEMALE,-1471
2095-2099,85+,FEMALE,258
2040-2044,50-54,MALE,2704
,80-84,MALE,326
2075-2079,75-79,FEMALE,-3389
2075-2079,40-44,MALE,22599
2085-2089,25-29,MALE,25727
2050-2054,0-4,FEMALE,4336
2055-2059,0-4,FEMALE,4347
2035-2039,5-9,FEMALE,4976
2040-2044,20-24,FEMALE,12303
2070-2074,45-49,FEMALE,-2294
2040-2044,30-34,MALE,26373
2025-2029,5-9,MALE,1826
2065-2069,20-24,FEMALE,10258
2060-2064,35-39,MALE,24565
2090-2094,85+,MALE,185
2025-2029,0-4,FEMALE,4262
2055-2059,65-69,FEMALE,-4086
2090-2094,15-19,FEMALE,9269
2050-2054,35-39,MALE,26498
2040-2044,65-69,FEMALE,-1585
2030-2034,20-24,FEMALE,8131
,35-39,MALE,24129
2045-2049,85+,MALE,218
2075-2079,20-24,MALE,17958
2085-2089,30-34,FEMALE,19311
2030-2034,65-69,FEMALE,-852
2025-2029,5-9,FEMALE,233
2040-2044,5-9,MALE,6979
2060-2064,85+,FEMALE,341
2040-2044,30-34,MALE,26049
2035-2039,40-44,FEMALE,6824
2095-2099,5-9,FEMALE,5523
2050-2054,75-79,FEMALE,-1192
2090-2094,30-34,FEMALE,18896
2095-2099,55-59,FEMALE,-4110
2055-2059,40-44,MALE,22559
2025-2029,40-44,MALE,10552
2040-2044,15-19,MALE,11074
2035-2039,85+,MALE,65
2095-2099,25-29,MALE,26776
2070-2074,85+,MALE,188
2045-2049,80-84,FEMALE,-645
2060-2064,85+,MALE,362
2075-2079,65-69,MALE,-2405
2085-2089,25-29,MALE,28582
2080-2084,35-39,FEMALE,18558
2070-2074,80-84,MALE,-3964
2045-2049,25-29,FEMALE,17244
2030-2034,50-54,FEMALE,-2490
2070-2074,20-24,FEMALE,13690
2075-2079,75-79,MALE,-4390
2045-2049,80-84,MALE,-1130
2065-2069,0-4,MALE,5589
2085-2089,60-64,FEMALE,-4122
2045-2049,60-64,FEMALE,-1957
2022-2024,25-29,FEMALE,31591
2045-2049,85+,FEMALE,316
2025-2029,0-4,FEMALE,564
2080-2084,55-59,FEMALE,-3977
2025-2029,5-9,FEMALE,1924
2055-2059,15-19,MALE,11489
2090-2094,20-24,FEMALE,12486
2030-2034,10-14,FEMALE,4140
2022-2024,60-64,FEMALE,4333
2050-2054,45-49,MALE,10573
2095-2099,25-29,MALE,25615
2060-2064,15-19,MALE,13073
2090-2094,45-49,FEMALE,1584
2050-2054,55-59,FEMALE,-3336
2095-2099,60-64,FEMALE,-4463
2060-2064,15-19,MALE,10378
2035-2039,15-19,MALE,8194
2055-2059,5-9,FEMALE,5642
2090-2094,10-14,MALE,8374
2035-2039,75-79,FEMALE,-770
2025-2029,10-14,MALE,3396
2045-2049,60-64,FEMALE,-3328
2055-2059,70-74,FEMALE,-2272
2080-2084,35-39,FEMALE,18071
2060-2064,10-14,MALE,7592
2080-2084,50-54,FEMALE,-3917
2095-2099,10-14,MALE,7743
2035-2039,15-19,FEMALE,7044
2055-2059,85+,FEMALE,300
2085-2089,5-9,MALE,7043
2030-2034,85+,FEMALE,196
2095-2099,70-74,FEMALE,-4064
2075-2079,85+,FEMALE,333
2035-2039,0-4,FEMALE,4081
2085-2089,35-39,MALE,26995
2090-2094,20-24,MALE,17896
,40-44,FEMALE,12192
2030-2034,65-69,FEMALE,-614
2060-2064,15-19,FEMALE,7476
2080-2084,55-59,FEMALE,-4259
2085-2089,50-54,FEMALE,-4283
2090-2094,85+,FEMALE,329
2025-2029,20-24,MALE,12257
2040-2044,85+,FEMALE,284
2045-2049,25-29,FEMALE,15928
2040-2044,75-79,MALE,-427
2070-2074,0-4,MALE,5591
2045-2049,80-84,MALE,-1082
2085-2089,85+,FEMALE,-2348
2025-2029,35-39,MALE,9676
2035-2039,35-39,MALE,21104
2090-2094,75-79,MALE,-5357
2022-2024,65-69,MALE,6156
2040-2044,75-79,FEMALE,-1634
2065-2069,60-64,MALE,1563
2095-2099,5-9,MALE,7226
2025-2029,20-24,FEMALE,6825
2040-2044,50-54,MALE,438
2055-2059,70-74,FEMALE,-1539
2085-2089,85+,MALE,412
2085-2089,65-69,MALE,-2801
2070-2074,20-24,MALE,16301
2035-2039,45-49,MALE,5589
2045-2049,35-39,FEMALE,16742
2080-2084,80-84,FEMALE,-2422
2085-2089,85+,MALE,41
2065-2069,25-29,MALE,28346
2090-2094,85+,MALE,561
2060-2064,15-19,FEMALE,9197
2055-2059,0-4,FEMALE,4454
2022-2024,50-54,FEMALE,6183
2085-2089,70-74,FEMALE,-4075
2030-2034,85+,MALE,331
2070-2074,85+,FEMALE,317
2080-2084,50-54,MALE,2359
2065-2069,85+,FEMALE,254
2040-2044,60-64,FEMALE,-2173
2060-2064,55-59,MALE,2890
2095-2099,55-59,MALE,2308
2075-2079,50-54,FEMALE,-4331
2022-2024,50-54,MALE,15209
2095-2099,35-39,FEMALE,18154
2030-2034,70-74,FEMALE,-794
2085-2089,85+,MALE,57
2075-2079,85+,FEMALE,300
2090-2094,15-19,MALE,11745
2055-2059,35-39,FEMALE,15714
2060-2064,0-4,MALE,5585
2070-2074,60-64,MALE,-996
2070-2074,85+,FEMALE,343
2022-2024,30-34,MALE,45099
2080-2084,30-34,FEMALE,19300
2030-2034,0-4,MALE,4894
2085-2089,15-19,FEMALE,9302
2065-2069,35-39,MALE,25137
2040-2044,10-14,FEMALE,5708
2055-2059,85+,FEMALE,341
2040-2044,20-24,MALE,17146
2090-2094,75-79,MALE,-5381
2035-2039,15-19,FEMALE,6411
2040-2044,25-29,FEMALE,16992
2030-2034,40-44,MALE,16021
2050-2054,70-74,FEMALE,-2183
2060-2064,55-59,FEMALE,-3677
2085-2089,65-69,FEMALE,-4602
2095-2099,30-34,MALE,29755
2025-2029,70-74,FEMALE,-155
2045-2049,40-44,MALE,13284
2075-2079,25-29,FEMALE,18884
2030-2034,15-19,MALE,9023
2055-2059,10-14,FEMALE,5884
2060-2064,60-64,MALE,589
2085-2089,0-4,MALE,4788
