GEOID,AGE_GROUP,SEX,PERCENT_OF_AGE_SEX_COHORT
49,55-59,MALE,0.00181255604951829
26,70-74,FEMALE,0.00563206457014532
38,45-49,MALE,0.00001797194160963553
40,65-69,FEMALE,0.0007425866189175779
12,85+,FEMALE,0.2075605573033268
36,30-34,FEMALE,0.1067916138249582
44,30-34,FEMALE,0.000220639926759035
37,35-39,MALE,0.008623337405565017
21,60-64,MALE,0.000384091089811627
54,30-34,MALE,0.000019846310844652525
50,75-79,FEMALE,0.000020947077676479172
01,20-24,MALE,0.0007085410431932059
51,20-24,FEMALE,0.01470079175425378
19,10-14,MALE,0.0006932237510396422
34,50-54,MALE,0.018206114765381674
19,5-9,MALE,0.0006932237510396422
27,5-9,FEMALE,0.0036411009882091096
17,0-4,MALE,0.020734279276848806
49,85+,FEMALE,0.0007661845459886848
50,70-74,FEMALE,6.867139873944447e-6
08,15-19,MALE,0.006349070360660217
26,15-19,FEMALE,0.011437813141795304
47,20-24,MALE,0.0017970166577248197
05,80-84,MALE,0.00021512324864220636
54,30-34,FEMALE,0.000011704897913560203
26,75-79,FEMALE,0.0092121551078036
01,0-4,MALE,0.0006803660610640486
20,0-4,FEMALE,0.0006310954505143093
50,80-84,MALE,0.000017549057867174334
55,70-74,MALE,0.0009448295007480111
36,65-69,MALE,0.07929942916701964
18,35-39,FEMALE,0.0016444499127909896
35,15-19,FEMALE,0.00041608985895037303
19,30-34,FEMALE,0.000424169304931189
20,30-34,MALE,0.0010801708220446317
01,60-64,FEMALE,0.0007146205533426614
12,80-84,MALE,0.20177841364162358
51,25-29,FEMALE,0.016619187584254836
53,65-69,FEMALE,0.011121157991704303
29,20-24,FEMALE,0.0021609209586070997
33,30-34,FEMALE,0.00009623830864811326
56,70-74,FEMALE,0.0
28,30-34,MALE,0.00009329964383009251
20,30-34,FEMALE,0.0007111972532617733
35,45-49,MALE,0.0006074811855201706
02,85+,FEMALE,0.00003146887693877731
01,55-59,FEMALE,0.0006056693097063929
18,5-9,FEMALE,0.001875749415265181
40,35-39,FEMALE,0.0008735314472298677
06,85+,MALE,0.4139859598791414
41,55-59,MALE,0.0018192870240283643
06,30-34,MALE,0.4000861934294303
19,0-4,MALE,0.0005875807332705389
39,70-74,FEMALE,0.004892410769147493
05,15-19,MALE,0.00025478185121189815
32,5-9,MALE,0.0009090805072776891
31,60-64,FEMALE,0.00015299923308229342
56,60-64,FEMALE,1.0877266190565412e-6
27,30-34,FEMALE,0.003514187266086732
53,65-69,MALE,0.011055511122140331
17,80-84,FEMALE,0.016330778496307267
15,65-69,FEMALE,0.0010431579192002418
72,15-19,MALE,0.00004485119829044499
21,65-69,MALE,0.000577816898194535
19,35-39,MALE,0.0004785104016928049
39,15-19,FEMALE,0.008114349541482057
17,75-79,FEMALE,0.016330778496307267
35,20-24,FEMALE,0.0005154502436740852
31,5-9,FEMALE,0.0002532292916202639
15,55-59,FEMALE,0.001011595158014691
48,40-44,FEMALE,0.16981078097474694
25,25-29,MALE,0.016559829726031743
37,60-64,MALE,0.007898023484852261
72,50-54,MALE,0.00004896156709849294
23,60-64,FEMALE,0.00007008738075420848
30,30-34,FEMALE,0.000010958336458377485
38,20-24,FEMALE,0.00005667570580066769
38,20-24,MALE,0.00006399591197042444
41,75-79,FEMALE,0.0015545319216131112
35,10-14,MALE,0.00045709212309340014
42,75-79,FEMALE,0.014269777725547906
47,5-9,MALE,0.0025175243882893466
19,55-59,MALE,0.0004046019206585431
31,30-34,MALE,0.0002167911017929162
13,45-49,FEMALE,0.00824372551908948
33,15-19,MALE,0.0001312940830858392
10,40-44,FEMALE,0.00005702087869650548
05,60-64,MALE,0.000047909828703702196
18,0-4,MALE,0.0019218607583578195
02,25-29,MALE,0.0001081551427450626
42,75-79,MALE,0.015074033541079734
55,80-84,FEMALE,0.0012716854484736745
22,50-54,MALE,0.0012997751127795363
55,75-79,MALE,0.0013084356696053396
23,75-79,MALE,0.00007626450201095742
28,70-74,MALE,0.00009819911389388674
01,35-39,FEMALE,0.0007307010582714046
26,35-39,MALE,0.008111113112385718
38,70-74,MALE,0.000014598883584341729
06,55-59,MALE,0.4067842797170986
13,55-59,MALE,0.009440893657868373
09,15-19,MALE,0.0023967414785059987
44,75-79,MALE,0.00016033689075546114
49,0-4,MALE,0.0010390578156896243
39,60-64,FEMALE,0.005817376555381696
15,5-9,MALE,0.0012104234445887735
34,40-44,MALE,0.016080001354452134
54,40-44,MALE,0.00002495388829521672
35,0-4,MALE,0.00048703010239941014
30,85+,FEMALE,0.00003314019361025194
18,60-64,FEMALE,0.0016557656355788424
11,80-84,FEMALE,0.00010069383457187518
25,55-59,FEMALE,0.01595018028138678
40,0-4,MALE,0.0007707078638863529
26,0-4,FEMALE,0.01044238076022584
30,45-49,FEMALE,9.041545728747715e-6
