ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,SEX,MIGRATION_RATE
01,02,0-4,FEMALE,1.4378467136267402e-05
01,02,0-4,MALE,1.2735213749265415e-05
01,02,25-29,FEMALE,3.839115748535432e-05
01,02,25-29,MALE,3.400359662988525e-05
01,02,5-9,FEMALE,3.2392316187210406e-06
01,02,5-9,MALE,2.869033719438636e-06
01,04,0-4,FEMALE,1.4063112492496278e-05
01,04,0-4,MALE,1.982898861441975e-05
01,04,20-24,FEMALE,8.822273675414938e-05
01,04,20-24,MALE,0.00012439405882335062
01,04,25-29,FEMALE,4.7395366917302906e-05
01,04,25-29,MALE,6.68274673533971e-05
01,04,35-39,FEMALE,7.217315374518672e-05
01,04,35-39,MALE,0.00010176414678071329
01,04,5-9,FEMALE,5.52531885360166e-05
01,04,5-9,MALE,7.79069958357834e-05
01,04,60-64,FEMALE,1.5352712448148133e-05
01,04,60-64,MALE,2.1647324551888868e-05
01,04,75-79,FEMALE,1.3724073629490335e-05
01,04,75-79,MALE,1.9350943817581373e-05
01,06,0-4,FEMALE,1.4353294113756475e-05
01,06,0-4,MALE,1.276038677177634e-05
01,06,20-24,FEMALE,0.00026313284152616425
01,06,20-24,MALE,0.00023393074813483574
01,06,25-29,FEMALE,0.00048117841273165806
01,06,25-29,MALE,0.00042777794449294187
01,06,35-39,FEMALE,0.00020066052492403018
01,06,35-39,MALE,0.0001783915167880698
01,06,45-49,FEMALE,5.251006045021808e-05
01,06,45-49,MALE,4.668257164130366e-05
01,06,5-9,FEMALE,0.00022699595073096297
01,06,5-9,MALE,0.000201804276007837
01,06,55-59,FEMALE,6.164025321615376e-05
01,06,55-59,MALE,5.479950912414624e-05
01,06,60-64,FEMALE,6.588314174599468e-05
01,06,60-64,MALE,5.85715281632053e-05
01,06,65-69,FEMALE,2.158209876196546e-05
01,06,65-69,MALE,1.9186949376687673e-05
01,06,75-79,FEMALE,8.22926492211027e-05
01,06,75-79,MALE,7.315993278009727e-05
01,08,0-4,FEMALE,8.191929651430806e-05
01,08,0-4,MALE,8.754120902019194e-05
01,08,20-24,FEMALE,5.8335490729714686e-05
01,08,20-24,MALE,6.23389067601853e-05
01,08,25-29,FEMALE,0.0001469853680709384
01,08,25-29,MALE,0.00015707259921306162
01,08,35-39,FEMALE,2.3797198408714008e-05
01,08,35-39,MALE,2.5430339475978692e-05
01,08,45-49,FEMALE,1.6710176280820766e-05
01,08,45-49,MALE,1.7856953084406508e-05
01,08,5-9,FEMALE,5.196946888655545e-05
01,08,5-9,MALE,5.553600106504455e-05
01,09,20-24,FEMALE,5.5512391298172446e-05
01,09,20-24,MALE,3.6430006789425666e-05
01,11,20-24,FEMALE,7.767281449177181e-05
01,11,20-24,MALE,3.1508783237228185e-05
