ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,SEX,MIGRATION_RATE
01,02,0-4,FEMALE,6.898285828089287e-05
01,02,0-4,MALE,6.109910304879083e-05
01,02,25-29,FEMALE,0.00018418735119348292
01,02,25-29,MALE,0.00016313736819994202
01,02,5-9,FEMALE,1.5540700797625355e-05
01,02,5-9,MALE,1.3764620706468172e-05
01,04,0-4,FEMALE,3.065035672745328e-05
01,04,0-4,MALE,4.321700298570912e-05
01,04,20-24,FEMALE,0.00019228021922100812
01,04,20-24,MALE,0.00027111510910162145
01,04,25-29,FEMALE,0.00010329753843745385
01,04,25-29,MALE,0.00014564952919680994
01,04,35-39,FEMALE,0.00015730037782287826
01,04,35-39,MALE,0.00022179353273025837
01,04,5-9,FEMALE,0.0001204235506088546
01,04,5-9,MALE,0.00016979720635848497
01,04,60-64,FEMALE,3.3461021770311164e-05
01,04,60-64,MALE,4.718004069613874e-05
01,04,75-79,FEMALE,2.9911426273675922e-05
01,04,75-79,MALE,4.217511104588305e-05
01,06,0-4,FEMALE,2.026283248807123e-05
01,06,0-4,MALE,1.801409332173397e-05
01,06,20-24,FEMALE,0.0003714698972722048
01,06,20-24,MALE,0.0003302447177419959
01,06,25-29,FEMALE,0.000679289192904712
01,06,25-29,MALE,0.0006039026834296068
01,06,35-39,FEMALE,0.00028327647794851356
01,06,35-39,MALE,0.0002518388735938456
01,06,45-49,FEMALE,7.412950298437085e-05
01,06,45-49,MALE,6.590272043359938e-05
01,06,5-9,FEMALE,0.00032045472549215346
01,06,5-9,MALE,0.00028489113423825095
01,06,55-59,FEMALE,8.701877879337441e-05
01,06,55-59,MALE,7.736156348575648e-05
01,06,60-64,FEMALE,9.300854942472566e-05
01,06,60-64,MALE,8.268659823558547e-05
01,06,65-69,FEMALE,3.046788064738289e-05
01,06,65-69,MALE,2.708660033687381e-05
01,06,75-79,FEMALE,0.00011617417945673268
01,06,75-79,MALE,0.00010328134092513823
01,08,0-4,FEMALE,0.00036769754333548413
01,08,0-4,MALE,0.0003929316884663506
01,08,20-24,FEMALE,0.00026184083046708735
01,08,20-24,MALE,0.00027981029922463256
01,08,25-29,FEMALE,0.000659748814328578
01,08,25-29,MALE,0.0007050256937432844
01,08,35-39,FEMALE,0.000106814532905845
01,08,35-39,MALE,0.00011414494202683436
01,08,45-49,FEMALE,7.500419350021527e-05
01,08,45-49,MALE,8.015154011297516e-05
01,08,5-9,FEMALE,0.00023326672531542945
01,08,5-9,MALE,0.0002492752260723707
01,09,20-24,FEMALE,
01,09,20-24,MALE,
01,11,20-24,FEMALE,6.890779878831821e-05
01,11,20-24,MALE,2.7953163659412104e-05
01,11,25-29,FEMALE,4.9751891330005726e-05
01,11,25-29,MALE,2.0182371011228735e-05
01,11,75-79,FEMALE,3.966181773926704e-05
01,11,75-79,MALE,1.608922795083474e-05
01,12,0-4,FEMALE,0.0011069036506805032
01,12,0-4,MALE,0.0011643774940812213
01,12,20-24,FEMALE,0.0026169633481197612
01,12,20-24,MALE,0.002752844137349056
01,12,25-29,FEMALE,0.002013562887833628
01,12,25-29,MALE,0.0021181132685480658
01,12,35-39,FEMALE,0.0009919472434170666
01,12,35-39,MALE,0.001043452196440645
01,12,45-49,FEMALE,0.000858221378221163
01,12,45-49,MALE,0.0009027828728595695
01,12,5-9,FEMALE,0.0009429485595286145
01,12,5-9,MALE,0.0009919093501195232
01,12,55-59,FEMALE,0.0005749696182563162
01,12,55-59,MALE,0.000604823809973471
01,12,60-64,FEMALE,0.0007300938688018535
01,12,60-64,MALE,0.0007680025889127189
01,12,65-69,FEMALE,0.0004718878931544628
01,12,65-69,MALE,0.0004963897645297907
01,12,75-79,FEMALE,0.00045288642714850076
01,12,75-79,MALE,0.0004764016839427498
01,13,0-4,FEMALE,0.0006235026036422501
01,13,0-4,MALE,0.0007041875597458195
01,13,20-24,FEMALE,0.0017605727858498261
01,13,20-24,MALE,0.0019884014061532914
01,13,25-29,FEMALE,0.0012412353212569085
01,13,25-29,MALE,0.001401858575794714
01,13,35-39,FEMALE,0.0006668789701795588
01,13,35-39,MALE,0.000753177086853029
01,13,45-49,FEMALE,0.00031275659662707584
01,13,45-49,MALE,0.00035322916582333286
01,13,5-9,FEMALE,0.0006028773079342088
01,13,5-9,MALE,0.0006808932277432943
01,13,55-59,FEMALE,0.00020576569731725318
01,13,55-59,MALE,0.00023239300594223662
01,13,60-64,FEMALE,0.00020705044817460012
01,13,60-64,MALE,0.00023384401122406156
01,13,65-69,FEMALE,6.793924294993942e-05
01,13,65-69,MALE,7.673098624516205e-05
01,13,75-79,FEMALE,0.00020012448114952692
01,13,75-79,MALE,0.00022602178275255914
01,15,0-4,FEMALE,2.1309121693598187e-05
01,15,0-4,MALE,2.8236778540488132e-05
01,15,20-24,FEMALE,8.516257900972013e-05
01,15,20-24,MALE,0.00011284917877008182
01,15,25-29,FEMALE,9.717529966239622e-05
01,15,25-29,MALE,0.000128767269511488
01,15,35-39,FEMALE,9.211617453071096e-06
01,15,35-39,MALE,1.2206340822588037e-05
01,15,45-49,FEMALE,7.424499540322892e-06
01,15,45-49,MALE,9.8382257283291e-06
01,15,5-9,FEMALE,1.7556457470491704e-05
01,15,5-9,MALE,2.3264112368305886e-05
01,15,75-79,FEMALE,4.4561557040817785e-06
01,15,75-79,MALE,5.904864760141287e-06
01,16,20-24,MALE,0.00010267960270229096
01,17,0-4,FEMALE,0.00010905453477182412
01,17,0-4,MALE,0.00014841256235864788
01,17,20-24,FEMALE,0.00013776995005789806
01,17,20-24,MALE,0.00018749143579307933
01,17,25-29,FEMALE,0.00020503170019348625
01,17,25-29,MALE,0.00027902810327083466
01,17,35-39,FEMALE,0.0001314818000877926
01,17,35-39,MALE,0.00017893387831496586
01,17,45-49,FEMALE,1.9912685457339386e-05
01,17,45-49,MALE,2.709921855472503e-05
01,17,5-9,FEMALE,1.54153342336577e-05
01,17,5-9,MALE,2.0978763130015365e-05
01,17,55-59,FEMALE,1.1599626997146196e-05
01,17,55-59,MALE,1.578595854498843e-05
01,17,65-69,FEMALE,6.203554002063961e-05
01,17,65-69,MALE,8.442430634387798e-05
01,17,75-79,FEMALE,8.138413444591282e-05
01,17,75-79,MALE,0.00011075585214067835
01,18,0-4,FEMALE,0.00013999136771736508
01,18,0-4,MALE,0.0001032946014225218
01,18,20-24,FEMALE,0.00014241307309585948
01,18,20-24,MALE,0.00010508149082801282
01,18,25-29,FEMALE,0.0005581830353156186
01,18,25-29,MALE,0.00041186321052414575
01,18,45-49,FEMALE,6.828588265140009e-05
01,18,45-49,MALE,5.038569982045055e-05
01,18,5-9,FEMALE,0.00019174950424075097
01,18,5-9,MALE,0.00014148507109026286
01,18,55-59,FEMALE,0.00011391029759377688
01,18,55-59,MALE,8.405031667113633e-05
01,20,0-4,FEMALE,0.0004248293771483923
01,20,0-4,MALE,0.0016285126124021708
01,21,0-4,FEMALE,0.00020168976515721546
01,21,0-4,MALE,0.0002752028571304062
01,21,20-24,FEMALE,0.0008146804848649602
01,21,20-24,MALE,0.0011116201008437776
01,21,25-29,FEMALE,0.0004223692501198635
01,21,25-29,MALE,0.0005763169207242999
01,21,35-39,FEMALE,0.00010913823019329956
01,21,35-39,MALE,0.00014891758512356764
01,21,5-9,FEMALE,0.00010691148061530685
01,21,5-9,MALE,0.00014587921654051218
01,22,0-4,FEMALE,0.0004297453291141405
01,22,0-4,MALE,0.000499983275377957
01,22,20-24,FEMALE,0.0003703546216691712
01,22,20-24,MALE,0.00043088569961940147
01,22,25-29,FEMALE,0.0002659749178654851
01,22,25-29,MALE,0.0003094460872370484
01,22,35-39,FEMALE,0.00018852320103540936
01,22,35-39,MALE,0.00021933559518313222
01,22,45-49,FEMALE,6.317144718403033e-05
01,22,45-49,MALE,7.349624285281811e-05
01,22,5-9,FEMALE,1.5404744224598218e-05
01,22,5-9,MALE,1.792250887205944e-05
01,22,55-59,FEMALE,4.2932067771754214e-05
01,22,55-59,MALE,4.994892185918072e-05
01,22,65-69,FEMALE,2.1840325146130033e-05
01,22,65-69,MALE,2.5409926675389998e-05
01,24,20-24,FEMALE,0.0009524137209810279
01,24,20-24,MALE,0.0009091221882091628
01,24,25-29,FEMALE,4.166241193796588e-05
01,24,25-29,MALE,3.97686659407856e-05
01,24,35-39,FEMALE,4.6744376422435416e-05
01,24,35-39,MALE,4.4619632039597445e-05
01,24,45-49,FEMALE,8.951857083119124e-05
01,24,45-49,MALE,8.544954488431893e-05
01,25,20-24,FEMALE,7.953287911559419e-05
01,25,20-24,MALE,3.767346905475514e-05
01,25,25-29,FEMALE,0.0006531408708992104
01,25,25-29,MALE,0.00030938251779436275
01,26,20-24,FEMALE,0.00011071895367712225
01,26,20-24,MALE,4.316840071165777e-05
01,26,25-29,FEMALE,0.0005407267503474225
01,26,25-29,MALE,0.0002108248701715582
01,26,35-39,FEMALE,0.00011592695252813592
01,26,35-39,MALE,4.5198956220356236e-05
01,26,5-9,FEMALE,0.00046291875382059106
01,26,5-9,MALE,0.00018048817838492356
01,28,0-4,FEMALE,0.0001692556182045649
01,28,0-4,MALE,0.0001413994056965545
01,28,20-24,FEMALE,0.000706631475391529
01,28,20-24,MALE,0.0005903335542225851
01,28,25-29,FEMALE,0.0005848505515669974
01,28,25-29,MALE,0.0004885954232427669
01,28,35-39,FEMALE,0.00023526632751512627
01,28,35-39,MALE,0.0001965460245511224
01,28,45-49,FEMALE,0.0002574469870233156
01,28,45-49,MALE,0.00021507617501634937
01,28,5-9,FEMALE,0.00022894700590673006
01,28,5-9,MALE,0.00019126674148027824
01,28,55-59,FEMALE,0.00015467040362290434
01,28,55-59,MALE,0.0001292146363182586
01,28,60-64,FEMALE,0.00011017954123632707
01,28,60-64,MALE,9.204611235950976e-05
01,28,65-69,FEMALE,4.5072468751546915e-05
01,28,65-69,MALE,3.765440912597943e-05
01,28,75-79,FEMALE,5.861053333795054e-05
01,28,75-79,MALE,4.8964369215371696e-05
01,29,20-24,FEMALE,6.520761657884439e-05
01,29,20-24,MALE,0.00010660927789874558
01,29,25-29,FEMALE,0.00017647118780820113
01,29,25-29,MALE,0.0002885163864165828
01,29,5-9,FEMALE,5.0830198113490856e-05
01,29,5-9,MALE,8.310333977285013e-05
01,32,0-4,FEMALE,7.06216858446627e-05
01,32,0-4,MALE,4.464589335007412e-05
01,32,20-24,FEMALE,5.986947309885647e-05
01,32,20-24,MALE,3.784851747628857e-05
01,32,25-29,FEMALE,3.943803292043987e-05
01,32,25-29,MALE,2.4932089777289577e-05
01,32,35-39,FEMALE,0.00011129210570810079
01,32,35-39,MALE,7.035707832121315e-05
01,32,45-49,FEMALE,5.710680179893386e-05
01,32,45-49,MALE,3.610200113725704e-05
01,32,5-9,FEMALE,4.6419477702453926e-05
01,32,5-9,MALE,2.934564682339041e-05
01,32,65-69,FEMALE,3.135458377162562e-05
01,32,65-69,MALE,1.982186330390126e-05
01,32,75-79,FEMALE,2.9729812756803004e-05
01,32,75-79,MALE,1.8794709214070863e-05
01,35,20-24,MALE,0.0008223981928908598
01,35,35-39,MALE,0.0004696811805526716
01,36,0-4,FEMALE,0.00013786872565798992
01,36,0-4,MALE,0.00017425075048440396
01,36,20-24,FEMALE,0.00012905289429135847
01,36,20-24,MALE,0.0001631085191738003
01,36,25-29,FEMALE,0.00030403632703771395
01,36,25-29,MALE,0.0003842681355615552
01,36,35-39,FEMALE,7.926614669662904e-05
01,36,35-39,MALE,0.00010018360207490617
01,36,45-49,FEMALE,6.368417307084858e-06
01,36,45-49,MALE,8.048971874232254e-06
01,36,5-9,FEMALE,4.3483371600936264e-05
01,36,5-9,MALE,5.495815021785001e-05
01,36,55-59,FEMALE,4.154930149453172e-05
01,36,55-59,MALE,5.251370050003315e-05
01,37,0-4,FEMALE,0.00041468090909789593
01,37,0-4,MALE,0.0003488972161152685
01,37,20-24,FEMALE,0.0004330894139786014
01,37,20-24,MALE,0.000364385452889164
01,37,25-29,FEMALE,0.0005316669808418913
