GEOID,AGE_GROUP,SEX,index,MORTALITY_RATE_100K
01,0-4,FEMALE,109549.0,161.24
01,0-4,MALE,109548.0,203.62000000000003
02,0-4,FEMALE,109551.0,131.36
02,0-4,MALE,109550.0,169.82
04,0-4,FEMALE,109553.0,122.28000000000002
04,0-4,MALE,109552.0,145.14
05,0-4,FEMALE,109555.0,174.14
05,0-4,MALE,109554.0,195.52
06,0-4,FEMALE,109557.0,85.5
06,0-4,MALE,109556.0,101.08000000000001
08,0-4,FEMALE,109559.0,102.58000000000001
08,0-4,MALE,109558.0,115.16000000000001
09,0-4,FEMALE,109561.0,87.4
09,0-4,MALE,109560.0,116.92
10,0-4,FEMALE,109563.0,137.58
10,0-4,MALE,109562.0,151.6
11,0-4,FEMALE,109565.0,122.42
11,0-4,MALE,109564.0,137.56
12,0-4,FEMALE,109567.0,127.60000000000001
12,0-4,MALE,109566.0,154.0
13,0-4,FEMALE,109569.0,148.28
13,0-4,MALE,109568.0,170.82
15,0-4,FEMALE,109571.0,103.24000000000001
15,0-4,MALE,109570.0,130.35999999999999
16,0-4,FEMALE,109573.0,110.64
16,0-4,MALE,109572.0,123.92000000000002
17,0-4,FEMALE,109575.0,116.9
17,0-4,MALE,109574.0,140.01999999999998
18,0-4,FEMALE,109577.0,145.72000000000003
18,0-4,MALE,109576.0,174.14000000000001
19,0-4,FEMALE,109579.0,94.16
19,0-4,MALE,109578.0,132.62
20,0-4,FEMALE,109581.0,128.56
20,0-4,MALE,109580.0,150.42000000000002
21,0-4,FEMALE,109583.0,137.58
21,0-4,MALE,109582.0,152.26000000000002
22,0-4,FEMALE,109585.0,168.56
22,0-4,MALE,109584.0,194.64000000000004
23,0-4,FEMALE,109587.0,129.64
23,0-4,MALE,109586.0,136.24
24,0-4,FEMALE,109589.0,128.16
24,0-4,MALE,109588.0,144.04000000000002
25,0-4,FEMALE,109591.0,68.8
25,0-4,MALE,109590.0,88.48
26,0-4,FEMALE,109593.0,135.54
26,0-4,MALE,109592.0,158.58
27,0-4,FEMALE,109595.0,100.34000000000002
27,0-4,MALE,109594.0,116.08000000000001
28,0-4,FEMALE,109597.0,186.92000000000002
28,0-4,MALE,109596.0,240.76
29,0-4,FEMALE,109599.0,130.94
29,0-4,MALE,109598.0,159.12000000000003
30,0-4,FEMALE,109601.0,109.24000000000001
30,0-4,MALE,109600.0,138.94
31,0-4,FEMALE,109603.0,118.36
31,0-4,MALE,109602.0,144.54000000000002
32,0-4,FEMALE,109605.0,109.04
32,0-4,MALE,109604.0,137.3
33,0-4,FEMALE,109607.0,77.60000000000001
33,0-4,MALE,109606.0,97.42000000000002
34,0-4,FEMALE,109609.0,80.18
34,0-4,MALE,109608.0,98.84000000000002
35,0-4,FEMALE,109611.0,118.24000000000001
35,0-4,MALE,109610.0,136.56
36,0-4,FEMALE,109613.0,86.12
36,0-4,MALE,109612.0,104.52000000000001
37,0-4,FEMALE,109615.0,145.56
37,0-4,MALE,109614.0,174.94000000000003
38,0-4,FEMALE,109617.0,97.92
38,0-4,MALE,109616.0,141.46
39,0-4,FEMALE,109619.0,147.72
39,0-4,MALE,109618.0,176.02
40,0-4,FEMALE,109621.0,146.06000000000003
40,0-4,MALE,109620.0,174.44
41,0-4,FEMALE,109623.0,85.76
41,0-4,MALE,109622.0,111.8
42,0-4,FEMALE,109625.0,120.86000000000001
42,0-4,MALE,109624.0,142.16000000000003
44,0-4,FEMALE,109627.0,86.88000000000001
44,0-4,MALE,109626.0,120.84
45,0-4,FEMALE,109629.0,155.98000000000002
45,0-4,MALE,109628.0,175.45999999999998
46,0-4,FEMALE,109631.0,163.22
46,0-4,MALE,109630.0,165.9
47,0-4,FEMALE,109633.0,136.44
47,0-4,MALE,109632.0,179.54
48,0-4,FEMALE,109635.0,121.28000000000002
48,0-4,MALE,109634.0,144.48000000000002
49,0-4,FEMALE,109637.0,108.50000000000001
49,0-4,MALE,109636.0,127.91999999999999
50,0-4,FEMALE,109639.0,68.7
50,0-4,MALE,109638.0,91.47999999999999
51,0-4,FEMALE,109641.0,125.20000000000002
51,0-4,MALE,109640.0,145.0
53,0-4,FEMALE,109643.0,96.0
53,0-4,MALE,109642.0,112.04
54,0-4,FEMALE,109645.0,137.58
54,0-4,MALE,109644.0,180.18
55,0-4,FEMALE,109647.0,127.82
55,0-4,MALE,109646.0,138.04000000000002
56,0-4,FEMALE,109649.0,125.26
56,0-4,MALE,109648.0,130.08
01,5-9,FEMALE,1123.0,15.699999999999998
01,5-9,MALE,1122.0,19.9
02,5-9,FEMALE,2636.0,10.0
02,5-9,MALE,2635.0,23.8
04,5-9,FEMALE,3265.0,10.2
04,5-9,MALE,3264.0,14.3
05,5-9,FEMALE,4795.0,14.2
05,5-9,MALE,4794.0,19.1
06,5-9,FEMALE,7056.0,8.2
06,5-9,MALE,7055.0,9.2
08,5-9,FEMALE,9130.0,8.0
08,5-9,MALE,9129.0,12.1
09,5-9,FEMALE,10235.0,6.7
09,5-9,MALE,10234.0,8.4
10,5-9,FEMALE,10303.0,10.5
10,5-9,MALE,10302.0,12.699999999999998
11,5-9,FEMALE,10371.0,10.5
11,5-9,MALE,10370.0,12.7
12,5-9,FEMALE,11527.0,11.3
12,5-9,MALE,11526.0,13.7
13,5-9,FEMALE,15352.0,11.6
13,5-9,MALE,15351.0,15.900000000000002
15,5-9,FEMALE,18123.0,8.7
15,5-9,MALE,18122.0,10.2
16,5-9,FEMALE,18956.0,12.5
16,5-9,MALE,18955.0,13.6
17,5-9,FEMALE,21438.0,11.6
17,5-9,MALE,21437.0,12.4
18,5-9,FEMALE,24736.0,11.6
18,5-9,MALE,24735.0,16.4
19,5-9,FEMALE,29650.5,9.8
19,5-9,MALE,29648.5,15.7
20,5-9,FEMALE,34817.0,14.0
20,5-9,MALE,34816.0,12.3
21,5-9,FEMALE,38642.0,14.5
21,5-9,MALE,38641.0,15.8
22,5-9,FEMALE,41770.0,13.6
22,5-9,MALE,41769.0,19.1
23,5-9,FEMALE,43130.0,7.2
23,5-9,MALE,43129.0,9.2
