GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
01,0-4,MALE,203.62000000000003
01,0-4,FEMALE,161.24
02,0-4,MALE,169.82
02,0-4,FEMALE,131.36
04,0-4,MALE,145.14
04,0-4,FEMALE,122.28000000000002
05,0-4,MALE,195.52
05,0-4,FEMALE,174.14
06,0-4,MALE,101.08000000000001
06,0-4,FEMALE,85.5
08,0-4,MALE,115.16000000000001
08,0-4,FEMALE,102.58000000000001
09,0-4,MALE,116.92
09,0-4,FEMALE,87.4
10,0-4,MALE,151.6
10,0-4,FEMALE,137.58
11,0-4,MALE,137.56
11,0-4,FEMALE,122.42
12,0-4,MALE,154.0
12,0-4,FEMALE,127.60000000000001
13,0-4,MALE,170.82
13,0-4,FEMALE,148.28
15,0-4,MALE,130.35999999999999
15,0-4,FEMALE,103.24000000000001
16,0-4,MALE,123.92000000000002
16,0-4,FEMALE,110.64
17,0-4,MALE,140.01999999999998
17,0-4,FEMALE,116.9
18,0-4,MALE,174.14000000000001
18,0-4,FEMALE,145.72000000000003
19,0-4,MALE,132.62
19,0-4,FEMALE,94.16
20,0-4,MALE,150.42000000000002
20,0-4,FEMALE,128.56
21,0-4,MALE,152.26000000000002
21,0-4,FEMALE,137.58
22,0-4,MALE,194.64000000000004
22,0-4,FEMALE,168.56
23,0-4,MALE,136.24
23,0-4,FEMALE,129.64
24,0-4,MALE,144.04000000000002
24,0-4,FEMALE,128.16
25,0-4,MALE,88.48
25,0-4,FEMALE,68.8
26,0-4,MALE,158.58
26,0-4,FEMALE,135.54
27,0-4,MALE,116.08000000000001
27,0-4,FEMALE,100.34000000000002
28,0-4,MALE,240.76
28,0-4,FEMALE,186.92000000000002
29,0-4,MALE,159.12000000000003
29,0-4,FEMALE,130.94
30,0-4,MALE,138.94
30,0-4,FEMALE,109.24000000000001
31,0-4,MALE,144.54000000000002
31,0-4,FEMALE,118.36
32,0-4,MALE,137.3
32,0-4,FEMALE,109.04
33,0-4,MALE,97.42000000000002
33,0-4,FEMALE,77.60000000000001
34,0-4,MALE,98.84000000000002
34,0-4,FEMALE,80.18
35,0-4,MALE,136.56
35,0-4,FEMALE,118.24000000000001
36,0-4,MALE,104.52000000000001
36,0-4,FEMALE,86.12
37,0-4,MALE,174.94000000000003
37,0-4,FEMALE,145.56
38,0-4,MALE,141.46
38,0-4,FEMALE,97.92
39,0-4,MALE,176.02
39,0-4,FEMALE,147.72
40,0-4,MALE,174.44
40,0-4,FEMALE,146.06000000000003
41,0-4,MALE,111.8
41,0-4,FEMALE,85.76
42,0-4,MALE,142.16000000000003
42,0-4,FEMALE,120.86000000000001
44,0-4,MALE,120.84
44,0-4,FEMALE,86.88000000000001
45,0-4,MALE,175.45999999999998
45,0-4,FEMALE,155.98000000000002
46,0-4,MALE,165.9
46,0-4,FEMALE,163.22
47,0-4,MALE,179.54
47,0-4,FEMALE,136.44
48,0-4,MALE,144.48000000000002
48,0-4,FEMALE,121.28000000000002
49,0-4,MALE,127.91999999999999
49,0-4,FEMALE,108.50000000000001
50,0-4,MALE,91.47999999999999
50,0-4,FEMALE,68.7
51,0-4,MALE,145.0
51,0-4,FEMALE,125.20000000000002
53,0-4,MALE,112.04
53,0-4,FEMALE,96.0
54,0-4,MALE,180.18
54,0-4,FEMALE,137.58
55,0-4,MALE,138.04000000000002
55,0-4,FEMALE,127.82
56,0-4,MALE,130.08
56,0-4,FEMALE,125.26
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
