GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
01,0-4,FEMALE,156.16802189541158
01,0-4,MALE,201.5627410939649
02,0-4,FEMALE,134.5540794127004
02,0-4,MALE,178.24526675957003
04,0-4,FEMALE,127.09041009113973
04,0-4,MALE,137.5066938946348
05,0-4,FEMALE,194.11142968767737
05,0-4,MALE,188.6451637382067
06,0-4,FEMALE,86.360017530704
06,0-4,MALE,103.84236482954367
08,0-4,FEMALE,93.1115214557624
08,0-4,MALE,114.52736484897432
09,0-4,FEMALE,89.01535988294076
09,0-4,MALE,113.44827246417292
10,0-4,FEMALE,117.55723706951962
10,0-4,MALE,148.20552611809921
11,0-4,FEMALE,180.32147430517688
11,0-4,MALE,121.36682299350502
12,0-4,FEMALE,127.50314725574506
12,0-4,MALE,149.50315822188534
13,0-4,FEMALE,146.17271637014073
13,0-4,MALE,178.56849191298045
15,0-4,FEMALE,95.84910646701515
15,0-4,MALE,121.03344941469273
16,0-4,FEMALE,96.1855002662769
16,0-4,MALE,114.8355067268592
17,0-4,FEMALE,115.35043895106973
17,0-4,MALE,148.94095960206442
18,0-4,FEMALE,137.24790026096903
18,0-4,MALE,170.49490136359728
19,0-4,FEMALE,101.14923094388806
19,0-4,MALE,139.16283080842115
20,0-4,FEMALE,136.66027529100887
20,0-4,MALE,148.37401317309536
21,0-4,FEMALE,162.43989648572045
21,0-4,MALE,157.48035214586935
22,0-4,FEMALE,155.50741924925325
22,0-4,MALE,186.0734119231042
23,0-4,FEMALE,103.9591691955398
23,0-4,MALE,134.36859509829833
24,0-4,FEMALE,123.65469869404303
24,0-4,MALE,133.2694863648763
25,0-4,FEMALE,61.7211996172188
25,0-4,MALE,82.22407776182403
26,0-4,FEMALE,129.34222509594247
26,0-4,MALE,150.57044873890067
27,0-4,FEMALE,110.70704109781204
27,0-4,MALE,110.18032918421892
28,0-4,FEMALE,190.6598943366978
28,0-4,MALE,214.62282849013798
29,0-4,FEMALE,131.1368220187281
29,0-4,MALE,151.4351069128985
30,0-4,FEMALE,117.416544678766
30,0-4,MALE,140.15242618463603
31,0-4,FEMALE,131.99943853503748
31,0-4,MALE,159.2757191214674
32,0-4,FEMALE,101.46723641825275
32,0-4,MALE,161.8810622396952
33,0-4,FEMALE,73.95283359956554
33,0-4,MALE,96.48806714525992
34,0-4,FEMALE,72.7380068296588
34,0-4,MALE,95.59402736401886
35,0-4,FEMALE,123.54635470797398
35,0-4,MALE,120.8626629898292
36,0-4,FEMALE,88.25546692042688
36,0-4,MALE,100.52575388570828
37,0-4,FEMALE,140.9244097528377
37,0-4,MALE,170.48028017364786
38,0-4,FEMALE,104.41089984086926
38,0-4,MALE,131.58713442338527
39,0-4,FEMALE,145.07796427165508
39,0-4,MALE,187.3148504593375
40,0-4,FEMALE,149.30899589265204
40,0-4,MALE,183.41651117701943
41,0-4,FEMALE,93.20255530917098
41,0-4,MALE,120.10517810264345
42,0-4,FEMALE,117.01088148308045
42,0-4,MALE,133.84740355007168
44,0-4,FEMALE,92.98613211580441
44,0-4,MALE,113.7981437802828
45,0-4,FEMALE,164.42753425552394
45,0-4,MALE,171.68888590518463
46,0-4,FEMALE,118.59543287760435
46,0-4,MALE,160.3543881161974
47,0-4,FEMALE,144.5815538376144
47,0-4,MALE,186.15414832961378
48,0-4,FEMALE,117.82343820299363
48,0-4,MALE,147.18208369581876
49,0-4,FEMALE,111.28027312476104
49,0-4,MALE,126.10106908140132
50,0-4,FEMALE,73.76588068887473
50,0-4,MALE,96.24414511926412
51,0-4,FEMALE,115.716802731474
51,0-4,MALE,141.62999079865102
53,0-4,FEMALE,103.97197326507062
53,0-4,MALE,122.7594762081143
54,0-4,FEMALE,116.81216966300335
54,0-4,MALE,148.66820004260305
55,0-4,FEMALE,134.55651202648568
55,0-4,MALE,134.06636008117573
56,0-4,FEMALE,105.93102271346822
56,0-4,MALE,128.7538792187968
01,5-9,FEMALE,14.302177390998674
01,5-9,MALE,21.55122620561444
02,5-9,FEMALE,10.791548276596636
02,5-9,MALE,12.152644455626842
04,5-9,FEMALE,11.062406671005077
04,5-9,MALE,18.50260938778725
05,5-9,FEMALE,11.699382158039711
