GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
01,0-4,FEMALE,159.42000000000002
01,0-4,MALE,205.76000000000002
02,0-4,FEMALE,138.4
02,0-4,MALE,183.34
04,0-4,FEMALE,129.82
04,0-4,MALE,140.46
05,0-4,FEMALE,197.44000000000003
05,0-4,MALE,191.88
06,0-4,FEMALE,87.03999999999999
06,0-4,MALE,104.66000000000001
08,0-4,FEMALE,96.26
08,0-4,MALE,118.4
09,0-4,FEMALE,91.30000000000001
09,0-4,MALE,116.36
10,0-4,FEMALE,119.52000000000001
10,0-4,MALE,150.68
11,0-4,FEMALE,183.58
11,0-4,MALE,123.56
12,0-4,FEMALE,131.56
12,0-4,MALE,154.26000000000002
13,0-4,FEMALE,149.26000000000002
13,0-4,MALE,182.34000000000003
15,0-4,FEMALE,98.04
15,0-4,MALE,123.80000000000001
16,0-4,FEMALE,98.30000000000001
16,0-4,MALE,117.36
17,0-4,FEMALE,117.10000000000001
17,0-4,MALE,151.2
18,0-4,FEMALE,138.54000000000002
18,0-4,MALE,172.1
19,0-4,FEMALE,104.04
19,0-4,MALE,143.14000000000001
20,0-4,FEMALE,137.9
20,0-4,MALE,149.72
21,0-4,FEMALE,164.42000000000002
21,0-4,MALE,159.4
22,0-4,FEMALE,159.14
22,0-4,MALE,190.42000000000002
23,0-4,FEMALE,106.32000000000001
23,0-4,MALE,137.42
24,0-4,FEMALE,127.58000000000001
24,0-4,MALE,137.5
25,0-4,FEMALE,63.88
25,0-4,MALE,85.1
26,0-4,FEMALE,131.12
26,0-4,MALE,152.64000000000001
27,0-4,FEMALE,113.50000000000001
27,0-4,MALE,112.96000000000001
28,0-4,FEMALE,193.66
28,0-4,MALE,218.0
29,0-4,FEMALE,132.44
29,0-4,MALE,152.94
30,0-4,FEMALE,120.02000000000001
30,0-4,MALE,143.26
31,0-4,FEMALE,136.76000000000002
31,0-4,MALE,165.02
32,0-4,FEMALE,104.4
32,0-4,MALE,166.56
33,0-4,FEMALE,76.2
33,0-4,MALE,99.42
34,0-4,FEMALE,73.96000000000001
34,0-4,MALE,97.2
35,0-4,FEMALE,127.97999999999999
35,0-4,MALE,125.2
36,0-4,FEMALE,89.62
36,0-4,MALE,102.08000000000001
37,0-4,FEMALE,145.14
37,0-4,MALE,175.58
38,0-4,FEMALE,107.96000000000001
38,0-4,MALE,136.06
39,0-4,FEMALE,146.60000000000002
39,0-4,MALE,189.28000000000003
40,0-4,FEMALE,151.64
40,0-4,MALE,186.28000000000003
41,0-4,FEMALE,95.48000000000002
41,0-4,MALE,123.04000000000002
42,0-4,FEMALE,119.12000000000002
42,0-4,MALE,136.26
44,0-4,FEMALE,96.06000000000002
44,0-4,MALE,117.56
45,0-4,FEMALE,168.02
45,0-4,MALE,175.44000000000003
46,0-4,FEMALE,123.54000000000002
46,0-4,MALE,167.04000000000002
47,0-4,FEMALE,147.32
47,0-4,MALE,189.68
48,0-4,FEMALE,121.20000000000002
48,0-4,MALE,151.4
49,0-4,FEMALE,116.38
49,0-4,MALE,131.88
50,0-4,FEMALE,76.2
50,0-4,MALE,99.42
51,0-4,FEMALE,117.98
51,0-4,MALE,144.4
53,0-4,FEMALE,105.48
53,0-4,MALE,124.53999999999999
54,0-4,FEMALE,115.80000000000001
54,0-4,MALE,147.38
55,0-4,FEMALE,137.26000000000002
55,0-4,MALE,136.76000000000002
56,0-4,FEMALE,107.96000000000001
56,0-4,MALE,131.22000000000003
01,5-9,FEMALE,14.6
01,5-9,MALE,22.0
02,5-9,FEMALE,11.1
02,5-9,MALE,12.5
04,5-9,FEMALE,11.3
04,5-9,MALE,18.9
05,5-9,FEMALE,11.9
05,5-9,MALE,22.9
06,5-9,FEMALE,8.0
06,5-9,MALE,8.1
08,5-9,FEMALE,10.7
08,5-9,MALE,10.9
09,5-9,FEMALE,8.6
09,5-9,MALE,8.2
10,5-9,FEMALE,9.5
10,5-9,MALE,14.4
11,5-9,FEMALE,9.5
11,5-9,MALE,14.4
12,5-9,FEMALE,12.0
12,5-9,MALE,15.3
13,5-9,FEMALE,15.2
13,5-9,MALE,14.7
15,5-9,FEMALE,8.8
15,5-9,MALE,9.8
16,5-9,FEMALE,11.1
16,5-9,MALE,12.5
17,5-9,FEMALE,13.4
17,5-9,MALE,15.7
18,5-9,FEMALE,11.2
18,5-9,MALE,17.7
19,5-9,FEMALE,12.2
19,5-9,MALE,19.3
20,5-9,FEMALE,12.2
20,5-9,MALE,15.2
21,5-9,FEMALE,14.6
21,5-9,MALE,16.6
22,5-9,FEMALE,14.3
22,5-9,MALE,25.6
23,5-9,FEMALE,8.6
23,5-9,MALE,8.2
24,5-9,FEMALE,10.8
24,5-9,MALE,14.5
25,5-9,FEMALE,8.6
25,5-9,MALE,8.2
26,5-9,FEMALE,7.7
26,5-9,MALE,16.3
27,5-9,FEMALE,11.0
27,5-9,MALE,15.6
28,5-9,FEMALE,14.6
28,5-9,MALE,28.0
29,5-9,FEMALE,12.9
29,5-9,MALE,15.9
30,5-9,FEMALE,10.7
30,5-9,MALE,10.9
31,5-9,FEMALE,12.2
31,5-9,MALE,15.2
32,5-9,FEMALE,8.8
32,5-9,MALE,9.8
33,5-9,FEMALE,8.6
33,5-9,MALE,8.2
34,5-9,FEMALE,7.8
34,5-9,MALE,9.2
35,5-9,FEMALE,11.9
35,5-9,MALE,13.9
36,5-9,FEMALE,10.8
36,5-9,MALE,11.7
37,5-9,FEMALE,16.6
37,5-9,MALE,15.0
38,5-9,FEMALE,10.7
38,5-9,MALE,10.9
39,5-9,FEMALE,11.1
39,5-9,MALE,18.0
40,5-9,FEMALE,19.8
40,5-9,MALE,13.9
41,5-9,FEMALE,11.1
41,5-9,MALE,12.5
42,5-9,FEMALE,9.3
42,5-9,MALE,13.2
44,5-9,FEMALE,8.6
44,5-9,MALE,8.2
45,5-9,FEMALE,13.7
45,5-9,MALE,19.4
46,5-9,FEMALE,10.7
46,5-9,MALE,10.9
47,5-9,FEMALE,21.7
47,5-9,MALE,14.0
48,5-9,FEMALE,10.1
48,5-9,MALE,11.4
49,5-9,FEMALE,10.7
49,5-9,MALE,10.9
50,5-9,FEMALE,8.6
50,5-9,MALE,8.2
51,5-9,FEMALE,10.2
51,5-9,MALE,15.3
