year,age,sex,number_of_people
2021,16,female,2162524.0
2021,16,male,2220148.0
2021,17,female,2162443.0
2021,17,male,2217818.0
2021,18,female,1907687.0
2021,18,male,1937372.0
2021,19,female,1907284.0
2021,19,male,1937599.0
2021,20,female,2097819.0
2021,20,male,2097408.0
2021,21,female,2095420.0
2021,21,male,2092833.0
2021,22,female,2079284.0
2021,22,male,2070933.0
2021,23,female,2075233.0
2021,23,male,2062682.0
2021,24,female,2077163.0
2021,24,male,2061064.0
2021,25,female,2128095.0
2021,25,male,2145387.0
2021,26,female,2158419.0
2021,26,male,2173349.0
2021,27,female,2197332.0
2021,27,male,2209431.0
2021,28,female,2246215.0
2021,28,male,2256115.0
2021,29,female,2296854.0
2021,29,male,2291634.0
2021,30,female,2328066.0
2021,30,male,2309411.0
2021,31,female,2323421.0
2021,31,male,2305387.0
2021,32,female,2278291.0
2021,32,male,2258689.0
2021,33,female,2233376.0
2021,33,male,2216406.0
2021,34,female,2202760.0
2021,34,male,2192021.0
2021,35,female,2185368.0
2021,35,male,2146954.0
2021,36,female,2178568.0
2021,36,male,2135850.0
2021,37,female,2157875.0
2021,37,male,2109797.0
2021,38,female,2168994.0
2021,38,male,2119303.0
2021,39,female,2166112.0
2021,39,male,2111014.0
2021,40,female,2157503.0
2021,40,male,2097767.0
2021,41,female,2128885.0
2021,41,male,2067698.0
2021,42,female,2060250.0
2021,42,male,1992052.0
2021,43,female,2023949.0
2021,43,male,1948186.0
2021,44,female,1983333.0
2021,44,male,1903220.0
2021,45,female,1951887.0
2021,45,male,1868369.0
2021,46,female,1945568.0
2021,46,male,1860840.0
2021,47,female,1933347.0
2021,47,male,1845273.0
2021,48,female,1956696.0
2021,48,male,1864427.0
2021,49,female,2039428.0
2021,49,male,1947019.0
2021,50,female,2137435.0
2021,50,male,2055183.0
2021,51,female,2134270.0
2021,51,male,2049856.0
2021,52,female,2059067.0
2021,52,male,1973357.0
2021,53,female,2020813.0
2021,53,male,1929715.0
2021,54,female,2023336.0
2021,54,male,1918814.0
2021,55,female,2051475.0
2021,55,male,1956020.0
2021,56,female,2131713.0
2021,56,male,2017556.0
2021,57,female,2184107.0
2021,57,male,2055496.0
2021,58,female,2195477.0
2021,58,male,2059046.0
2021,59,female,2200146.0
2021,59,male,2053805.0
2021,60,female,2264745.0
2021,60,male,2118656.0
2021,61,female,2240220.0
2021,61,male,2084312.0
2021,62,female,2161868.0
2021,62,male,1983338.0
2021,63,female,2147583.0
2021,63,male,1955715.0
2021,64,female,2114500.0
2021,64,male,1908903.0
2021,65,female,2054255.0
2021,65,male,1849088.0
2021,66,female,2004771.0
2021,66,male,1787434.0
2021,67,female,1941886.0
2021,67,male,1715874.0
2021,68,female,1879071.0
2021,68,male,1644512.0
2021,69,female,1814943.0
2021,69,male,1574026.0
2021,70,female,1737472.0
2021,70,male,1503267.0
2021,71,female,1668357.0
2021,71,male,1431477.0
2021,72,female,1625309.0
2021,72,male,1389095.0
2021,73,female,1618821.0
2021,73,male,1382402.0
2021,74,female,1533978.0
2021,74,male,1308706.0
2021,75,female,1274893.0
2021,75,male,1112152.0
2021,76,female,1123381.0
2021,76,male,956111.0
2021,77,female,1109567.0
2021,77,male,933394.0
2021,78,female,1075346.0
2021,78,male,892139.0
2021,79,female,968221.0
2021,79,male,789033.0
2021,80,female,858412.0
2021,80,male,683836.0
2021,81,female,782887.0
2021,81,male,609753.0
2021,82,female,727353.0
2021,82,male,554347.0
2021,83,female,669225.0
2021,83,male,500377.0
2021,84,female,600213.0
2021,84,male,440821.0
2021,85,female,548592.0
2021,85,male,392100.0
2021,86,female,496387.0
2021,86,male,340645.0
2021,87,female,436192.0
2021,87,male,287483.0
2021,88,female,392297.0
2021,88,male,248103.0
2021,89,female,352160.0
2021,89,male,212730.0
2021,90,female,313067.0
2021,90,male,179761.0
2021,91,female,270806.0
2021,91,male,146190.0
2021,92,female,227664.0
2021,92,male,114963.0
2021,93,female,191947.0
2021,93,male,90392.0
2021,94,female,154985.0
2021,94,male,67844.0
2021,95,female,122815.0
2021,95,male,49562.0
2021,96,female,96008.0
2021,96,male,35851.0
2021,97,female,72151.0
2021,97,male,25124.0
2021,98,female,52400.0
2021,98,male,16876.0
2021,99,female,37247.0
2021,99,male,11048.0
2021,100+,female,64685.0
2021,100+,male,15292.0
2022,16,female,2276736.0
2022,16,male,2321709.0
2022,17,female,2256277.0
2022,17,male,2298304.0
2022,18,female,1944276.0
2022,18,male,2018712.0
2022,19,female,1940735.0
2022,19,male,2014299.0
2022,20,female,2079640.0
2022,20,male,2071308.0
2022,21,female,2106686.0
2022,21,male,2099211.0
2022,22,female,2105768.0
2022,22,male,2096280.0
2022,23,female,2091320.0
2022,23,male,2076285.0
2022,24,female,2088616.0
2022,24,male,2069946.0
2022,25,female,2087472.0
2022,25,male,2073328.0
2022,26,female,2112110.0
2022,26,male,2096607.0
2022,27,female,2142517.0
2022,27,male,2124479.0
2022,28,female,2181456.0
2022,28,male,2159700.0
2022,29,female,2229474.0
2022,29,male,2204916.0
2022,30,female,2286834.0
2022,30,male,2265507.0
2022,31,female,2328163.0
2022,31,male,2295290.0
2022,32,female,2323867.0
2022,32,male,2292779.0
2022,33,female,2278634.0
2022,33,male,2246504.0
2022,34,female,2233534.0
2022,34,male,2204953.0
2022,35,female,2206653.0
2022,35,male,2192136.0
2022,36,female,2207760.0
2022,36,male,2196168.0
2022,37,female,2200283.0
2022,37,male,2184338.0
2022,38,female,2177923.0
2022,38,male,2156377.0
2022,39,female,2187412.0
2022,39,male,2164012.0
2022,40,female,2191978.0
2022,40,male,2169723.0
2022,41,female,2179034.0
2022,41,male,2153677.0
2022,42,female,2149465.0
2022,42,male,2122547.0
2022,43,female,2078462.0
2022,43,male,2043497.0
2022,44,female,2040089.0
2022,44,male,1996586.0
2022,45,female,2002278.0
2022,45,male,1956926.0
2022,46,female,1958239.0
2022,46,male,1909983.0
2022,47,female,1950223.0
2022,47,male,1900418.0
2022,48,female,1935900.0
2022,48,male,1881989.0
2022,49,female,1957388.0
2022,49,male,1898712.0
2022,50,female,2051141.0
2022,50,male,2016096.0
2022,51,female,2140671.0
2022,51,male,2109796.0
2022,52,female,2136832.0
2022,52,male,2103725.0
2022,53,female,2060778.0
2022,53,male,2024189.0
2022,54,female,2021607.0
2022,54,male,1978222.0
2022,55,female,2014996.0
2022,55,male,1971625.0
2022,56,female,2059221.0
2022,56,male,2004691.0
2022,57,female,2138360.0
2022,57,male,2065788.0
2022,58,female,2189313.0
2022,58,male,2102244.0
2022,59,female,2199140.0
2022,59,male,2103681.0
2022,60,female,2213263.0
2022,60,male,2129318.0
2022,61,female,2213749.0
2022,61,male,2119694.0
2022,62,female,2208857.0
2022,62,male,2078366.0
2022,63,female,2166561.0
2022,63,male,2023862.0
2022,64,female,2150600.0
2022,64,male,1992789.0
2022,65,female,2069217.0
2022,65,male,1915026.0
2022,66,female,2007972.0
2022,66,male,1837732.0
2022,67,female,1957907.0
2022,67,male,1773909.0
2022,68,female,1894676.0
2022,68,male,1700379.0
2022,69,female,1831255.0
2022,69,male,1626979.0
2022,70,female,1776168.0
2022,70,male,1572548.0
2022,71,female,1687294.0
2022,71,male,1477901.0
2022,72,female,1617388.0
2022,72,male,1404097.0
2022,73,female,1572509.0
2022,73,male,1359024.0
2022,74,female,1562664.0
2022,74,male,1348450.0
2022,75,female,1400626.0
2022,75,male,1245700.0
