year,age,sex,number_of_people
2020,0,female,1813416.0
2020,0,male,1896481.0
2020,1,female,1844364.0
2020,1,male,1925910.0
2020,2,female,1886940.0
2020,2,male,1974201.0
2020,3,female,1925859.0
2020,3,male,2017892.0
2020,4,female,1974368.0
2020,4,male,2063925.0
2020,5,female,1989558.0
2020,5,male,2078205.0
2020,6,female,1981426.0
2020,6,male,2078523.0
2020,7,female,1980061.0
2020,7,male,2069210.0
2020,8,female,1982852.0
2020,8,male,2079435.0
2020,9,female,1996029.0
2020,9,male,2100083.0
2020,10,female,2041692.0
2020,10,male,2143052.0
2020,11,female,2095651.0
2020,11,male,2198245.0
2020,12,female,2161711.0
2020,12,male,2269244.0
2020,13,female,2153375.0
2020,13,male,2260117.0
2020,14,female,2122117.0
2020,14,male,2218927.0
2020,15,female,2100429.0
2020,15,male,2191743.0
2020,16,female,2107565.0
2020,16,male,2192148.0
2020,17,female,2088173.0
2020,17,male,2166183.0
2020,18,female,2088518.0
2020,18,male,2148072.0
2020,19,female,2114184.0
2020,19,male,2139829.0
2020,20,female,2101640.0
2020,20,male,2108030.0
2020,21,female,2077370.0
2020,21,male,2071251.0
2020,22,female,2073817.0
2020,22,male,2059984.0
2020,23,female,2082340.0
2020,23,male,2067539.0
2020,24,female,2099789.0
2020,24,male,2092044.0
2020,25,female,2140551.0
2020,25,male,2131278.0
2020,26,female,2185292.0
2020,26,male,2180944.0
2020,27,female,2230343.0
2020,27,male,2220231.0
2020,28,female,2287664.0
2020,28,male,2264915.0
2020,29,female,2319438.0
2020,29,male,2289899.0
2020,30,female,2317651.0
2020,30,male,2285251.0
2020,31,female,2261606.0
2020,31,male,2235245.0
2020,32,female,2225544.0
2020,32,male,2200567.0
2020,33,female,2206119.0
2020,33,male,2192550.0
2020,34,female,2210405.0
2020,34,male,2201128.0
2020,35,female,2197688.0
2020,35,male,2185210.0
2020,36,female,2176953.0
2020,36,male,2160092.0
2020,37,female,2201670.0
2020,37,male,2181911.0
2020,38,female,2197611.0
2020,38,male,2174332.0
2020,39,female,2179321.0
2020,39,male,2158044.0
2020,40,female,2142398.0
2020,40,male,2114830.0
2020,41,female,2084168.0
2020,41,male,2050113.0
2020,42,female,2037679.0
2020,42,male,2000870.0
2020,43,female,2011424.0
2020,43,male,1968204.0
2020,44,female,1963475.0
2020,44,male,1923518.0
2020,45,female,1963551.0
2020,45,male,1917998.0
2020,46,female,1947947.0
2020,46,male,1901013.0
2020,47,female,1982263.0
2020,47,male,1935695.0
2020,48,female,2078515.0
2020,48,male,2039619.0
2020,49,female,2177633.0
2020,49,male,2155137.0
2020,50,female,2125450.0
2020,50,male,2099496.0
2020,51,female,2070598.0
2020,51,male,2043250.0
2020,52,female,2033842.0
2020,52,male,2000546.0
2020,53,female,2054422.0
2020,53,male,2010776.0
2020,54,female,2101200.0
2020,54,male,2053493.0
2020,55,female,2176373.0
2020,55,male,2107390.0
2020,56,female,2227562.0
2020,56,male,2158353.0
2020,57,female,2236524.0
2020,57,male,2156033.0
2020,58,female,2256470.0
2020,58,male,2169744.0
2020,59,female,2252641.0
2020,59,male,2161988.0
2020,60,female,2203352.0
2020,60,male,2104081.0
2020,61,female,2186819.0
2020,61,male,2074370.0
2020,62,female,2166648.0
2020,62,male,2043947.0
2020,63,female,2127687.0
2020,63,male,1992705.0
2020,64,female,2058938.0
2020,64,male,1908475.0
2020,65,female,2004770.0
2020,65,male,1841693.0
2020,66,female,1944966.0
2020,66,male,1771484.0
2020,67,female,1868319.0
2020,67,male,1688332.0
2020,68,female,1808095.0
2020,68,male,1622131.0
2020,69,female,1731859.0
2020,69,male,1536102.0
2020,70,female,1654436.0
2020,70,male,1458139.0
2020,71,female,1619292.0
2020,71,male,1420678.0
