year,age,place_of_birth,births_per_1000_females
2025,14,all,0.79
2025,14,foreign-born,0.92
2025,14,native-born,0.76
2025,15,all,1.96
2025,15,foreign-born,2.28
2025,15,native-born,1.89
2025,16,all,4.64
2025,16,foreign-born,5.39
2025,16,native-born,4.46
2025,17,all,9.01
2025,17,foreign-born,10.47
2025,17,native-born,8.66
2025,18,all,17.12
2025,18,foreign-born,19.89
2025,18,native-born,16.46
2025,19,all,29.84
2025,19,foreign-born,34.68
2025,19,native-born,28.7
2025,20,all,39.79
2025,20,foreign-born,46.24
2025,20,native-born,38.27
2025,21,all,48.0
2025,21,foreign-born,55.79
2025,21,native-born,46.17
2025,22,all,55.94
2025,22,foreign-born,65.01
2025,22,native-born,53.8
2025,23,all,63.44
2025,23,foreign-born,73.73
2025,23,native-born,61.02
2025,24,all,70.37
2025,24,foreign-born,81.78
2025,24,native-born,67.68
2025,25,all,78.03
2025,25,foreign-born,90.68
2025,25,native-born,75.05
2025,26,all,83.95
2025,26,foreign-born,97.57
2025,26,native-born,80.75
2025,27,all,90.02
2025,27,foreign-born,104.62
2025,27,native-born,86.59
2025,28,all,94.6
2025,28,foreign-born,109.94
2025,28,native-born,90.99
2025,29,all,97.63
2025,29,foreign-born,113.47
2025,29,native-born,93.91
2025,30,all,99.17
2025,30,foreign-born,115.26
2025,30,native-born,95.39
2025,31,all,99.04
2025,31,foreign-born,115.1
2025,31,native-born,95.26
2025,32,all,95.54
2025,32,foreign-born,111.04
2025,32,native-born,91.9
2025,33,all,91.15
2025,33,foreign-born,105.94
2025,33,native-born,87.67
2025,34,all,85.03
2025,34,foreign-born,98.83
2025,34,native-born,81.79
2025,35,all,77.32
2025,35,foreign-born,89.85
2025,35,native-born,74.37
2025,36,all,65.87
2025,36,foreign-born,76.55
2025,36,native-born,63.36
2025,37,all,53.83
2025,37,foreign-born,62.56
2025,37,native-born,51.77
2025,38,all,42.9
2025,38,foreign-born,49.85
2025,38,native-born,41.26
2025,39,all,33.68
2025,39,foreign-born,39.14
2025,39,native-born,32.39
2025,40,all,24.6
2025,40,foreign-born,28.59
2025,40,native-born,23.66
2025,41,all,16.97
2025,41,foreign-born,19.72
2025,41,native-born,16.32
2025,42,all,11.09
2025,42,foreign-born,12.88
2025,42,native-born,10.66
2025,43,all,6.73
2025,43,foreign-born,7.83
2025,43,native-born,6.48
2025,44,all,3.92
2025,44,foreign-born,4.56
2025,44,native-born,3.77
2025,45,all,2.22
2025,45,foreign-born,2.59
2025,45,native-born,2.14
2025,46,all,1.15
2025,46,foreign-born,1.34
2025,46,native-born,1.11
2025,47,all,0.7
2025,47,foreign-born,0.82
2025,47,native-born,0.68
2025,48,all,0.44
2025,48,foreign-born,0.51
2025,48,native-born,0.42
2025,49,all,0.99
2025,49,foreign-born,1.15
2025,49,native-born,0.95
2026,14,all,0.75
2026,14,foreign-born,0.87
2026,14,native-born,0.72
2026,15,all,1.87
2026,15,foreign-born,2.16
2026,15,native-born,1.8
2026,16,all,4.44
2026,16,foreign-born,5.14
2026,16,native-born,4.28
2026,17,all,8.64
2026,17,foreign-born,9.99
2026,17,native-born,8.32
2026,18,all,16.43
2026,18,foreign-born,19.01
2026,18,native-born,15.84
2026,19,all,28.86
2026,19,foreign-born,33.39
2026,19,native-born,27.82
2026,20,all,38.73
2026,20,foreign-born,44.82
2026,20,native-born,37.33
2026,21,all,46.97
2026,21,foreign-born,54.36
2026,21,native-born,45.28
2026,22,all,54.68
2026,22,foreign-born,63.27
2026,22,native-born,52.71
2026,23,all,61.96
2026,23,foreign-born,71.7
2026,23,native-born,59.73
2026,24,all,68.89
2026,24,foreign-born,79.72
2026,24,native-born,66.41
2026,25,all,76.49
2026,25,foreign-born,88.51
2026,25,native-born,73.73
2026,26,all,82.46
2026,26,foreign-born,95.42
2026,26,native-born,79.48
2026,27,all,88.99
2026,27,foreign-born,102.97
2026,27,native-born,85.78
2026,28,all,94.2
2026,28,foreign-born,109.01
2026,28,native-born,90.81
2026,29,all,98.16
2026,29,foreign-born,113.59
2026,29,native-born,94.62
2026,30,all,100.04
2026,30,foreign-born,115.76
2026,30,native-born,96.43
2026,31,all,100.07
2026,31,foreign-born,115.8
2026,31,native-born,96.47
2026,32,all,96.53
2026,32,foreign-born,111.71
2026,32,native-born,93.05
2026,33,all,91.96
2026,33,foreign-born,106.41
2026,33,native-born,88.64
2026,34,all,85.85
2026,34,foreign-born,99.35
2026,34,native-born,82.76
2026,35,all,78.12
2026,35,foreign-born,90.4
2026,35,native-born,75.3
2026,36,all,66.73
2026,36,foreign-born,77.22
2026,36,native-born,64.33
2026,37,all,54.5
2026,37,foreign-born,63.07
2026,37,native-born,52.54
2026,38,all,43.43
2026,38,foreign-born,50.26
2026,38,native-born,41.87
2026,39,all,34.08
2026,39,foreign-born,39.43
2026,39,native-born,32.85
2026,40,all,24.99
2026,40,foreign-born,28.91
2026,40,native-born,24.08
2026,41,all,17.28
2026,41,foreign-born,19.99
2026,41,native-born,16.66
2026,42,all,11.3
2026,42,foreign-born,13.07
2026,42,native-born,10.89
2026,43,all,6.87
2026,43,foreign-born,7.95
2026,43,native-born,6.62
2026,44,all,4.02
2026,44,foreign-born,4.65
2026,44,native-born,3.87
2026,45,all,2.29
2026,45,foreign-born,2.65
2026,45,native-born,2.21
2026,46,all,1.21
2026,46,foreign-born,1.4
2026,46,native-born,1.17
2026,47,all,0.73
2026,47,foreign-born,0.84
2026,47,native-born,0.7
2026,48,all,0.45
2026,48,foreign-born,0.52
2026,48,native-born,0.43
2026,49,all,1.0
2026,49,foreign-born,1.15
2026,49,native-born,0.96
2027,14,all,0.71
2027,14,foreign-born,0.82
2027,14,native-born,0.69
2027,15,all,1.78
2027,15,foreign-born,2.05
2027,15,native-born,1.72
2027,16,all,4.25
2027,16,foreign-born,4.9
2027,16,native-born,4.11
2027,17,all,8.28
2027,17,foreign-born,9.54
2027,17,native-born,8.0
2027,18,all,15.77
2027,18,foreign-born,18.16
2027,18,native-born,15.23
2027,19,all,27.91
2027,19,foreign-born,32.15
2027,19,native-born,26.96
2027,20,all,37.72
2027,20,foreign-born,43.45
2027,20,native-born,36.43
2027,21,all,45.99
2027,21,foreign-born,52.98
2027,21,native-born,44.42
2027,22,all,53.47
2027,22,foreign-born,61.6
2027,22,native-born,51.65
2027,23,all,60.55
2027,23,foreign-born,69.75
2027,23,native-born,58.48
2027,24,all,67.48
2027,24,foreign-born,77.73
2027,24,native-born,65.18
2027,25,all,75.01
2027,25,foreign-born,86.41
2027,25,native-born,72.45
2027,26,all,81.03
2027,26,foreign-born,93.34
2027,26,native-born,78.26
2027,27,all,88.0
2027,27,foreign-born,101.37
2027,27,native-born,85.0
2027,28,all,93.83
2027,28,foreign-born,108.09
2027,28,native-born,90.63
2027,29,all,98.68
2027,29,foreign-born,113.68
2027,29,native-born,95.32
2027,30,all,100.88
2027,30,foreign-born,116.21
2027,30,native-born,97.44
2027,31,all,101.08
2027,31,foreign-born,116.44
2027,31,native-born,97.63
2027,32,all,97.49
