year,age,sex,immigration_status,migration_flow,number_of_people
2021,-1,female,INA Nonimmigrant,emigration,0.0
2021,-1,female,INA Nonimmigrant,immigration,88.0
2021,-1,female,LPR+,emigration,0.0
2021,-1,female,LPR+,immigration,268.0
2021,-1,female,OFN,emigration,0.0
2021,-1,female,OFN,immigration,5971.0
2021,-1,male,INA Nonimmigrant,emigration,0.0
2021,-1,male,INA Nonimmigrant,immigration,53.0
2021,-1,male,LPR+,emigration,0.0
2021,-1,male,LPR+,immigration,275.0
2021,-1,male,OFN,emigration,0.0
2021,-1,male,OFN,immigration,6496.0
2021,0,female,INA Nonimmigrant,emigration,0.0
2021,0,female,INA Nonimmigrant,immigration,88.0
2021,0,female,LPR+,emigration,0.0
2021,0,female,LPR+,immigration,268.0
2021,0,female,OFN,emigration,0.0
2021,0,female,OFN,immigration,5971.0
2021,0,male,INA Nonimmigrant,emigration,0.0
2021,0,male,INA Nonimmigrant,immigration,53.0
2021,0,male,LPR+,emigration,0.0
2021,0,male,LPR+,immigration,275.0
2021,0,male,OFN,emigration,0.0
2021,0,male,OFN,immigration,6496.0
2021,1,female,INA Nonimmigrant,emigration,81.0
2021,1,female,INA Nonimmigrant,immigration,184.0
2021,1,female,LPR+,emigration,550.0
2021,1,female,LPR+,immigration,583.0
2021,1,female,OFN,emigration,145.0
2021,1,female,OFN,immigration,5971.0
2021,1,male,INA Nonimmigrant,emigration,95.0
2021,1,male,INA Nonimmigrant,immigration,140.0
2021,1,male,LPR+,emigration,625.0
2021,1,male,LPR+,immigration,751.0
2021,1,male,OFN,emigration,199.0
2021,1,male,OFN,immigration,6496.0
2021,2,female,INA Nonimmigrant,emigration,117.0
2021,2,female,INA Nonimmigrant,immigration,198.0
2021,2,female,LPR+,emigration,801.0
2021,2,female,LPR+,immigration,676.0
2021,2,female,OFN,emigration,212.0
2021,2,female,OFN,immigration,5986.0
2021,2,male,INA Nonimmigrant,emigration,114.0
2021,2,male,INA Nonimmigrant,immigration,175.0
2021,2,male,LPR+,emigration,745.0
2021,2,male,LPR+,immigration,975.0
2021,2,male,OFN,emigration,237.0
2021,2,male,OFN,immigration,6509.0
2021,3,female,INA Nonimmigrant,emigration,159.0
2021,3,female,INA Nonimmigrant,immigration,218.0
2021,3,female,LPR+,emigration,1088.0
2021,3,female,LPR+,immigration,805.0
2021,3,female,OFN,emigration,288.0
2021,3,female,OFN,immigration,5964.0
2021,3,male,INA Nonimmigrant,emigration,160.0
2021,3,male,INA Nonimmigrant,immigration,210.0
2021,3,male,LPR+,emigration,1049.0
2021,3,male,LPR+,immigration,1215.0
2021,3,male,OFN,emigration,334.0
2021,3,male,OFN,immigration,6406.0
2021,4,female,INA Nonimmigrant,emigration,163.0
2021,4,female,INA Nonimmigrant,immigration,239.0
2021,4,female,LPR+,emigration,1111.0
2021,4,female,LPR+,immigration,962.0
2021,4,female,OFN,emigration,294.0
2021,4,female,OFN,immigration,5943.0
2021,4,male,INA Nonimmigrant,emigration,176.0
2021,4,male,INA Nonimmigrant,immigration,241.0
2021,4,male,LPR+,emigration,1156.0
2021,4,male,LPR+,immigration,1460.0
2021,4,male,OFN,emigration,368.0
2021,4,male,OFN,immigration,6367.0
2021,5,female,INA Nonimmigrant,emigration,195.0
2021,5,female,INA Nonimmigrant,immigration,260.0
2021,5,female,LPR+,emigration,190.0
2021,5,female,LPR+,immigration,1133.0
2021,5,female,OFN,emigration,352.0
2021,5,female,OFN,immigration,5933.0
2021,5,male,INA Nonimmigrant,emigration,191.0
2021,5,male,INA Nonimmigrant,immigration,268.0
2021,5,male,LPR+,emigration,72.0
2021,5,male,LPR+,immigration,1701.0
2021,5,male,OFN,emigration,399.0
2021,5,male,OFN,immigration,6375.0
2021,6,female,INA Nonimmigrant,emigration,183.0
2021,6,female,INA Nonimmigrant,immigration,278.0
2021,6,female,LPR+,emigration,179.0
2021,6,female,LPR+,immigration,1306.0
2021,6,female,OFN,emigration,332.0
2021,6,female,OFN,immigration,5929.0
2021,6,male,INA Nonimmigrant,emigration,207.0
2021,6,male,INA Nonimmigrant,immigration,290.0
2021,6,male,LPR+,emigration,78.0
2021,6,male,LPR+,immigration,1930.0
2021,6,male,OFN,emigration,432.0
2021,6,male,OFN,immigration,6401.0
2021,7,female,INA Nonimmigrant,emigration,193.0
2021,7,female,INA Nonimmigrant,immigration,294.0
2021,7,female,LPR+,emigration,188.0
2021,7,female,LPR+,immigration,1469.0
2021,7,female,OFN,emigration,347.0
2021,7,female,OFN,immigration,5883.0
2021,7,male,INA Nonimmigrant,emigration,204.0
2021,7,male,INA Nonimmigrant,immigration,308.0
2021,7,male,LPR+,emigration,77.0
2021,7,male,LPR+,immigration,2139.0
2021,7,male,OFN,emigration,426.0
2021,7,male,OFN,immigration,6429.0
2021,8,female,INA Nonimmigrant,emigration,209.0
2021,8,female,INA Nonimmigrant,immigration,307.0
2021,8,female,LPR+,emigration,204.0
2021,8,female,LPR+,immigration,1612.0
2021,8,female,OFN,emigration,378.0
2021,8,female,OFN,immigration,5794.0
2021,8,male,INA Nonimmigrant,emigration,211.0
2021,8,male,INA Nonimmigrant,immigration,323.0
2021,8,male,LPR+,emigration,79.0
2021,8,male,LPR+,immigration,2323.0
2021,8,male,OFN,emigration,439.0
2021,8,male,OFN,immigration,6515.0
2021,9,female,INA Nonimmigrant,emigration,214.0
2021,9,female,INA Nonimmigrant,immigration,322.0
2021,9,female,LPR+,emigration,209.0
2021,9,female,LPR+,immigration,1727.0
2021,9,female,OFN,emigration,387.0
2021,9,female,OFN,immigration,5745.0
2021,9,male,INA Nonimmigrant,emigration,218.0
2021,9,male,INA Nonimmigrant,immigration,340.0
2021,9,male,LPR+,emigration,82.0
2021,9,male,LPR+,immigration,2481.0
2021,9,male,OFN,emigration,454.0
2021,9,male,OFN,immigration,6573.0
2021,10,female,INA Nonimmigrant,emigration,237.0
2021,10,female,INA Nonimmigrant,immigration,342.0
2021,10,female,LPR+,emigration,231.0
2021,10,female,LPR+,immigration,1807.0
2021,10,female,OFN,emigration,427.0
2021,10,female,OFN,immigration,5775.0
2021,10,male,INA Nonimmigrant,emigration,257.0
2021,10,male,INA Nonimmigrant,immigration,363.0
2021,10,male,LPR+,emigration,97.0
2021,10,male,LPR+,immigration,2610.0
2021,10,male,OFN,emigration,536.0
2021,10,male,OFN,immigration,6609.0
2021,11,female,INA Nonimmigrant,emigration,253.0
2021,11,female,INA Nonimmigrant,immigration,375.0
2021,11,female,LPR+,emigration,246.0
2021,11,female,LPR+,immigration,1848.0
2021,11,female,OFN,emigration,456.0
2021,11,female,OFN,immigration,5883.0
2021,11,male,INA Nonimmigrant,emigration,250.0
2021,11,male,INA Nonimmigrant,immigration,401.0
2021,11,male,LPR+,emigration,94.0
2021,11,male,LPR+,immigration,2713.0
2021,11,male,OFN,emigration,523.0
2021,11,male,OFN,immigration,6712.0
2021,12,female,INA Nonimmigrant,emigration,290.0
2021,12,female,INA Nonimmigrant,immigration,428.0
2021,12,female,LPR+,emigration,282.0
2021,12,female,LPR+,immigration,1848.0
2021,12,female,OFN,emigration,523.0
2021,12,female,OFN,immigration,6101.0
2021,12,male,INA Nonimmigrant,emigration,296.0
2021,12,male,INA Nonimmigrant,immigration,462.0
