year,age,sex,deaths_per_1000_people
2021,0,female,5.063
2021,0,male,5.86
2021,1,female,0.393
2021,1,male,0.42
2021,2,female,0.22
2021,2,male,0.269
2021,3,female,0.175
2021,3,male,0.222
2021,4,female,0.143
2021,4,male,0.182
2021,5,female,0.12
2021,5,male,0.155
2021,6,female,0.107
2021,6,male,0.138
2021,7,female,0.1
2021,7,male,0.127
2021,8,female,0.097
2021,8,male,0.121
2021,9,female,0.096
2021,9,male,0.121
2021,10,female,0.101
2021,10,male,0.127
2021,11,female,0.112
2021,11,male,0.136
2021,12,female,0.129
2021,12,male,0.162
2021,13,female,0.155
2021,13,male,0.217
2021,14,female,0.187
2021,14,male,0.305
2021,15,female,0.229
2021,15,male,0.44
2021,16,female,0.287
2021,16,male,0.63
2021,17,female,0.353
2021,17,male,0.866
2021,18,female,0.423
2021,18,male,1.113
2021,19,female,0.48
2021,19,male,1.316
2021,20,female,0.537
2021,20,male,1.453
2021,21,female,0.587
2021,21,male,1.578
2021,22,female,0.633
2021,22,male,1.684
2021,23,female,0.678
2021,23,male,1.771
2021,24,female,0.724
2021,24,male,1.872
2021,25,female,0.772
2021,25,male,1.986
2021,26,female,0.825
2021,26,male,2.097
2021,27,female,0.881
2021,27,male,2.214
2021,28,female,0.944
2021,28,male,2.339
2021,29,female,1.016
2021,29,male,2.465
2021,30,female,1.095
2021,30,male,2.582
2021,31,female,1.181
2021,31,male,2.69
2021,32,female,1.277
2021,32,male,2.793
2021,33,female,1.37
2021,33,male,2.885
2021,34,female,1.451
2021,34,male,2.976
2021,35,female,1.529
2021,35,male,3.075
2021,36,female,1.611
2021,36,male,3.176
2021,37,female,1.703
2021,37,male,3.295
2021,38,female,1.807
2021,38,male,3.445
2021,39,female,1.922
2021,39,male,3.611
2021,40,female,2.047
2021,40,male,3.784
2021,41,female,2.183
2021,41,male,3.965
2021,42,female,2.33
2021,42,male,4.151
2021,43,female,2.461
2021,43,male,4.346
2021,44,female,2.601
2021,44,male,4.551
2021,45,female,2.767
2021,45,male,4.79
2021,46,female,2.971
2021,46,male,5.084
2021,47,female,3.194
2021,47,male,5.422
2021,48,female,3.44
2021,48,male,5.818
2021,49,female,3.7
2021,49,male,6.236
2021,50,female,3.979
2021,50,male,6.692
2021,51,female,4.273
2021,51,male,7.187
2021,52,female,4.598
2021,52,male,7.755
2021,53,female,4.943
2021,53,male,8.367
2021,54,female,5.329
2021,54,male,9.047
2021,55,female,5.784
2021,55,male,9.775
2021,56,female,6.274
2021,56,male,10.561
2021,57,female,6.781
2021,57,male,11.381
2021,58,female,7.337
2021,58,male,12.262
2021,59,female,7.963
2021,59,male,13.184
2021,60,female,8.612
2021,60,male,14.215
2021,61,female,9.329
2021,61,male,15.291
2021,62,female,10.052
2021,62,male,16.41
2021,63,female,10.764
2021,63,male,17.537
