year,age,marital_status,sex,number_of_people
2022,0,divorced,female,0.0
2022,0,divorced,male,0.0
2022,0,married,female,0.0
2022,0,married,male,0.0
2022,0,single,female,1824547.0
2022,0,single,male,1909198.0
2022,0,widowed,female,0.0
2022,0,widowed,male,0.0
2022,1,divorced,female,0.0
2022,1,divorced,male,0.0
2022,1,married,female,0.0
2022,1,married,male,0.0
2022,1,single,female,1791053.0
2022,1,single,male,1873858.0
2022,1,widowed,female,0.0
2022,1,widowed,male,0.0
2022,2,divorced,female,0.0
2022,2,divorced,male,0.0
2022,2,married,female,0.0
2022,2,married,male,0.0
2022,2,single,female,1866198.0
2022,2,single,male,1951512.0
2022,2,widowed,female,0.0
2022,2,widowed,male,0.0
2022,3,divorced,female,0.0
2022,3,divorced,male,0.0
2022,3,married,female,0.0
2022,3,married,male,0.0
2022,3,single,female,1895389.0
2022,3,single,male,1980364.0
2022,3,widowed,female,0.0
2022,3,widowed,male,0.0
2022,4,divorced,female,0.0
2022,4,divorced,male,0.0
2022,4,married,female,0.0
2022,4,married,male,0.0
2022,4,single,female,1935032.0
2022,4,single,male,2027302.0
2022,4,widowed,female,0.0
2022,4,widowed,male,0.0
2022,5,divorced,female,0.0
2022,5,divorced,male,0.0
2022,5,married,female,0.0
2022,5,married,male,0.0
2022,5,single,female,1991041.0
2022,5,single,male,2084264.0
2022,5,widowed,female,0.0
2022,5,widowed,male,0.0
2022,6,divorced,female,0.0
2022,6,divorced,male,0.0
2022,6,married,female,0.0
2022,6,married,male,0.0
2022,6,single,female,2018881.0
2022,6,single,male,2111384.0
2022,6,widowed,female,0.0
2022,6,widowed,male,0.0
2022,7,divorced,female,0.0
2022,7,divorced,male,0.0
2022,7,married,female,0.0
2022,7,married,male,0.0
2022,7,single,female,2030541.0
2022,7,single,male,2122975.0
2022,7,widowed,female,0.0
2022,7,widowed,male,0.0
2022,8,divorced,female,0.0
2022,8,divorced,male,0.0
2022,8,married,female,0.0
2022,8,married,male,0.0
2022,8,single,female,2007655.0
2022,8,single,male,2105705.0
2022,8,widowed,female,0.0
2022,8,widowed,male,0.0
2022,9,divorced,female,0.0
2022,9,divorced,male,0.0
2022,9,married,female,0.0
2022,9,married,male,0.0
2022,9,single,female,2025878.0
2022,9,single,male,2117919.0
2022,9,widowed,female,0.0
2022,9,widowed,male,0.0
2022,10,divorced,female,0.0
2022,10,divorced,male,0.0
2022,10,married,female,0.0
2022,10,married,male,0.0
2022,10,single,female,2025680.0
2022,10,single,male,2129952.0
2022,10,widowed,female,0.0
2022,10,widowed,male,0.0
2022,11,divorced,female,0.0
2022,11,divorced,male,0.0
2022,11,married,female,0.0
2022,11,married,male,0.0
2022,11,single,female,2069830.0
2022,11,single,male,2176978.0
2022,11,widowed,female,0.0
2022,11,widowed,male,0.0
2022,12,divorced,female,0.0
2022,12,divorced,male,0.0
2022,12,married,female,0.0
2022,12,married,male,0.0
2022,12,single,female,2098496.0
2022,12,single,male,2201384.0
2022,12,widowed,female,0.0
2022,12,widowed,male,0.0
2022,13,divorced,female,0.0
2022,13,divorced,male,0.0
2022,13,married,female,0.0
2022,13,married,male,0.0
2022,13,single,female,2181645.0
2022,13,single,male,2291429.0
2022,13,widowed,female,0.0
2022,13,widowed,male,0.0
2022,14,divorced,female,0.0
2022,14,divorced,male,0.0
2022,14,married,female,0.0
2022,14,married,male,0.0
2022,14,single,female,2207858.0
2022,14,single,male,2318714.0
2022,14,widowed,female,0.0
2022,14,widowed,male,0.0
2022,15,divorced,female,0.0
2022,15,divorced,male,0.0
2022,15,married,female,0.0
2022,15,married,male,0.0
2022,15,single,female,2187857.0
2022,15,single,male,2295851.0
2022,15,widowed,female,0.0
2022,15,widowed,male,0.0
2022,16,divorced,female,0.0
2022,16,divorced,male,0.0
2022,16,married,female,3988.0
2022,16,married,male,8995.0
2022,16,single,female,2148419.0
2022,16,single,male,2246680.0
2022,16,widowed,female,0.0
2022,16,widowed,male,0.0
2022,17,divorced,female,0.0
2022,17,divorced,male,0.0
2022,17,married,female,15996.0
2022,17,married,male,12027.0
2022,17,single,female,2132472.0
2022,17,single,male,2236946.0
2022,17,widowed,female,0.0
2022,17,widowed,male,0.0
2022,18,divorced,female,0.0
2022,18,divorced,male,0.0
2022,18,married,female,32117.0
2022,18,married,male,19064.0
2022,18,single,female,2120748.0
