"Notes","Five-Year Age Groups","Five-Year Age Groups Code","County","County Code",Deaths,Population,Crude Rate
,"45-49 years","45-49","Autauga County, AL","01001",60,9157,655.2
,"45-49 years","45-49","Baldwin County, AL","01003",184,35595,516.9
,"45-49 years","45-49","Barbour County, AL","01005",30,4311,695.9
,"45-49 years","45-49","Bibb County, AL","01007",28,4334,646.1
,"45-49 years","45-49","Blount County, AL","01009",69,9375,736.0
,"45-49 years","45-49","Bullock County, AL","01011",19,2061,Unreliable
,"45-49 years","45-49","Butler County, AL","01013",23,2487,924.8
,"45-49 years","45-49","Calhoun County, AL","01015",149,16373,910.0
,"45-49 years","45-49","Chambers County, AL","01017",35,4833,724.2
,"45-49 years","45-49","Cherokee County, AL","01019",35,4042,865.9
,"45-49 years","45-49","Chilton County, AL","01021",51,7148,713.5
,"45-49 years","45-49","Choctaw County, AL","01023",11,1713,Unreliable
,"45-49 years","45-49","Clarke County, AL","01025",17,3041,Unreliable
,"45-49 years","45-49","Clay County, AL","01027",16,2040,Unreliable
,"45-49 years","45-49","Cleburne County, AL","01029",14,2500,Unreliable
,"45-49 years","45-49","Coffee County, AL","01031",39,8860,440.2
,"45-49 years","45-49","Colbert County, AL","01033",63,8020,785.5
,"45-49 years","45-49","Conecuh County, AL","01035",18,1444,Unreliable
,"45-49 years","45-49","Coosa County, AL","01037",18,1625,Unreliable
,"45-49 years","45-49","Covington County, AL","01039",50,5241,954.0
,"45-49 years","45-49","Crenshaw County, AL","01041",16,1858,Unreliable
,"45-49 years","45-49","Cullman County, AL","01043",109,13647,798.7
,"45-49 years","45-49","Dale County, AL","01045",60,6613,907.3
,"45-49 years","45-49","Dallas County, AL","01047",59,4302,1371.5
,"45-49 years","45-49","DeKalb County, AL","01049",95,11579,820.5
,"45-49 years","45-49","Elmore County, AL","01051",75,13155,570.1
,"45-49 years","45-49","Escambia County, AL","01053",44,6196,710.1
,"45-49 years","45-49","Etowah County, AL","01055",144,16126,893.0
,"45-49 years","45-49","Fayette County, AL","01057",12,2359,Unreliable
,"45-49 years","45-49","Franklin County, AL","01059",42,5260,798.5
,"45-49 years","45-49","Geneva County, AL","01061",31,3898,795.3
,"45-49 years","45-49","Greene County, AL","01063",Suppressed,933,Suppressed
,"45-49 years","45-49","Hale County, AL","01065",17,1763,Unreliable
,"45-49 years","45-49","Henry County, AL","01067",18,2779,Unreliable
,"45-49 years","45-49","Houston County, AL","01069",101,15261,661.8
,"45-49 years","45-49","Jackson County, AL","01071",63,8713,723.1
,"45-49 years","45-49","Jefferson County, AL","01073",706,92518,763.1
,"45-49 years","45-49","Lamar County, AL","01075",21,2182,962.4
,"45-49 years","45-49","Lauderdale County, AL","01077",74,12799,578.2
,"45-49 years","45-49","Lawrence County, AL","01079",53,4996,1060.8
,"45-49 years","45-49","Lee County, AL","01081",104,24097,431.6
,"45-49 years","45-49","Limestone County, AL","01083",77,18452,417.3
,"45-49 years","45-49","Lowndes County, AL","01085",17,1190,Unreliable
,"45-49 years","45-49","Macon County, AL","01087",21,2003,1048.4
,"45-49 years","45-49","Madison County, AL","01089",300,55234,543.1
,"45-49 years","45-49","Marengo County, AL","01091",19,2602,Unreliable
,"45-49 years","45-49","Marion County, AL","01093",37,4629,799.3
,"45-49 years","45-49","Marshall County, AL","01095",113,14410,784.2
,"45-49 years","45-49","Mobile County, AL","01097",458,56145,815.7
,"45-49 years","45-49","Monroe County, AL","01099",30,2828,1060.8
,"45-49 years","45-49","Montgomery County, AL","01101",212,29661,714.7
,"45-49 years","45-49","Morgan County, AL","01103",124,19167,646.9
,"45-49 years","45-49","Perry County, AL","01105",13,1010,Unreliable
,"45-49 years","45-49","Pickens County, AL","01107",16,3029,Unreliable
,"45-49 years","45-49","Pike County, AL","01109",34,3769,902.1
,"45-49 years","45-49","Randolph County, AL","01111",23,3225,713.2
,"45-49 years","45-49","Russell County, AL","01113",68,8165,832.8
,"45-49 years","45-49","St. Clair County, AL","01115",97,14948,648.9
,"45-49 years","45-49","Shelby County, AL","01117",132,38557,342.4
,"45-49 years","45-49","Sumter County, AL","01119",14,1255,Unreliable
,"45-49 years","45-49","Talladega County, AL","01121",122,12414,982.8
,"45-49 years","45-49","Tallapoosa County, AL","01123",43,5345,804.5
,"45-49 years","45-49","Tuscaloosa County, AL","01125",195,29952,651.0
,"45-49 years","45-49","Walker County, AL","01127",120,9672,1240.7
