"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","State","State Code",Deaths,Population,Crude Rate
,"< 1 year","1","Female","F","Alabama","01",196,28426,689.5
,"< 1 year","1","Female","F","Alaska","02",27,4444,607.6
,"< 1 year","1","Female","F","Arizona","04",209,38144,547.9
,"< 1 year","1","Female","F","Arkansas","05",144,17358,829.6
,"< 1 year","1","Female","F","California","06",733,203360,360.4
,"< 1 year","1","Female","F","Colorado","08",124,30386,408.1
,"< 1 year","1","Female","F","Connecticut","09",71,17014,417.3
,"< 1 year","1","Female","F","Delaware","10",27,5319,507.6
,"< 1 year","1","Female","F","District of Columbia","11",32,3865,827.9
,"< 1 year","1","Female","F","Florida","12",614,110077,557.8
,"< 1 year","1","Female","F","Georgia","13",387,61318,631.1
,"< 1 year","1","Female","F","Hawaii","15",30,7307,410.6
,"< 1 year","1","Female","F","Idaho","16",44,10809,407.1
,"< 1 year","1","Female","F","Illinois","17",313,62165,503.5
,"< 1 year","1","Female","F","Indiana","18",222,38470,577.1
,"< 1 year","1","Female","F","Iowa","19",73,17955,406.6
,"< 1 year","1","Female","F","Kansas","20",94,16935,555.1
,"< 1 year","1","Female","F","Kentucky","21",171,25626,667.3
,"< 1 year","1","Female","F","Louisiana","22",183,27259,671.3
,"< 1 year","1","Female","F","Maine","23",28,5687,492.4
,"< 1 year","1","Female","F","Maryland","24",180,33363,539.5
,"< 1 year","1","Female","F","Massachusetts","25",94,33549,280.2
,"< 1 year","1","Female","F","Michigan","26",272,49603,548.4
,"< 1 year","1","Female","F","Minnesota","27",146,31152,468.7
,"< 1 year","1","Female","F","Mississippi","28",136,16783,810.3
,"< 1 year","1","Female","F","Missouri","29",180,33123,543.4
,"< 1 year","1","Female","F","Montana","30",28,5506,508.5
,"< 1 year","1","Female","F","Nebraska","31",67,11750,570.2
,"< 1 year","1","Female","F","Nevada","32",71,16049,442.4
,"< 1 year","1","Female","F","New Hampshire","33",19,5899,Unreliable
,"< 1 year","1","Female","F","New Jersey","34",152,50172,303.0
,"< 1 year","1","Female","F","New Mexico","35",45,9985,450.7
,"< 1 year","1","Female","F","New York","36",382,102658,372.1
,"< 1 year","1","Female","F","North Carolina","37",371,58764,631.3
,"< 1 year","1","Female","F","North Dakota","38",18,4755,Unreliable
,"< 1 year","1","Female","F","Ohio","39",395,62877,628.2
,"< 1 year","1","Female","F","Oklahoma","40",150,23371,641.8
,"< 1 year","1","Female","F","Oregon","41",75,19083,393.0
,"< 1 year","1","Female","F","Pennsylvania","42",321,62544,513.2
,"< 1 year","1","Female","F","Rhode Island","44",22,4988,441.1
,"< 1 year","1","Female","F","South Carolina","45",192,28081,683.7
,"< 1 year","1","Female","F","South Dakota","46",29,5512,526.1
,"< 1 year","1","Female","F","Tennessee","47",230,40137,573.0
,"< 1 year","1","Female","F","Texas","48",997,190569,523.2
,"< 1 year","1","Female","F","Utah","49",109,22487,484.7
,"< 1 year","1","Female","F","Vermont","50",Suppressed,2489,Suppressed
,"< 1 year","1","Female","F","Virginia","51",235,46271,507.9
,"< 1 year","1","Female","F","Washington","53",175,40379,433.4
,"< 1 year","1","Female","F","West Virginia","54",41,8384,489.0
,"< 1 year","1","Female","F","Wisconsin","55",168,29193,575.5
,"< 1 year","1","Female","F","Wyoming","56",12,2746,Unreliable
,"< 1 year","1","Male","M","Alabama","01",249,29459,845.2
,"< 1 year","1","Male","M","Alaska","02",39,4780,815.9
,"< 1 year","1","Male","M","Arizona","04",221,39931,553.5
,"< 1 year","1","Male","M","Arkansas","05",150,17939,836.2
,"< 1 year","1","Male","M","California","06",899,211765,424.5
,"< 1 year","1","Male","M","Colorado","08",157,31782,494.0
,"< 1 year","1","Male","M","Connecticut","09",88,17921,491.0
,"< 1 year","1","Male","M","Delaware","10",35,5426,645.0
,"< 1 year","1","Male","M","District of Columbia","11",20,3926,509.4
,"< 1 year","1","Male","M","Florida","12",722,114593,630.1
,"< 1 year","1","Male","M","Georgia","13",487,63838,762.9
,"< 1 year","1","Male","M","Hawaii","15",40,7840,510.2
,"< 1 year","1","Male","M","Idaho","16",56,11522,486.0
,"< 1 year","1","Male","M","Illinois","17",418,64627,646.8
,"< 1 year","1","Male","M","Indiana","18",302,40631,743.3
,"< 1 year","1","Male","M","Iowa","19",108,18811,574.1
,"< 1 year","1","Male","M","Kansas","20",109,17655,617.4
,"< 1 year","1","Male","M","Kentucky","21",172,26485,649.4
,"< 1 year","1","Male","M","Louisiana","22",213,28579,745.3
,"< 1 year","1","Male","M","Maine","23",37,6205,596.3
,"< 1 year","1","Male","M","Maryland","24",194,34697,559.1
,"< 1 year","1","Male","M","Massachusetts","25",119,35554,334.7
,"< 1 year","1","Male","M","Michigan","26",331,51782,639.2
,"< 1 year","1","Male","M","Minnesota","27",148,32485,455.6
,"< 1 year","1","Male","M","Mississippi","28",169,17589,960.8
,"< 1 year","1","Male","M","Missouri","29",212,34873,607.9
,"< 1 year","1","Male","M","Montana","30",34,5760,590.3
,"< 1 year","1","Male","M","Nebraska","31",86,12394,693.9
,"< 1 year","1","Male","M","Nevada","32",120,16667,720.0
,"< 1 year","1","Male","M","New Hampshire","33",18,6265,Unreliable
,"< 1 year","1","Male","M","New Jersey","34",213,52305,407.2
,"< 1 year","1","Male","M","New Mexico","35",52,10604,490.4
,"< 1 year","1","Male","M","New York","36",443,107015,414.0
,"< 1 year","1","Male","M","North Carolina","37",460,61838,743.9
,"< 1 year","1","Male","M","North Dakota","38",27,4871,554.3
,"< 1 year","1","Male","M","Ohio","39",510,65182,782.4
,"< 1 year","1","Male","M","Oklahoma","40",187,24343,768.2
,"< 1 year","1","Male","M","Oregon","41",101,19821,509.6
,"< 1 year","1","Male","M","Pennsylvania","42",393,66334,592.5
,"< 1 year","1","Male","M","Rhode Island","44",25,5030,497.0
,"< 1 year","1","Male","M","South Carolina","45",217,29198,743.2
,"< 1 year","1","Male","M","South Dakota","46",42,5922,709.2
,"< 1 year","1","Male","M","Tennessee","47",312,41822,746.0
,"< 1 year","1","Male","M","Texas","48",1262,199245,633.4
,"< 1 year","1","Male","M","Utah","49",126,23272,541.4
