"Notes","Age of Mother 9","Age of Mother 9 Code","County of Residence","County of Residence Code",Births,Female Population,Fertility Rate
,"15-19 years","15-19","Baldwin County, AL","01003",569,36070,15.77
,"15-19 years","15-19","Calhoun County, AL","01015",431,20501,21.02
,"15-19 years","15-19","Etowah County, AL","01055",512,14490,35.33
,"15-19 years","15-19","Houston County, AL","01069",489,15468,31.61
,"15-19 years","15-19","Jefferson County, AL","01073",1893,108812,17.40
,"15-19 years","15-19","Lee County, AL","01081",456,36360,12.54
,"15-19 years","15-19","Madison County, AL","01089",966,64705,14.93
,"15-19 years","15-19","Mobile County, AL","01097",1636,64934,25.19
,"15-19 years","15-19","Montgomery County, AL","01101",1067,36392,29.32
,"15-19 years","15-19","Morgan County, AL","01103",485,18728,25.90
,"15-19 years","15-19","Shelby County, AL","01117",333,38041,8.75
,"15-19 years","15-19","Tuscaloosa County, AL","01125",726,58565,12.40
,"15-19 years","15-19","Unidentified Counties, AL","01999",8015,305966,26.20
,"15-19 years","15-19","Anchorage Borough, AK","02020",527,41197,12.79
,"15-19 years","15-19","Unidentified Counties, AK","02999",1245,66227,18.80
,"15-19 years","15-19","Cochise County, AZ","04003",410,18136,22.61
,"15-19 years","15-19","Coconino County, AZ","04005",312,37348,8.35
,"15-19 years","15-19","Maricopa County, AZ","04013",10442,750440,13.91
,"15-19 years","15-19","Mohave County, AZ","04015",517,24350,21.23
,"15-19 years","15-19","Navajo County, AZ","04017",458,18852,24.29
,"15-19 years","15-19","Pima County, AZ","04019",2232,173510,12.86
,"15-19 years","15-19","Pinal County, AZ","04021",1255,68836,18.23
,"15-19 years","15-19","Yavapai County, AZ","04025",456,27736,16.44
,"15-19 years","15-19","Yuma County, AZ","04027",879,35367,24.85
,"15-19 years","15-19","Unidentified Counties, AZ","04999",935,39214,23.84
,"15-19 years","15-19","Benton County, AR","05007",772,49609,15.56
,"15-19 years","15-19","Faulkner County, AR","05045",367,24303,15.10
,"15-19 years","15-19","Pulaski County, AR","05119",1498,59334,25.25
,"15-19 years","15-19","Saline County, AR","05125",315,19505,16.15
,"15-19 years","15-19","Sebastian County, AR","05131",540,20759,26.01
,"15-19 years","15-19","Washington County, AR","05143",927,52443,17.68
