"Notes","Age of Mother 9","Age of Mother 9 Code","State of Residence","State of Residence Code",Births,Female Population,Fertility Rate
,"15-19 years","15-19","Alabama","01",17578,819032,21.46
,"15-19 years","15-19","Alaska","02",1772,107424,16.50
,"15-19 years","15-19","Arizona","04",17896,1193789,14.99
,"15-19 years","15-19","Arkansas","05",12434,498302,24.95
,"15-19 years","15-19","California","06",61092,6303197,9.69
,"15-19 years","15-19","Colorado","08",10342,905600,11.42
,"15-19 years","15-19","Connecticut","09",4092,593707,6.89
,"15-19 years","15-19","Delaware","10",2211,159718,13.84
,"15-19 years","15-19","District of Columbia","11",1295,97491,13.28
,"15-19 years","15-19","Florida","12",41082,3109805,13.21
,"15-19 years","15-19","Georgia","13",31200,1860053,16.77
,"15-19 years","15-19","Hawaii","15",2204,185932,11.85
,"15-19 years","15-19","Idaho","16",4070,355719,11.44
,"15-19 years","15-19","Illinois","17",22933,2016620,11.37
,"15-19 years","15-19","Indiana","18",18784,1131894,16.60
,"15-19 years","15-19","Iowa","19",6740,539446,12.49
,"15-19 years","15-19","Kansas","20",8029,499653,16.07
,"15-19 years","15-19","Kentucky","21",15482,710791,21.78
,"15-19 years","15-19","Louisiana","22",17483,739496,23.64
,"15-19 years","15-19","Maine","23",1606,192368,8.35
,"15-19 years","15-19","Maryland","24",10821,963097,11.24
,"15-19 years","15-19","Massachusetts","25",6523,1126765,5.79
,"15-19 years","15-19","Michigan","26",18342,1567057,11.70
,"15-19 years","15-19","Minnesota","27",7528,923100,8.16
,"15-19 years","15-19","Mississippi","28",12923,507352,25.47
,"15-19 years","15-19","Missouri","29",16472,975427,16.89
,"15-19 years","15-19","Montana","30",2025,163921,12.35
,"15-19 years","15-19","Nebraska","31",4731,337269,14.03
,"15-19 years","15-19","Nevada","32",6653,466604,14.26
,"15-19 years","15-19","New Hampshire","33",1051,204056,5.15
,"15-19 years","15-19","New Jersey","34",11259,1405213,8.01
,"15-19 years","15-19","New Mexico","35",6728,348618,19.30
,"15-19 years","15-19","New York","36",25851,2925533,8.84
,"15-19 years","15-19","North Carolina","37",26888,1740708,15.45
,"15-19 years","15-19","North Dakota","38",1565,128214,12.21
,"15-19 years","15-19","Ohio","39",28560,1851987,15.42
,"15-19 years","15-19","Oklahoma","40",14864,674115,22.05
,"15-19 years","15-19","Oregon","41",5904,613472,9.62
,"15-19 years","15-19","Pennsylvania","42",22001,2031618,10.83
,"15-19 years","15-19","Rhode Island","44",1458,179912,8.10
,"15-19 years","15-19","South Carolina","45",14934,837680,17.83
,"15-19 years","15-19","South Dakota","46",2521,148630,16.96
,"15-19 years","15-19","Tennessee","47",22977,1084720,21.18
,"15-19 years","15-19","Texas","48",106081,5260137,20.17
,"15-19 years","15-19","Utah","49",6208,672787,9.23
,"15-19 years","15-19","Vermont","50",632,100934,6.26
,"15-19 years","15-19","Virginia","51",15753,1371014,11.49
,"15-19 years","15-19","Washington","53",11287,1128819,10.00
,"15-19 years","15-19","West Virginia","54",5155,259524,19.86
,"15-19 years","15-19","Wisconsin","55",9584,942267,10.17
,"15-19 years","15-19","Wyoming","56",1451,94085,15.42
"Total","15-19 years","15-19",,,727055,53054672,13.70
,"20-24 years","20-24","Alabama","01",70284,845502,83.13
,"20-24 years","20-24","Alaska","02",9314,107893,86.33
,"20-24 years","20-24","Arizona","04",76948,1234659,62.32
,"20-24 years","20-24","Arkansas","05",47194,502432,93.93
,"20-24 years","20-24","California","06",281809,6275183,44.91
,"20-24 years","20-24","Colorado","08",47899,928999,51.56
,"20-24 years","20-24","Connecticut","09",18851,586931,32.12
,"20-24 years","20-24","Delaware","10",8913,147971,60.23
,"20-24 years","20-24","District of Columbia","11",4831,134683,35.87
,"20-24 years","20-24","Florida","12",182798,3214978,56.86
,"20-24 years","20-24","Georgia","13",125971,1841588,68.40
,"20-24 years","20-24","Hawaii","15",12873,196245,65.60
,"20-24 years","20-24","Idaho","16",24236,308782,78.49
,"20-24 years","20-24","Illinois","17",98120,2039425,48.11
,"20-24 years","20-24","Indiana","18",86406,1175895,73.48
,"20-24 years","20-24","Iowa","19",32568,556762,58.50
,"20-24 years","20-24","Kansas","20",35159,515581,68.19
,"20-24 years","20-24","Kentucky","21",64096,730663,87.72
,"20-24 years","20-24","Louisiana","22",67100,753899,89.00
,"20-24 years","20-24","Maine","23",9040,186954,48.35
,"20-24 years","20-24","Maryland","24",44812,925962,48.40
,"20-24 years","20-24","Massachusetts","25",32465,1230749,26.38
,"20-24 years","20-24","Michigan","26",86849,1662589,52.24
,"20-24 years","20-24","Minnesota","27",39317,891547,44.10
,"20-24 years","20-24","Mississippi","28",46838,499476,93.77
,"20-24 years","20-24","Missouri","29",70845,1007478,70.32
,"20-24 years","20-24","Montana","30",10085,176280,57.21
,"20-24 years","20-24","Nebraska","31",20860,341755,61.04
,"20-24 years","20-24","Nevada","32",30218,457899,65.99
,"20-24 years","20-24","New Hampshire","33",6530,210937,30.96
,"20-24 years","20-24","New Jersey","34",57897,1377370,42.03
,"20-24 years","20-24","New Mexico","35",25269,345337,73.17
,"20-24 years","20-24","New York","36",145251,3164036,45.91
,"20-24 years","20-24","North Carolina","37",116181,1762000,65.94
