"Notes","Five-Year Age Groups","Five-Year Age Groups Code","County","County Code",Deaths,Population,Crude Rate
,"45-49 years","45-49","Autauga County, AL","01001",25,9818,254.6
,"45-49 years","45-49","Baldwin County, AL","01003",106,37681,281.3
,"45-49 years","45-49","Barbour County, AL","01005",19,3159,Unreliable
,"45-49 years","45-49","Bibb County, AL","01007",24,3398,706.3
,"45-49 years","45-49","Blount County, AL","01009",40,9333,428.6
,"45-49 years","45-49","Bullock County, AL","01011",Suppressed,1177,Suppressed
,"45-49 years","45-49","Butler County, AL","01013",11,3057,Unreliable
,"45-49 years","45-49","Calhoun County, AL","01015",123,17106,719.0
,"45-49 years","45-49","Chambers County, AL","01017",26,5517,471.3
,"45-49 years","45-49","Cherokee County, AL","01019",20,3944,507.1
,"45-49 years","45-49","Chilton County, AL","01021",28,7065,396.3
,"45-49 years","45-49","Choctaw County, AL","01023",Suppressed,1915,Suppressed
,"45-49 years","45-49","Clarke County, AL","01025",20,3719,537.8
,"45-49 years","45-49","Clay County, AL","01027",Suppressed,2211,Suppressed
,"45-49 years","45-49","Cleburne County, AL","01029",15,2471,Unreliable
,"45-49 years","45-49","Coffee County, AL","01031",34,8976,378.8
,"45-49 years","45-49","Colbert County, AL","01033",48,8817,544.4
,"45-49 years","45-49","Conecuh County, AL","01035",10,1799,Unreliable
,"45-49 years","45-49","Coosa County, AL","01037",10,1765,Unreliable
,"45-49 years","45-49","Covington County, AL","01039",29,5437,533.4
,"45-49 years","45-49","Crenshaw County, AL","01041",12,2179,Unreliable
,"45-49 years","45-49","Cullman County, AL","01043",62,13608,455.6
,"45-49 years","45-49","Dale County, AL","01045",33,7294,452.4
,"45-49 years","45-49","Dallas County, AL","01047",32,5818,550.0
,"45-49 years","45-49","DeKalb County, AL","01049",54,11380,474.5
,"45-49 years","45-49","Elmore County, AL","01051",37,15003,246.6
,"45-49 years","45-49","Escambia County, AL","01053",40,5270,759.0
,"45-49 years","45-49","Etowah County, AL","01055",105,16931,620.2
,"45-49 years","45-49","Fayette County, AL","01057",12,2409,Unreliable
,"45-49 years","45-49","Franklin County, AL","01059",32,4943,647.4
,"45-49 years","45-49","Geneva County, AL","01061",18,4139,Unreliable
,"45-49 years","45-49","Greene County, AL","01063",Suppressed,1006,Suppressed
,"45-49 years","45-49","Hale County, AL","01065",14,2147,Unreliable
,"45-49 years","45-49","Henry County, AL","01067",Suppressed,2907,Suppressed
,"45-49 years","45-49","Houston County, AL","01069",85,17256,492.6
,"45-49 years","45-49","Jackson County, AL","01071",52,8436,616.4
,"45-49 years","45-49","Jefferson County, AL","01073",438,102055,429.2
,"45-49 years","45-49","Lamar County, AL","01075",12,2198,Unreliable
,"45-49 years","45-49","Lauderdale County, AL","01077",66,13295,496.4
,"45-49 years","45-49","Lawrence County, AL","01079",26,5263,494.0
,"45-49 years","45-49","Lee County, AL","01081",65,26004,250.0
,"45-49 years","45-49","Limestone County, AL","01083",54,17759,304.1
,"45-49 years","45-49","Lowndes County, AL","01085",Suppressed,1345,Suppressed
,"45-49 years","45-49","Macon County, AL","01087",14,2487,Unreliable
,"45-49 years","45-49","Madison County, AL","01089",196,59308,330.5
,"45-49 years","45-49","Marengo County, AL","01091",12,3033,Unreliable
