"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","County","County Code",Deaths
,"85+ years","85+","Autauga County, AL","01001",409
,"85+ years","85+","Baldwin County, AL","01003",2029
,"85+ years","85+","Barbour County, AL","01005",212
,"85+ years","85+","Bibb County, AL","01007",171
,"85+ years","85+","Blount County, AL","01009",506
,"85+ years","85+","Bullock County, AL","01011",92
,"85+ years","85+","Butler County, AL","01013",243
,"85+ years","85+","Calhoun County, AL","01015",1160
,"85+ years","85+","Chambers County, AL","01017",394
,"85+ years","85+","Cherokee County, AL","01019",260
,"85+ years","85+","Chilton County, AL","01021",366
,"85+ years","85+","Choctaw County, AL","01023",136
,"85+ years","85+","Clarke County, AL","01025",293
,"85+ years","85+","Clay County, AL","01027",161
,"85+ years","85+","Cleburne County, AL","01029",163
,"85+ years","85+","Coffee County, AL","01031",485
,"85+ years","85+","Colbert County, AL","01033",540
,"85+ years","85+","Conecuh County, AL","01035",139
,"85+ years","85+","Coosa County, AL","01037",113
,"85+ years","85+","Covington County, AL","01039",477
,"85+ years","85+","Crenshaw County, AL","01041",175
,"85+ years","85+","Cullman County, AL","01043",851
,"85+ years","85+","Dale County, AL","01045",421
,"85+ years","85+","Dallas County, AL","01047",362
,"85+ years","85+","DeKalb County, AL","01049",592
,"85+ years","85+","Elmore County, AL","01051",654
,"85+ years","85+","Escambia County, AL","01053",379
,"85+ years","85+","Etowah County, AL","01055",1086
,"85+ years","85+","Fayette County, AL","01057",178
,"85+ years","85+","Franklin County, AL","01059",313
,"85+ years","85+","Geneva County, AL","01061",285
,"85+ years","85+","Greene County, AL","01063",73
,"85+ years","85+","Hale County, AL","01065",173
,"85+ years","85+","Henry County, AL","01067",200
,"85+ years","85+","Houston County, AL","01069",1068
,"85+ years","85+","Jackson County, AL","01071",523
,"85+ years","85+","Jefferson County, AL","01073",6721
,"85+ years","85+","Lamar County, AL","01075",151
,"85+ years","85+","Lauderdale County, AL","01077",1075
,"85+ years","85+","Lawrence County, AL","01079",311
,"85+ years","85+","Lee County, AL","01081",954
,"85+ years","85+","Limestone County, AL","01083",714
,"85+ years","85+","Lowndes County, AL","01085",119
,"85+ years","85+","Macon County, AL","01087",187
,"85+ years","85+","Madison County, AL","01089",3068
,"85+ years","85+","Marengo County, AL","01091",235
,"85+ years","85+","Marion County, AL","01093",328
,"85+ years","85+","Marshall County, AL","01095",933
,"85+ years","85+","Mobile County, AL","01097",3475
,"85+ years","85+","Monroe County, AL","01099",216
,"85+ years","85+","Montgomery County, AL","01101",1828
,"85+ years","85+","Morgan County, AL","01103",1154
,"85+ years","85+","Perry County, AL","01105",91
,"85+ years","85+","Pickens County, AL","01107",204
,"85+ years","85+","Pike County, AL","01109",250
,"85+ years","85+","Randolph County, AL","01111",231
,"85+ years","85+","Russell County, AL","01113",445
