"Notes","Five-Year Age Groups","Five-Year Age Groups Code","County","County Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","Autauga County, AL","01001",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Baldwin County, AL","01003",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Barbour County, AL","01005",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Bibb County, AL","01007",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Blount County, AL","01009",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Bullock County, AL","01011",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Butler County, AL","01013",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Calhoun County, AL","01015",11,Not Applicable,Not Applicable
,"1-4 years","1-4","Chambers County, AL","01017",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Cherokee County, AL","01019",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Chilton County, AL","01021",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Choctaw County, AL","01023",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Clarke County, AL","01025",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Clay County, AL","01027",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Cleburne County, AL","01029",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Coffee County, AL","01031",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Colbert County, AL","01033",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Conecuh County, AL","01035",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Coosa County, AL","01037",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Covington County, AL","01039",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Crenshaw County, AL","01041",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Cullman County, AL","01043",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Dale County, AL","01045",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Dallas County, AL","01047",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","DeKalb County, AL","01049",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Elmore County, AL","01051",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Escambia County, AL","01053",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Etowah County, AL","01055",11,Not Applicable,Not Applicable
,"1-4 years","1-4","Fayette County, AL","01057",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Franklin County, AL","01059",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Geneva County, AL","01061",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Greene County, AL","01063",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Hale County, AL","01065",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Henry County, AL","01067",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Houston County, AL","01069",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Jackson County, AL","01071",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Jefferson County, AL","01073",43,Not Applicable,Not Applicable
,"1-4 years","1-4","Lamar County, AL","01075",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Lauderdale County, AL","01077",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Lawrence County, AL","01079",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Lee County, AL","01081",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Limestone County, AL","01083",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Lowndes County, AL","01085",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Macon County, AL","01087",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Madison County, AL","01089",17,Not Applicable,Not Applicable
,"1-4 years","1-4","Marengo County, AL","01091",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Marion County, AL","01093",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Marshall County, AL","01095",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Mobile County, AL","01097",31,Not Applicable,Not Applicable
,"1-4 years","1-4","Monroe County, AL","01099",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Montgomery County, AL","01101",15,Not Applicable,Not Applicable
,"1-4 years","1-4","Morgan County, AL","01103",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Perry County, AL","01105",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Pickens County, AL","01107",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Pike County, AL","01109",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Randolph County, AL","01111",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Russell County, AL","01113",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","St. Clair County, AL","01115",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Shelby County, AL","01117",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Sumter County, AL","01119",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Talladega County, AL","01121",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Tallapoosa County, AL","01123",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Tuscaloosa County, AL","01125",12,Not Applicable,Not Applicable
,"1-4 years","1-4","Walker County, AL","01127",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Washington County, AL","01129",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Wilcox County, AL","01131",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Winston County, AL","01133",Suppressed,Not Applicable,Not Applicable
,"1-4 years","1-4","Aleutians East Borough, AK","02013",0,Not Applicable,Not Applicable
,"1-4 years","1-4","Aleutians West Census Area, AK","02016",Suppressed,Not Applicable,Not Applicable
