"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","County","County Code",Deaths
,"85+ years","85+","Autauga County, AL","01001",253
,"85+ years","85+","Baldwin County, AL","01003",1484
,"85+ years","85+","Barbour County, AL","01005",138
,"85+ years","85+","Bibb County, AL","01007",103
,"85+ years","85+","Blount County, AL","01009",339
,"85+ years","85+","Bullock County, AL","01011",41
,"85+ years","85+","Butler County, AL","01013",112
,"85+ years","85+","Calhoun County, AL","01015",639
,"85+ years","85+","Chambers County, AL","01017",205
,"85+ years","85+","Cherokee County, AL","01019",162
,"85+ years","85+","Chilton County, AL","01021",237
,"85+ years","85+","Choctaw County, AL","01023",78
,"85+ years","85+","Clarke County, AL","01025",142
,"85+ years","85+","Clay County, AL","01027",109
,"85+ years","85+","Cleburne County, AL","01029",96
,"85+ years","85+","Coffee County, AL","01031",255
,"85+ years","85+","Colbert County, AL","01033",367
,"85+ years","85+","Conecuh County, AL","01035",98
,"85+ years","85+","Coosa County, AL","01037",66
,"85+ years","85+","Covington County, AL","01039",308
,"85+ years","85+","Crenshaw County, AL","01041",63
,"85+ years","85+","Cullman County, AL","01043",547
,"85+ years","85+","Dale County, AL","01045",280
,"85+ years","85+","Dallas County, AL","01047",163
,"85+ years","85+","DeKalb County, AL","01049",383
,"85+ years","85+","Elmore County, AL","01051",382
,"85+ years","85+","Escambia County, AL","01053",241
,"85+ years","85+","Etowah County, AL","01055",606
,"85+ years","85+","Fayette County, AL","01057",99
,"85+ years","85+","Franklin County, AL","01059",179
,"85+ years","85+","Geneva County, AL","01061",195
,"85+ years","85+","Greene County, AL","01063",45
,"85+ years","85+","Hale County, AL","01065",71
,"85+ years","85+","Henry County, AL","01067",95
,"85+ years","85+","Houston County, AL","01069",636
,"85+ years","85+","Jackson County, AL","01071",298
,"85+ years","85+","Jefferson County, AL","01073",3363
,"85+ years","85+","Lamar County, AL","01075",101
,"85+ years","85+","Lauderdale County, AL","01077",635
,"85+ years","85+","Lawrence County, AL","01079",172
,"85+ years","85+","Lee County, AL","01081",553
,"85+ years","85+","Limestone County, AL","01083",475
,"85+ years","85+","Lowndes County, AL","01085",58
,"85+ years","85+","Macon County, AL","01087",83
,"85+ years","85+","Madison County, AL","01089",2112
,"85+ years","85+","Marengo County, AL","01091",139
,"85+ years","85+","Marion County, AL","01093",198
,"85+ years","85+","Marshall County, AL","01095",519
,"85+ years","85+","Mobile County, AL","01097",2007
,"85+ years","85+","Monroe County, AL","01099",128
,"85+ years","85+","Montgomery County, AL","01101",1065
,"85+ years","85+","Morgan County, AL","01103",724
,"85+ years","85+","Perry County, AL","01105",66
,"85+ years","85+","Pickens County, AL","01107",117
,"85+ years","85+","Pike County, AL","01109",158
,"85+ years","85+","Randolph County, AL","01111",132
,"85+ years","85+","Russell County, AL","01113",248
,"85+ years","85+","St. Clair County, AL","01115",540
,"85+ years","85+","Shelby County, AL","01117",906
,"85+ years","85+","Sumter County, AL","01119",53
,"85+ years","85+","Talladega County, AL","01121",405
,"85+ years","85+","Tallapoosa County, AL","01123",286
,"85+ years","85+","Tuscaloosa County, AL","01125",860
,"85+ years","85+","Walker County, AL","01127",434
,"85+ years","85+","Washington County, AL","01129",107
,"85+ years","85+","Wilcox County, AL","01131",56
,"85+ years","85+","Winston County, AL","01133",138
,"85+ years","85+","Aleutians East Borough, AK","02013",Suppressed
,"85+ years","85+","Aleutians West Census Area, AK","02016",Suppressed
,"85+ years","85+","Anchorage Borough, AK","02020",816
,"85+ years","85+","Bethel Census Area, AK","02050",28
,"85+ years","85+","Bristol Bay Borough, AK","02060",Suppressed
,"85+ years","85+","Denali Borough, AK","02068",Suppressed
,"85+ years","85+","Dillingham Census Area, AK","02070",11
,"85+ years","85+","Fairbanks North Star Borough, AK","02090",217
,"85+ years","85+","Haines Borough, AK","02100",Suppressed
,"85+ years","85+","Hoonah-Angoon Census Area, AK","02105",12
,"85+ years","85+","Juneau Borough, AK","02110",94
,"85+ years","85+","Kenai Peninsula Borough, AK","02122",197
,"85+ years","85+","Ketchikan Gateway Borough, AK","02130",51
,"85+ years","85+","Kodiak Island Borough, AK","02150",34
,"85+ years","85+","Lake and Peninsula Borough, AK","02164",Suppressed
,"85+ years","85+","Matanuska-Susitna Borough, AK","02170",336
,"85+ years","85+","Nome Census Area, AK","02180",22
,"85+ years","85+","North Slope Borough, AK","02185",10
,"85+ years","85+","Northwest Arctic Borough, AK","02188",17
,"85+ years","85+","Petersburg Borough/Census Area, AK","02195",17
,"85+ years","85+","Prince of Wales-Hyder Census Area, AK","02198",18
,"85+ years","85+","Sitka Borough, AK","02220",39
,"85+ years","85+","Skagway Municipality, AK","02230",Suppressed
,"85+ years","85+","Southeast Fairbanks Census Area, AK","02240",22
,"85+ years","85+","Valdez-Cordova Census Area, AK","02261",13
,"85+ years","85+","Wade Hampton Census Area, AK","02270",12
,"85+ years","85+","Wrangell City and Borough, AK","02275",19
,"85+ years","85+","Yakutat Borough, AK","02282",Suppressed
,"85+ years","85+","Yukon-Koyukuk Census Area, AK","02290",20
,"85+ years","85+","Apache County, AZ","04001",328
,"85+ years","85+","Cochise County, AZ","04003",911
,"85+ years","85+","Coconino County, AZ","04005",434
,"85+ years","85+","Gila County, AZ","04007",463
,"85+ years","85+","Graham County, AZ","04009",200
,"85+ years","85+","Greenlee County, AZ","04011",34
,"85+ years","85+","La Paz County, AZ","04012",154
,"85+ years","85+","Maricopa County, AZ","04013",22361
,"85+ years","85+","Mohave County, AZ","04015",2019
,"85+ years","85+","Navajo County, AZ","04017",597
,"85+ years","85+","Pima County, AZ","04019",7376
,"85+ years","85+","Pinal County, AZ","04021",1975
,"85+ years","85+","Santa Cruz County, AZ","04023",252
,"85+ years","85+","Yavapai County, AZ","04025",2502
,"85+ years","85+","Yuma County, AZ","04027",1217
,"85+ years","85+","Arkansas County, AR","05001",125
,"85+ years","85+","Ashley County, AR","05003",123
,"85+ years","85+","Baxter County, AR","05005",597
,"85+ years","85+","Benton County, AR","05007",1343
,"85+ years","85+","Boone County, AR","05009",311
,"85+ years","85+","Bradley County, AR","05011",79
,"85+ years","85+","Calhoun County, AR","05013",35
,"85+ years","85+","Carroll County, AR","05015",175
,"85+ years","85+","Chicot County, AR","05017",76
,"85+ years","85+","Clark County, AR","05019",130
,"85+ years","85+","Clay County, AR","05021",138
,"85+ years","85+","Cleburne County, AR","05023",280
,"85+ years","85+","Cleveland County, AR","05025",61
,"85+ years","85+","Columbia County, AR","05027",129
,"85+ years","85+","Conway County, AR","05029",140
,"85+ years","85+","Craighead County, AR","05031",489
,"85+ years","85+","Crawford County, AR","05033",338
,"85+ years","85+","Crittenden County, AR","05035",164
,"85+ years","85+","Cross County, AR","05037",100
,"85+ years","85+","Dallas County, AR","05039",36
,"85+ years","85+","Desha County, AR","05041",58
,"85+ years","85+","Drew County, AR","05043",92
,"85+ years","85+","Faulkner County, AR","05045",524
,"85+ years","85+","Franklin County, AR","05047",125
,"85+ years","85+","Fulton County, AR","05049",110
,"85+ years","85+","Garland County, AR","05051",815
,"85+ years","85+","Grant County, AR","05053",118
,"85+ years","85+","Greene County, AR","05055",243
,"85+ years","85+","Hempstead County, AR","05057",117
,"85+ years","85+","Hot Spring County, AR","05059",209
,"85+ years","85+","Howard County, AR","05061",88
,"85+ years","85+","Independence County, AR","05063",245
,"85+ years","85+","Izard County, AR","05065",138
,"85+ years","85+","Jackson County, AR","05067",99
,"85+ years","85+","Jefferson County, AR","05069",338
,"85+ years","85+","Johnson County, AR","05071",126
,"85+ years","85+","Lafayette County, AR","05073",46
,"85+ years","85+","Lawrence County, AR","05075",115
,"85+ years","85+","Lee County, AR","05077",55
,"85+ years","85+","Lincoln County, AR","05079",60
,"85+ years","85+","Little River County, AR","05081",89
,"85+ years","85+","Logan County, AR","05083",134
,"85+ years","85+","Lonoke County, AR","05085",307
,"85+ years","85+","Madison County, AR","05087",101
,"85+ years","85+","Marion County, AR","05089",150
,"85+ years","85+","Miller County, AR","05091",204
,"85+ years","85+","Mississippi County, AR","05093",176
,"85+ years","85+","Monroe County, AR","05095",54
,"85+ years","85+","Montgomery County, AR","05097",83
,"85+ years","85+","Nevada County, AR","05099",69
,"85+ years","85+","Newton County, AR","05101",56
,"85+ years","85+","Ouachita County, AR","05103",163
,"85+ years","85+","Perry County, AR","05105",78
,"85+ years","85+","Phillips County, AR","05107",89
,"85+ years","85+","Pike County, AR","05109",72
,"85+ years","85+","Poinsett County, AR","05111",141
,"85+ years","85+","Polk County, AR","05113",169
,"85+ years","85+","Pope County, AR","05115",352
,"85+ years","85+","Prairie County, AR","05117",73
,"85+ years","85+","Pulaski County, AR","05119",1920
,"85+ years","85+","Randolph County, AR","05121",138
,"85+ years","85+","St. Francis County, AR","05123",104
,"85+ years","85+","Saline County, AR","05125",672
,"85+ years","85+","Scott County, AR","05127",65
,"85+ years","85+","Searcy County, AR","05129",77
,"85+ years","85+","Sebastian County, AR","05131",675
,"85+ years","85+","Sevier County, AR","05133",85
,"85+ years","85+","Sharp County, AR","05135",165
,"85+ years","85+","Stone County, AR","05137",128
,"85+ years","85+","Union County, AR","05139",212
,"85+ years","85+","Van Buren County, AR","05141",143
,"85+ years","85+","Washington County, AR","05143",1021
,"85+ years","85+","White County, AR","05145",481
,"85+ years","85+","Woodruff County, AR","05147",55
,"85+ years","85+","Yell County, AR","05149",135
,"85+ years","85+","Alameda County, CA","06001",7157
,"85+ years","85+","Alpine County, CA","06003",Suppressed
,"85+ years","85+","Amador County, CA","06005",297
,"85+ years","85+","Butte County, CA","06007",1327
,"85+ years","85+","Calaveras County, CA","06009",334
,"85+ years","85+","Colusa County, CA","06011",110
,"85+ years","85+","Contra Costa County, CA","06013",6193
,"85+ years","85+","Del Norte County, CA","06015",166
,"85+ years","85+","El Dorado County, CA","06017",1313
,"85+ years","85+","Fresno County, CA","06019",4617
,"85+ years","85+","Glenn County, CA","06021",188
,"85+ years","85+","Humboldt County, CA","06023",767
,"85+ years","85+","Imperial County, CA","06025",857
,"85+ years","85+","Inyo County, CA","06027",165
,"85+ years","85+","Kern County, CA","06029",3183
,"85+ years","85+","Kings County, CA","06031",494
,"85+ years","85+","Lake County, CA","06033",430
,"85+ years","85+","Lassen County, CA","06035",138
,"85+ years","85+","Los Angeles County, CA","06037",47293
,"85+ years","85+","Madera County, CA","06039",720
,"85+ years","85+","Marin County, CA","06041",1891
,"85+ years","85+","Mariposa County, CA","06043",122
,"85+ years","85+","Mendocino County, CA","06045",527
,"85+ years","85+","Merced County, CA","06047",1052
,"85+ years","85+","Modoc County, CA","06049",68
,"85+ years","85+","Mono County, CA","06051",27
,"85+ years","85+","Monterey County, CA","06053",2053
,"85+ years","85+","Napa County, CA","06055",1077
,"85+ years","85+","Nevada County, CA","06057",812
,"85+ years","85+","Orange County, CA","06059",17543
,"85+ years","85+","Placer County, CA","06061",3074
,"85+ years","85+","Plumas County, CA","06063",130
,"85+ years","85+","Riverside County, CA","06065",12350
,"85+ years","85+","Sacramento County, CA","06067",7907
,"85+ years","85+","San Benito County, CA","06069",291
,"85+ years","85+","San Bernardino County, CA","06071",7899
,"85+ years","85+","San Diego County, CA","06073",17519
,"85+ years","85+","San Francisco County, CA","06075",4888
,"85+ years","85+","San Joaquin County, CA","06077",3364
,"85+ years","85+","San Luis Obispo County, CA","06079",1981
,"85+ years","85+","San Mateo County, CA","06081",4179
,"85+ years","85+","Santa Barbara County, CA","06083",2833
,"85+ years","85+","Santa Clara County, CA","06085",8948
,"85+ years","85+","Santa Cruz County, CA","06087",1210
,"85+ years","85+","Shasta County, CA","06089",1479
,"85+ years","85+","Sierra County, CA","06091",21
,"85+ years","85+","Siskiyou County, CA","06093",344
,"85+ years","85+","Solano County, CA","06095",2221
,"85+ years","85+","Sonoma County, CA","06097",3141
,"85+ years","85+","Stanislaus County, CA","06099",2675
,"85+ years","85+","Sutter County, CA","06101",543
,"85+ years","85+","Tehama County, CA","06103",445
,"85+ years","85+","Trinity County, CA","06105",73
,"85+ years","85+","Tulare County, CA","06107",1894
,"85+ years","85+","Tuolumne County, CA","06109",498
,"85+ years","85+","Ventura County, CA","06111",5078
,"85+ years","85+","Yolo County, CA","06113",1015
,"85+ years","85+","Yuba County, CA","06115",291
,"85+ years","85+","Adams County, CO","08001",1633
,"85+ years","85+","Alamosa County, CO","08003",81
,"85+ years","85+","Arapahoe County, CO","08005",2630
,"85+ years","85+","Archuleta County, CO","08007",77
,"85+ years","85+","Baca County, CO","08009",43
,"85+ years","85+","Bent County, CO","08011",37
,"85+ years","85+","Boulder County, CO","08013",1499
,"85+ years","85+","Broomfield County, CO","08014",323
,"85+ years","85+","Chaffee County, CO","08015",161
,"85+ years","85+","Cheyenne County, CO","08017",14
,"85+ years","85+","Clear Creek County, CO","08019",21
,"85+ years","85+","Conejos County, CO","08021",62
,"85+ years","85+","Costilla County, CO","08023",27
,"85+ years","85+","Crowley County, CO","08025",21
,"85+ years","85+","Custer County, CO","08027",28
,"85+ years","85+","Delta County, CO","08029",297
,"85+ years","85+","Denver County, CO","08031",2810
,"85+ years","85+","Dolores County, CO","08033",20
,"85+ years","85+","Douglas County, CO","08035",1322
,"85+ years","85+","Eagle County, CO","08037",75
