"Notes","Five-Year Age Groups","Five-Year Age Groups Code","HHS Region","HHS Region Code",Deaths,Population,Crude Rate
,"< 1 year","1","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",1607,365921,439.2
,"< 1 year","1","HHS Region #2  NJ, NY","HHS2",3520,807634,435.8
,"< 1 year","1","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",5281,849880,621.4
,"< 1 year","1","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",13688,1895109,722.3
,"< 1 year","1","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",9603,1471403,652.6
,"< 1 year","1","HHS Region #6  AR, LA, NM, OK, TX","HHS6",8941,1376432,649.6
,"< 1 year","1","HHS Region #7  IA, KS, MO, NE","HHS7",2628,423454,620.6
,"< 1 year","1","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",2024,379333,533.6
,"< 1 year","1","HHS Region #9  AZ, CA, HI, NV","HHS9",6642,1441343,460.8
,"< 1 year","1","HHS Region #10  AK, ID, OR, WA","HHS10",1986,401626,494.5
"Total","< 1 year","1",,,55920,9412135,594.1
,"1-4 years","1-4","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",281,1515374,18.5
,"1-4 years","1-4","HHS Region #2  NJ, NY","HHS2",639,3292449,19.4
,"1-4 years","1-4","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",939,3537430,26.5
,"1-4 years","1-4","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",2713,7799638,34.8
,"1-4 years","1-4","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",1763,6186431,28.5
,"1-4 years","1-4","HHS Region #6  AR, LA, NM, OK, TX","HHS6",1825,5710322,32.0
,"1-4 years","1-4","HHS Region #7  IA, KS, MO, NE","HHS7",556,1768759,31.4
,"1-4 years","1-4","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",403,1559313,25.8
,"1-4 years","1-4","HHS Region #9  AZ, CA, HI, NV","HHS9",1351,5964139,22.7
,"1-4 years","1-4","HHS Region #10  AK, ID, OR, WA","HHS10",384,1683220,22.8
"Total","1-4 years","1-4",,,10854,39017075,27.8
,"5-9 years","5-9","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",185,2007796,9.2
,"5-9 years","5-9","HHS Region #2  NJ, NY","HHS2",426,4241680,10.0
,"5-9 years","5-9","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",589,4635184,12.7
,"5-9 years","5-9","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",1630,10209202,16.0
,"5-9 years","5-9","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",1132,8192386,13.8
,"5-9 years","5-9","HHS Region #6  AR, LA, NM, OK, TX","HHS6",1089,7597835,14.3
,"5-9 years","5-9","HHS Region #7  IA, KS, MO, NE","HHS7",339,2322333,14.6
,"5-9 years","5-9","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",264,2081152,12.7
,"5-9 years","5-9","HHS Region #9  AZ, CA, HI, NV","HHS9",818,8034151,10.2
,"5-9 years","5-9","HHS Region #10  AK, ID, OR, WA","HHS10",256,2260620,11.3
"Total","5-9 years","5-9",,,6728,51582339,13.0
,"10-14 years","10-14","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",259,2139816,12.1
,"10-14 years","10-14","HHS Region #2  NJ, NY","HHS2",584,4319824,13.5
,"10-14 years","10-14","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",873,4784298,18.2
,"10-14 years","10-14","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",2480,10714045,23.1
,"10-14 years","10-14","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",1720,8534786,20.2
,"10-14 years","10-14","HHS Region #6  AR, LA, NM, OK, TX","HHS6",1727,7817993,22.1
,"10-14 years","10-14","HHS Region #7  IA, KS, MO, NE","HHS7",559,2409923,23.2
,"10-14 years","10-14","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",497,2184218,22.8
,"10-14 years","10-14","HHS Region #9  AZ, CA, HI, NV","HHS9",1278,8339947,15.3
,"10-14 years","10-14","HHS Region #10  AK, ID, OR, WA","HHS10",442,2326373,19.0
"Total","10-14 years","10-14",,,10419,53571223,19.4
,"15-19 years","15-19","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",1142,2440406,46.8
,"15-19 years","15-19","HHS Region #2  NJ, NY","HHS2",2086,4479575,46.6
,"15-19 years","15-19","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",3856,5000052,77.1
,"15-19 years","15-19","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",10714,10938509,97.9
,"15-19 years","15-19","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",6990,8811462,79.3
,"15-19 years","15-19","HHS Region #6  AR, LA, NM, OK, TX","HHS6",7615,7768413,98.0
,"15-19 years","15-19","HHS Region #7  IA, KS, MO, NE","HHS7",2308,2462120,93.7
,"15-19 years","15-19","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",2027,2203225,92.0
,"15-19 years","15-19","HHS Region #9  AZ, CA, HI, NV","HHS9",5958,8464595,70.4
,"15-19 years","15-19","HHS Region #10  AK, ID, OR, WA","HHS10",1770,2273501,77.9
"Total","15-19 years","15-19",,,44466,54841858,81.1
,"20-24 years","20-24","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",2458,2532119,97.1
,"20-24 years","20-24","HHS Region #2  NJ, NY","HHS2",4688,4552223,103.0
,"20-24 years","20-24","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",7598,5024607,151.2
,"20-24 years","20-24","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",19921,11126126,179.0
,"20-24 years","20-24","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",12524,8883240,141.0
,"20-24 years","20-24","HHS Region #6  AR, LA, NM, OK, TX","HHS6",12542,7710708,162.7
,"20-24 years","20-24","HHS Region #7  IA, KS, MO, NE","HHS7",3742,2539100,147.4
,"20-24 years","20-24","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",3230,2346401,137.7
,"20-24 years","20-24","HHS Region #9  AZ, CA, HI, NV","HHS9",11916,8675853,137.3
,"20-24 years","20-24","HHS Region #10  AK, ID, OR, WA","HHS10",3363,2409258,139.6
"Total","20-24 years","20-24",,,81982,55799635,146.9
,"25-29 years","25-29","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",3850,2532275,152.0
,"25-29 years","25-29","HHS Region #2  NJ, NY","HHS2",7251,4929153,147.1
,"25-29 years","25-29","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",10621,5197622,204.3
,"25-29 years","25-29","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",26157,11298399,231.5
,"25-29 years","25-29","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",17636,8913099,197.9
,"25-29 years","25-29","HHS Region #6  AR, LA, NM, OK, TX","HHS6",15375,7826976,196.4
,"25-29 years","25-29","HHS Region #7  IA, KS, MO, NE","HHS7",4698,2388116,196.7
,"25-29 years","25-29","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",4211,2425423,173.6
,"25-29 years","25-29","HHS Region #9  AZ, CA, HI, NV","HHS9",16833,9562838,176.0
,"25-29 years","25-29","HHS Region #10  AK, ID, OR, WA","HHS10",4395,2713493,162.0
"Total","25-29 years","25-29",,,111027,57787394,192.1
,"30-34 years","30-34","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",5448,2550024,213.6
,"30-34 years","30-34","HHS Region #2  NJ, NY","HHS2",9639,5059315,190.5
,"30-34 years","30-34","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",13670,5376725,254.2
,"30-34 years","30-34","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",33033,11297975,292.4
,"30-34 years","30-34","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",21907,8805346,248.8
,"30-34 years","30-34","HHS Region #6  AR, LA, NM, OK, TX","HHS6",19236,7846080,245.2
,"30-34 years","30-34","HHS Region #7  IA, KS, MO, NE","HHS7",5693,2326394,244.7
