"Notes","Five-Year Age Groups","Five-Year Age Groups Code","State","State Code",Deaths,Population,Crude Rate
,"< 1 year","1","Alabama","01",1198,145377,824.1
,"< 1 year","1","Alaska","02",173,24424,708.3
,"< 1 year","1","Arizona","04",1204,202266,595.3
,"< 1 year","1","Arkansas","05",750,91104,823.2
,"< 1 year","1","California","06",4719,1110423,425.0
,"< 1 year","1","Colorado","08",795,160096,496.6
,"< 1 year","1","Connecticut","09",454,88161,515.0
,"< 1 year","1","Delaware","10",172,27063,635.6
,"< 1 year","1","District of Columbia","11",120,22198,540.6
,"< 1 year","1","Florida","12",3604,559664,644.0
,"< 1 year","1","Georgia","13",2297,317931,722.5
,"< 1 year","1","Hawaii","15",218,41021,531.4
,"< 1 year","1","Idaho","16",284,56263,504.8
,"< 1 year","1","Illinois","17",2075,344191,602.9
,"< 1 year","1","Indiana","18",1510,203199,743.1
,"< 1 year","1","Iowa","19",517,93885,550.7
,"< 1 year","1","Kansas","20",575,88672,648.5
,"< 1 year","1","Kentucky","21",830,132744,625.3
,"< 1 year","1","Louisiana","22",1153,144633,797.2
,"< 1 year","1","Maine","23",175,30532,573.2
,"< 1 year","1","Maryland","24",1099,174939,628.2
,"< 1 year","1","Massachusetts","25",666,176739,376.8
,"< 1 year","1","Michigan","26",1804,268413,672.1
,"< 1 year","1","Minnesota","27",797,166454,478.8
,"< 1 year","1","Mississippi","28",899,89063,1009.4
,"< 1 year","1","Missouri","29",1151,178386,645.2
,"< 1 year","1","Montana","30",157,28698,547.1
,"< 1 year","1","Nebraska","31",385,62511,615.9
,"< 1 year","1","Nevada","32",501,87633,571.7
,"< 1 year","1","New Hampshire","33",122,30939,394.3
,"< 1 year","1","New Jersey","34",1085,255523,424.6
,"< 1 year","1","New Mexico","35",316,55835,566.0
,"< 1 year","1","New York","36",2435,552111,441.0
,"< 1 year","1","North Carolina","37",2263,302910,747.1
,"< 1 year","1","North Dakota","38",148,25689,576.1
,"< 1 year","1","Ohio","39",2487,332424,748.1
,"< 1 year","1","Oklahoma","40",897,122376,733.0
,"< 1 year","1","Oregon","41",503,104917,479.4
,"< 1 year","1","Pennsylvania","42",2025,335465,603.6
,"< 1 year","1","Rhode Island","44",138,25987,531.0
,"< 1 year","1","South Carolina","45",1077,143356,751.3
,"< 1 year","1","South Dakota","46",195,29461,661.9
,"< 1 year","1","Tennessee","47",1520,204064,744.9
,"< 1 year","1","Texas","48",5825,962484,605.2
,"< 1 year","1","Utah","49",646,119451,540.8
,"< 1 year","1","Vermont","50",52,13563,383.4
,"< 1 year","1","Virginia","51",1527,245912,621.0
,"< 1 year","1","Washington","53",1026,216022,475.0
,"< 1 year","1","West Virginia","54",338,44303,762.9
,"< 1 year","1","Wisconsin","55",930,156722,593.4
,"< 1 year","1","Wyoming","56",83,15938,520.8
,"1-4 years","1-4","Alabama","01",291,600374,48.5
,"1-4 years","1-4","Alaska","02",35,99426,35.2
,"1-4 years","1-4","Arizona","04",274,841655,32.6
,"1-4 years","1-4","Arkansas","05",146,378687,38.6
,"1-4 years","1-4","California","06",920,4583402,20.1
,"1-4 years","1-4","Colorado","08",129,650708,19.8
,"1-4 years","1-4","Connecticut","09",65,373069,17.4
