SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE
50,11,1,District of Columbia,District of Columbia,1,0,8850,4512,4338
50,11,1,District of Columbia,District of Columbia,1,1,8573,4383,4190
50,11,1,District of Columbia,District of Columbia,1,2,8512,4366,4146
50,11,1,District of Columbia,District of Columbia,1,3,8438,4379,4059
50,11,1,District of Columbia,District of Columbia,1,4,8375,4335,4040
50,11,1,District of Columbia,District of Columbia,1,5,8118,4010,4108
50,11,1,District of Columbia,District of Columbia,1,6,7582,3916,3666
50,11,1,District of Columbia,District of Columbia,1,7,7637,3974,3663
50,11,1,District of Columbia,District of Columbia,1,8,7432,3792,3640
50,11,1,District of Columbia,District of Columbia,1,9,6985,3568,3417
50,11,1,District of Columbia,District of Columbia,1,10,6559,3269,3290
50,11,1,District of Columbia,District of Columbia,1,11,6305,3128,3177
50,11,1,District of Columbia,District of Columbia,1,12,6170,3036,3134
50,11,1,District of Columbia,District of Columbia,1,13,5909,2941,2968
50,11,1,District of Columbia,District of Columbia,1,14,5438,2762,2676
50,11,1,District of Columbia,District of Columbia,1,15,5169,2568,2601
50,11,1,District of Columbia,District of Columbia,1,16,5123,2577,2546
50,11,1,District of Columbia,District of Columbia,1,17,5155,2579,2576
50,11,1,District of Columbia,District of Columbia,1,18,8798,3865,4933
50,11,1,District of Columbia,District of Columbia,1,19,12064,5540,6524
50,11,1,District of Columbia,District of Columbia,1,20,10345,4800,5545
50,11,1,District of Columbia,District of Columbia,1,21,8633,3964,4669
50,11,1,District of Columbia,District of Columbia,1,22,7849,3586,4263
50,11,1,District of Columbia,District of Columbia,1,23,10130,4334,5796
50,11,1,District of Columbia,District of Columbia,1,24,12365,5283,7082
50,11,1,District of Columbia,District of Columbia,1,25,13952,6104,7848
50,11,1,District of Columbia,District of Columbia,1,26,15021,6679,8342
50,11,1,District of Columbia,District of Columbia,1,27,15412,7054,8358
50,11,1,District of Columbia,District of Columbia,1,28,16229,7463,8766
50,11,1,District of Columbia,District of Columbia,1,29,16756,7869,8887
50,11,1,District of Columbia,District of Columbia,1,30,16854,8305,8549
50,11,1,District of Columbia,District of Columbia,1,31,16601,7933,8668
50,11,1,District of Columbia,District of Columbia,1,32,16237,7707,8530
50,11,1,District of Columbia,District of Columbia,1,33,15382,7444,7938
50,11,1,District of Columbia,District of Columbia,1,34,14802,7172,7630
50,11,1,District of Columbia,District of Columbia,1,35,14088,6906,7182
50,11,1,District of Columbia,District of Columbia,1,36,13422,6515,6907
50,11,1,District of Columbia,District of Columbia,1,37,12796,6272,6524
50,11,1,District of Columbia,District of Columbia,1,38,12088,5915,6173
50,11,1,District of Columbia,District of Columbia,1,39,11297,5576,5721
50,11,1,District of Columbia,District of Columbia,1,40,10703,5383,5320
50,11,1,District of Columbia,District of Columbia,1,41,9990,5031,4959
50,11,1,District of Columbia,District of Columbia,1,42,9129,4557,4572
50,11,1,District of Columbia,District of Columbia,1,43,8393,4183,4210
50,11,1,District of Columbia,District of Columbia,1,44,7790,3870,3920
50,11,1,District of Columbia,District of Columbia,1,45,7645,3847,3798
50,11,1,District of Columbia,District of Columbia,1,46,7307,3671,3636
50,11,1,District of Columbia,District of Columbia,1,47,7487,3789,3698
50,11,1,District of Columbia,District of Columbia,1,48,7610,3895,3715
50,11,1,District of Columbia,District of Columbia,1,49,7889,4053,3836
50,11,1,District of Columbia,District of Columbia,1,50,7467,3808,3659
50,11,1,District of Columbia,District of Columbia,1,51,7146,3660,3486
50,11,1,District of Columbia,District of Columbia,1,52,6922,3471,3451
50,11,1,District of Columbia,District of Columbia,1,53,6773,3387,3386
50,11,1,District of Columbia,District of Columbia,1,54,6950,3548,3402
50,11,1,District of Columbia,District of Columbia,1,55,7341,3700,3641
50,11,1,District of Columbia,District of Columbia,1,56,7263,3667,3596
50,11,1,District of Columbia,District of Columbia,1,57,7292,3652,3640
50,11,1,District of Columbia,District of Columbia,1,58,7126,3503,3623
50,11,1,District of Columbia,District of Columbia,1,59,7145,3568,3577
50,11,1,District of Columbia,District of Columbia,1,60,6904,3396,3508
50,11,1,District of Columbia,District of Columbia,1,61,6631,3189,3442
50,11,1,District of Columbia,District of Columbia,1,62,6537,3101,3436
50,11,1,District of Columbia,District of Columbia,1,63,6316,2935,3381
50,11,1,District of Columbia,District of Columbia,1,64,6185,2878,3307
50,11,1,District of Columbia,District of Columbia,1,65,6014,2736,3278
50,11,1,District of Columbia,District of Columbia,1,66,5887,2623,3264
50,11,1,District of Columbia,District of Columbia,1,67,5518,2435,3083
50,11,1,District of Columbia,District of Columbia,1,68,5288,2308,2980
50,11,1,District of Columbia,District of Columbia,1,69,5072,2184,2888
50,11,1,District of Columbia,District of Columbia,1,70,4907,2096,2811
50,11,1,District of Columbia,District of Columbia,1,71,4712,2063,2649
50,11,1,District of Columbia,District of Columbia,1,72,4544,1935,2609
50,11,1,District of Columbia,District of Columbia,1,73,4343,1888,2455
50,11,1,District of Columbia,District of Columbia,1,74,3281,1363,1918
50,11,1,District of Columbia,District of Columbia,1,75,3263,1385,1878
50,11,1,District of Columbia,District of Columbia,1,76,3142,1308,1834
50,11,1,District of Columbia,District of Columbia,1,77,3010,1211,1799
50,11,1,District of Columbia,District of Columbia,1,78,2703,1138,1565
50,11,1,District of Columbia,District of Columbia,1,79,2353,968,1385
50,11,1,District of Columbia,District of Columbia,1,80,2245,864,1381
50,11,1,District of Columbia,District of Columbia,1,81,2041,821,1220
50,11,1,District of Columbia,District of Columbia,1,82,1916,770,1146
50,11,1,District of Columbia,District of Columbia,1,83,1717,661,1056
50,11,1,District of Columbia,District of Columbia,1,84,1550,585,965
50,11,1,District of Columbia,District of Columbia,1,85,10647,3600,7047
50,11,1,District of Columbia,District of Columbia,2,0,8771,4486,4285
50,11,1,District of Columbia,District of Columbia,2,1,8548,4356,4192
50,11,1,District of Columbia,District of Columbia,2,2,8460,4338,4122
50,11,1,District of Columbia,District of Columbia,2,3,8376,4340,4036
50,11,1,District of Columbia,District of Columbia,2,4,8353,4313,4040
50,11,1,District of Columbia,District of Columbia,2,5,8123,4063,4060
50,11,1,District of Columbia,District of Columbia,2,6,7670,3923,3747
50,11,1,District of Columbia,District of Columbia,2,7,7576,3940,3636
50,11,1,District of Columbia,District of Columbia,2,8,7430,3808,3622
50,11,1,District of Columbia,District of Columbia,2,9,7064,3605,3459
50,11,1,District of Columbia,District of Columbia,2,10,6620,3319,3301
50,11,1,District of Columbia,District of Columbia,2,11,6313,3136,3177
50,11,1,District of Columbia,District of Columbia,2,12,6214,3062,3152
50,11,1,District of Columbia,District of Columbia,2,13,5955,2954,3001
50,11,1,District of Columbia,District of Columbia,2,14,5515,2785,2730
50,11,1,District of Columbia,District of Columbia,2,15,5224,2614,2610
50,11,1,District of Columbia,District of Columbia,2,16,5115,2568,2547
50,11,1,District of Columbia,District of Columbia,2,17,5083,2543,2540
50,11,1,District of Columbia,District of Columbia,2,18,5856,2794,3062
50,11,1,District of Columbia,District of Columbia,2,19,6734,3286,3448
50,11,1,District of Columbia,District of Columbia,2,20,6468,3185,3283
50,11,1,District of Columbia,District of Columbia,2,21,6217,2977,3240
50,11,1,District of Columbia,District of Columbia,2,22,7022,3206,3816
50,11,1,District of Columbia,District of Columbia,2,23,9513,4089,5424
50,11,1,District of Columbia,District of Columbia,2,24,11850,5062,6788
50,11,1,District of Columbia,District of Columbia,2,25,13575,5922,7653
50,11,1,District of Columbia,District of Columbia,2,26,14735,6547,8188
50,11,1,District of Columbia,District of Columbia,2,27,15279,6977,8302
50,11,1,District of Columbia,District of Columbia,2,28,16043,7396,8647
50,11,1,District of Columbia,District of Columbia,2,29,16586,7780,8806
50,11,1,District of Columbia,District of Columbia,2,30,16816,8198,8618
50,11,1,District of Columbia,District of Columbia,2,31,16493,7946,8547
50,11,1,District of Columbia,District of Columbia,2,32,16087,7662,8425
50,11,1,District of Columbia,District of Columbia,2,33,15401,7415,7986
50,11,1,District of Columbia,District of Columbia,2,34,14774,7161,7613
50,11,1,District of Columbia,District of Columbia,2,35,14207,6951,7256
50,11,1,District of Columbia,District of Columbia,2,36,13348,6493,6855
50,11,1,District of Columbia,District of Columbia,2,37,12848,6276,6572
50,11,1,District of Columbia,District of Columbia,2,38,12188,5949,6239
50,11,1,District of Columbia,District of Columbia,2,39,11299,5554,5745
50,11,1,District of Columbia,District of Columbia,2,40,10840,5412,5428
50,11,1,District of Columbia,District of Columbia,2,41,10071,5062,5009
50,11,1,District of Columbia,District of Columbia,2,42,9202,4600,4602
50,11,1,District of Columbia,District of Columbia,2,43,8558,4261,4297
50,11,1,District of Columbia,District of Columbia,2,44,7810,3876,3934
50,11,1,District of Columbia,District of Columbia,2,45,7627,3807,3820
50,11,1,District of Columbia,District of Columbia,2,46,7279,3642,3637
50,11,1,District of Columbia,District of Columbia,2,47,7364,3713,3651
50,11,1,District of Columbia,District of Columbia,2,48,7518,3827,3691
50,11,1,District of Columbia,District of Columbia,2,49,7789,3989,3800
50,11,1,District of Columbia,District of Columbia,2,50,7511,3835,3676
50,11,1,District of Columbia,District of Columbia,2,51,7088,3615,3473
50,11,1,District of Columbia,District of Columbia,2,52,6908,3469,3439
50,11,1,District of Columbia,District of Columbia,2,53,6698,3335,3363
50,11,1,District of Columbia,District of Columbia,2,54,6852,3477,3375
50,11,1,District of Columbia,District of Columbia,2,55,7165,3595,3570
50,11,1,District of Columbia,District of Columbia,2,56,7206,3627,3579
50,11,1,District of Columbia,District of Columbia,2,57,7210,3607,3603
50,11,1,District of Columbia,District of Columbia,2,58,7100,3494,3606
50,11,1,District of Columbia,District of Columbia,2,59,7072,3503,3569
50,11,1,District of Columbia,District of Columbia,2,60,6880,3387,3493
50,11,1,District of Columbia,District of Columbia,2,61,6607,3174,3433
50,11,1,District of Columbia,District of Columbia,2,62,6454,3060,3394
50,11,1,District of Columbia,District of Columbia,2,63,6332,2938,3394
50,11,1,District of Columbia,District of Columbia,2,64,6118,2833,3285
50,11,1,District of Columbia,District of Columbia,2,65,5987,2727,3260
50,11,1,District of Columbia,District of Columbia,2,66,5854,2609,3245
50,11,1,District of Columbia,District of Columbia,2,67,5503,2422,3081
50,11,1,District of Columbia,District of Columbia,2,68,5242,2286,2956
50,11,1,District of Columbia,District of Columbia,2,69,5079,2182,2897
50,11,1,District of Columbia,District of Columbia,2,70,4880,2084,2796
50,11,1,District of Columbia,District of Columbia,2,71,4684,2029,2655
50,11,1,District of Columbia,District of Columbia,2,72,4493,1915,2578
50,11,1,District of Columbia,District of Columbia,2,73,4476,1926,2550
50,11,1,District of Columbia,District of Columbia,2,74,3325,1393,1932
50,11,1,District of Columbia,District of Columbia,2,75,3246,1357,1889
50,11,1,District of Columbia,District of Columbia,2,76,3100,1290,1810
