GEOID,SEX,2029,AGE_GROUP,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
01,FEMALE,136784.87074028415,0-4,133829.53716492857,131630.87422059968,128012.60740501997,122242.73642179945,116103.32918581483,110584.09876042997,106400.42224442185,103633.25635190267,101180.47853107267,98058.04491026026,94266.86796633221,90446.29835467208,87174.5441889906
01,MALE,143624.11430533923,0-4,140521.01405061,138212.41795861398,134413.23780151352,128354.87326794917,121908.49566890673,116113.30372112119,111720.443378455,108814.91919074261,106239.50247836827,102960.94717587516,98980.2113839735,94968.61329094715,91533.27141631089
02,FEMALE,19465.05202114609,0-4,16814.61695724496,15163.24456332491,14177.079989550244,13373.250279274498,12452.77218139776,11474.90348272443,10652.53317054797,10070.823563745405,9669.17720857047,9337.728353399842,9001.564487208643,8657.387154029295,8348.245239271542
02,MALE,20438.304626193727,0-4,17655.3478085542,15921.406794599618,14885.933991934055,14041.912795979737,13075.410793020465,12048.648659213004,11185.159831259136,10574.364743997192,10152.636070981174,9804.614772984065,9451.642713414394,9090.256513505521,8765.657502946508
04,FEMALE,190527.68975134194,0-4,190112.07488020274,188040.24845889438,183485.0528536562,175742.97566109666,167527.13393601013,161031.62102043652,157523.57539260318,156163.76952632787,154896.62818297913,152323.48131487652,148499.24970663444,144448.76686770513,141242.73322035323
04,MALE,200054.07427796716,0-4,199617.6786631858,197442.26092038729,192659.30553395342,184530.12448017875,175903.49066715364,169083.20210446982,165399.75419452562,163971.9580346578,162641.45962388185,159939.65541184664,155924.21222240847,151671.20524070237,148304.86991032562
05,FEMALE,83199.47412710862,0-4,81054.33850729663,79543.46501975722,77604.31267908312,74389.07930158841,70598.19805537812,67098.15562912222,64578.84256884976,62986.35316218606,61600.99848527338,59815.56210995341,57599.14768284802,55341.215790409995,53435.89132077335
05,MALE,87359.44785051994,0-4,85107.05544927758,83520.63828705146,81484.52832894615,78108.53328191758,74128.10797261965,70453.06342433345,67807.78471053089,66135.67083320755,64681.048422165244,62806.34022771326,60479.10507879824,58108.27659127543,56107.685897766365
06,FEMALE,1023684.7507625717,0-4,1074110.9216899395,1117382.3294881168,1157922.209000993,1175870.5112101152,1171369.4241926267,1168533.3378328122,1180802.6623376727,1205648.2342723324,1233466.4462024379,1254139.7304214465,1264155.3901970366,1266217.5637522922,1267012.7999511196
06,MALE,1074868.9885105556,0-4,1127816.467994629,1173251.4461915856,1215818.3196884166,1234664.0370116741,1229937.8956423884,1226960.004964002,1239842.7956966206,1265930.6462331065,1295139.76876542,1316846.717199617,1327363.15996604,1329528.4421994812,1330363.440208413
08,FEMALE,159018.0407830762,0-4,156157.29526154388,150526.12658188317,145768.8854053901,141000.06404560583,136416.88823271813,132788.76923038464,130834.78685157983,129518.9339473349,127700.48272773006,125240.89598391202,122382.72632072406,119494.51002273521,117078.96411223387
08,MALE,166968.9428548287,0-4,163965.1600566333,158052.43294183514,153057.32970554216,148050.0672767911,143237.7326723195,139428.20771912555,137376.52622097993,135994.880671253,134085.50689029513,131502.94080878198,128501.86266184869,125469.23554836834,122932.91234184674
09,FEMALE,84518.53113886906,0-4,83386.78647945836,83091.13120602789,81585.14531339522,77087.42738070614,72616.21821887372,69168.74050940195,66725.35193974864,65506.361232226074,64855.22403737008,63725.57968624162,61729.51073330606,59415.05964007068,57424.25749749814
09,MALE,88744.4577131388,0-4,87556.12582052556,87245.68778336294,85664.40259578993,80941.79876554434,76247.02914470372,72627.17754905163,70061.61955041476,68781.67930726617,68097.98525253388,66911.85868361742,64815.98628262589,62385.812634254275,60295.470384145
10,FEMALE,26367.410302414595,0-4,26573.582666643044,27101.19419460989,27476.29189960289,26908.191233322814,25865.44943370707,24888.86867187046,24283.06913615243,24063.558526353936,24014.178676903244,23817.70212069415,23331.93944612296,22675.119214011338,22051.556120841873
10,MALE,27685.780822940636,0-4,27902.261805422775,28456.253909896124,28850.10650021567,28253.600800505126,27158.721910694836,26133.312110566196,25497.222597938075,25266.736457604657,25214.88761567131,25008.58723161148,24498.53642321215,23808.875179360297,23154.133931404533
11,FEMALE,17842.412075159424,0-4,17865.393208791204,17105.960751900377,16379.731223590326,15748.21914154137,15132.973650634249,14593.992883187628,14108.905427809874,13789.359035596353,13634.503914674735,13481.571178209522,13251.297037589617,12952.547769091292,12642.737323815236
11,MALE,18734.53268257509,0-4,18758.66287289317,17961.258793002115,17198.717788127684,16535.630101846822,15889.622336268218,15323.692530338774,14814.35070209269,14478.826990202988,14316.229113203543,14155.649739883718,13913.86189218561,13600.175160201125,13274.874192597756
12,FEMALE,550734.4651406392,0-4,541702.9851877369,537528.5379418314,536381.5678596445,531186.5362231806,522018.8686416761,512511.91738913226,505600.0506156915,501995.74826732546,500442.6559862796,498216.8082291472,493896.4534140342,488088.7825363172,482382.50452577637
12,MALE,578271.1885105717,0-4,568788.1345581728,564404.9649491162,563200.6463625849,557745.8631432327,548119.8121807736,538137.5133636537,530880.053250124,527095.5357836008,525464.7888881842,523127.64874273894,518591.27618598455,512493.22176319116,506501.6298509535
13,FEMALE,302236.2231043319,0-4,293958.25690143293,287880.1001192772,281763.4022202116,271374.45043335296,258681.98283585723,246878.27919616934,238301.90621209156,232747.05596876936,228321.77201040374,223013.47050751105,216255.96038700448,208938.30080844965,202372.222238081
13,MALE,317348.03432150686,0-4,308656.169806766,302274.10518425645,295851.57238898356,284943.1730106523,271616.08203067986,259222.19320658778,250217.00157154797,244384.4088149209,239737.86065772985,234164.14407860432,227068.75845068714,219385.21589170443,212490.8333914713
15,FEMALE,36827.85985499076,0-4,35637.195569736294,34954.44082798953,34590.62506108666,34004.87761588048,33009.72612995454,31837.67625813426,30981.093958305475,30571.052762291412,30374.377501953077,30104.7334874271,29649.478095307673,29063.564789194264,28506.238131309125
15,MALE,38669.25285529,0-4,37419.055355528726,36702.162876554656,36320.15632123206,35705.1215036455,34660.21244321925,33429.56007756769,32530.148662571868,32099.605406673043,31893.096383277472,31609.970167969917,31131.952006151198,30516.743034612,29931.55004371835
16,FEMALE,55123.62159727039,0-4,55326.34940521731,56308.40368977464,55999.453170256704,53291.39359008628,49872.52079706168,47311.97009017144,46290.56226204654,46197.2923290476,46062.812560761784,45166.02447581207,43560.76775327694,41861.4662471237,40644.527972092896
16,MALE,57879.80268843424,0-4,58092.66688682006,59123.823885806574,58799.42584024942,55955.96328051531,52366.146847138625,49677.56860437895,48605.09038463842,48507.156954970415,48365.953198242736,47424.325708861696,45738.80614987073,43954.53956806148,42676.75437902967
17,FEMALE,302868.43829863,0-4,297515.3443438439,290796.0022519634,281925.79206792824,268807.08758481767,253867.0595122719,238543.14240302405,227008.3306056506,220942.15029386824,217001.87805305392,211912.82304860823,204923.33502699944,196959.29308058633,189471.5196789925
17,MALE,318011.86027564947,0-4,312391.1116220267,305335.8024241747,296022.0817291194,282247.4420191639,266560.4125399282,250470.2995720765,238358.74718246982,231989.25785385474,227851.97200019192,222508.46424448074,215169.50182035865,206807.25777499226,198945.09570178375
18,FEMALE,190376.20567926753,0-4,188047.7034988052,186661.23670744372,183116.39013250836,176250.93854509332,167861.0210009556,159882.13138912732,154362.44748312925,151394.47043382854,148966.7236487785,145299.65668443823,140199.24799479355,134644.90283641903,129796.60984085106
18,MALE,199895.01600225797,0-4,197450.0887122952,195994.2985810814,192272.20967667262,185063.48550847938,176254.07208541487,167876.2379913595,162080.56988892995,158964.1939865558,156415.05986175558,152564.63954844655,147209.21042327405,141377.14800584217,136286.4403595019
19,FEMALE,87018.94394595339,0-4,88803.60523357528,91421.9403090561,90834.25232428449,86956.11374111808,82137.34793952855,77820.12151104542,75735.61873942647,75779.66090801012,75964.04609010275,74685.28217013768,71961.4732184712,68820.48004113865,66337.3487213171
19,MALE,91369.89116108994,0-4,93243.78551345874,95993.0373432504,95375.96495911971,91303.91944599997,86244.21535334313,81711.1276025508,79522.39969192357,79568.64396894543,79762.2484101805,78419.54629395502,75559.54689414686,72261.50405730377,69654.2161709821
20,FEMALE,80460.65268166573,0-4,80587.99648953887,81006.02571465175,79516.8834479553,75974.46767129308,71761.89989267915,68038.77494685735,65726.48522033615,64845.048424084365,64169.5377328089,62703.2440491721,60417.01464899949,57923.786075995675,55861.57919444449
20,MALE,84483.68533224343,0-4,84617.39633053633,85056.32701699057,83492.727636654,79773.19107043247,75349.99490202428,71440.71370814815,69012.80949482687,68087.3008585818,67378.01463260408,65838.40626448486,63437.86539383493,60819.97539166981,58654.658165618326
21,FEMALE,125900.04401606016,0-4,123235.38986712841,121191.23347575098,118782.49728901347,114907.4501546679,110284.94922532051,105781.44958596262,102237.94052032862,99887.9629737611,97903.49409030803,95464.75942385105,92435.17670611157,89226.43936447815,86348.01241920571
21,MALE,132195.04624267266,0-4,129397.15938574806,127250.79517438271,124721.62217781453,120652.82268595729,115799.19670919493,111070.52208694592,107349.8375673038,104882.36114292617,102798.66881489362,100237.99741461386,97056.93556036636,93687.76135099346,90665.41305786732
22,FEMALE,127085.80870448439,0-4,123793.66325502368,122197.30289540486,120372.4119396369,116594.67165398279,111435.65770113857,106091.48440290341,101899.42846637199,99471.18777602687,97847.48667721385,95788.69297443834,92913.34044599604,89658.09390045787,86705.58698328274
22,MALE,133440.09916576114,0-4,129983.34644315254,128307.16806522553,126391.03256129507,122424.40526058382,117007.44060903977,111396.0586447973,106994.39991057994,104444.74718521978,102739.86103113326,100578.12764279691,97559.00748734306,94140.99861386065,91040.8663502215
23,FEMALE,28214.673541620472,0-4,26924.262444179465,26032.16053292519,25160.58853548865,23650.861838440003,22009.059162652058,20577.19947441623,19576.755111051298,18923.20103120804,18394.526899485783,17746.05236976405,16911.682806709312,16032.388201369535,15280.341240003643
23,MALE,29625.407224485498,0-4,28270.475571907904,27333.76856490804,26418.617967420996,24833.404935210423,23109.512125296515,21606.059452355363,20555.592870617093,19869.361086647692,19314.253248230943,18633.354991890188,17757.26695051167,16834.007614724647,16044.358305136293
24,FEMALE,160785.90983165125,0-4,155104.32283334827,151379.9876097204,150052.31525179942,147328.8243073709,142446.95323127302,136298.71127754694,130761.00033287311,127207.48070169575,125241.13336770162,123558.87891220675,121226.30640918465,118124.07736170082,114769.20569361481
24,MALE,168825.20535619487,0-4,162859.53900681206,158948.9870212393,157554.93104515006,154695.26555294183,149569.30092203827,143113.6468693655,137299.05037632276,133567.85476285804,131503.19006176112,129736.82288314663,127287.62175449524,124030.28125400127,120507.66600182322
25,FEMALE,167553.57493068167,0-4,170287.93925569626,171465.66701518063,167821.52161178316,157809.5963504278,149160.53190065024,144031.52061310684,141218.46261364917,140526.00657025893,140401.41850360524,138711.71828798222,134945.70438667972,130566.88507062967,127091.54781649837
25,MALE,175931.2537115642,0-4,178802.33625339004,180038.9504010901,176212.5977267757,165700.07620030013,156618.55852626063,151233.09667328862,148279.3857732814,147552.30692757966,147421.48945756775,145647.30423081722,141692.98963367756,137095.22935092731,133446.125233377
26,FEMALE,238713.2601313374,0-4,234941.3087800098,230888.5784147888,224490.71004872912,214552.3900196598,202769.7780056663,190338.26261446968,180819.87001293263,175749.18205582796,172296.0219688988,167733.69888075013,161491.70897884612,154402.29291522998,147752.27135198042
26,MALE,250648.92318684043,0-4,246688.37426717317,242433.00738286035,235715.2455971861,225280.00956462597,212908.26694751738,199855.17578421248,189860.86355064728,184536.64119464788,180910.82310266438,176120.38385917302,169566.2944608942,162122.4075926439,155139.88494986863
27,FEMALE,150632.14040942336,0-4,147476.48274333004,146865.71009292462,146066.91585568243,142164.5691909489,135600.64883998316,127554.31211221778,121589.08176422081,119017.38293679888,118153.58752112719,116738.04217526597,113672.48002728242,109284.65651778097,104751.54115447737
27,MALE,158163.7474607741,0-4,154850.30691072918,154208.9956276783,153370.26167841023,149272.79767964003,142380.6813097804,133932.0277439773,127668.53587735757,124968.25210803736,124061.266921405,122574.94430796054,119356.10405194938,114748.88936607334,109989.11823367528
28,FEMALE,78679.40669899351,0-4,77830.61443358361,77029.62297759052,74759.89844479745,70848.2989183914,66654.23578671839,63118.20188712859,60657.27442583815,59151.13035057947,57703.13188992339,55681.29132450408,53215.81310087244,50818.34610655942,48867.080825932324
28,MALE,82613.37705007243,0-4,81722.14517121806,80881.1041422611,78497.8933823631,74390.71387883487,69986.94758971842,66274.11199442424,63690.13815956479,62108.68688023441,60588.288496248686,58465.35590214394,55876.60376682528,53359.26342230514,51310.434877246684
29,FEMALE,162784.64302848294,0-4,159435.48378977634,157643.3129477505,154753.98927106525,148903.62978592442,141503.49029226234,134190.1273547138,129018.77956925091,126266.48601392494,124208.20530722989,121229.34964485416,117001.6781536501,112303.90015510902,108167.65563625142
29,MALE,170923.87521327793,0-4,167407.2580119494,165525.47862745484,162491.68876634305,156348.81130574585,148578.66483588365,140899.63374995845,135469.71857416228,132579.8103405058,130418.61559805404,127290.81715194884,122851.76208531791,117919.09518588675,113576.03844023835
