GEOID,AGE_GROUP,SEX,2029,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
01,0-4,FEMALE,136785.0,133829.0,131631.0,128012.0,122243.0,116103.0,110584.0,106400.0,103633.0,101180.0,98058.0,94267.0,90446.0,87174.0
01,10-14,FEMALE,155423.0,145894.0,135892.0,133110.0,131052.0,127605.0,122019.0,116029.0,110632.0,106552.0,103867.0,101494.0,98455.0,94743.0
01,15-19,FEMALE,158461.0,155212.0,145721.0,135807.0,133042.0,130997.0,127583.0,122040.0,116085.0,110716.0,106659.0,103992.0,101639.0,98623.0
01,20-24,FEMALE,180038.0,163969.0,160552.0,150706.0,140757.0,137976.0,135925.0,132523.0,126929.0,120870.0,115394.0,111270.0,108584.0,106233.0
01,25-29,FEMALE,172326.0,179746.0,164091.0,160646.0,150852.0,141131.0,138403.0,136388.0,133071.0,127585.0,121612.0,116205.0,112143.0,109508.0
01,30-34,FEMALE,163362.0,170164.0,177436.0,162263.0,158870.0,149252.0,139815.0,137167.0,135213.0,132005.0,126666.0,120831.0,115544.0,111578.0
01,35-39,FEMALE,175119.0,161047.0,167586.0,174712.0,160078.0,156766.0,147372.0,138256.0,135710.0,133837.0,130756.0,125587.0,119913.0,114766.0
01,40-44,FEMALE,167737.0,173584.0,159810.0,166253.0,173332.0,159043.0,155820.0,146580.0,137667.0,135208.0,133407.0,130419.0,125360.0,119787.0
01,45-49,FEMALE,165196.0,165971.0,171926.0,158464.0,164835.0,171888.0,157961.0,154846.0,145777.0,137077.0,134716.0,132998.0,130111.0,125166.0
01,5-9,FEMALE,146099.0,136001.0,133202.0,131130.0,127651.0,122022.0,115997.0,110573.0,106470.0,103768.0,101376.0,98313.0,94577.0,90802.0
01,50-54,FEMALE,154906.0,162345.0,163314.0,169349.0,156249.0,162619.0,169693.0,156146.0,153184.0,144342.0,135872.0,133630.0,132013.0,129242.0
01,55-59,FEMALE,162498.0,150948.0,158492.0,159672.0,165800.0,153184.0,159558.0,166653.0,153576.0,150812.0,142259.0,134077.0,131986.0,130499.0
01,60-64,FEMALE,159295.0,156548.0,145769.0,153447.0,154926.0,161213.0,149259.0,155687.0,162839.0,150367.0,147884.0,139717.0,131910.0,130033.0
01,65-69,FEMALE,167326.0,150837.0,148809.0,139019.0,146839.0,148688.0,155168.0,144057.0,150564.0,157788.0,146079.0,143959.0,136279.0,128942.0
01,70-74,FEMALE,153840.0,155090.0,140471.0,139244.0,130615.0,138506.0,140741.0,147378.0,137270.0,143872.0,151160.0,140331.0,138646.0,131553.0
01,75-79,FEMALE,123437.0,137278.0,139319.0,127040.0,126813.0,119649.0,127580.0,130275.0,137082.0,128268.0,134986.0,142338.0,132640.0,131523.0
01,80-84,FEMALE,86786.0,101637.0,114320.0,117252.0,108082.0,109076.0,103863.0,111735.0,115006.0,121958.0,114973.0,121745.0,129091.0,121053.0
01,85+,FEMALE,59116.0,75970.0,92488.0,106825.0,112847.0,106597.0,107061.0,105567.0,116268.0,125213.0,135574.0,133001.0,138941.0,149919.0
01,0-4,MALE,143624.0,140521.0,138213.0,134414.0,128355.0,121909.0,116114.0,111721.0,108815.0,106240.0,102961.0,98981.0,94969.0,91534.0
01,10-14,MALE,161663.0,151465.0,142462.0,139608.0,137501.0,133933.0,128110.0,121859.0,116225.0,111968.0,109171.0,106699.0,103525.0,99644.0
01,15-19,MALE,165815.0,161364.0,151235.0,142339.0,139522.0,137442.0,133920.0,128153.0,121949.0,116353.0,112127.0,109355.0,106908.0,103763.0
01,20-24,MALE,185695.0,171429.0,166901.0,156503.0,147636.0,144840.0,142778.0,139302.0,133530.0,127263.0,121591.0,117319.0,114543.0,112113.0
01,25-29,MALE,174730.0,184496.0,170685.0,166261.0,156059.0,147517.0,144845.0,142879.0,139554.0,133964.0,127853.0,122313.0,118154.0,115470.0
01,30-34,MALE,162337.0,171207.0,180774.0,167564.0,163341.0,153478.0,145325.0,142811.0,140972.0,137833.0,132482.0,126597.0,121254.0,117254.0
01,35-39,MALE,170519.0,159337.0,167935.0,177318.0,164704.0,160677.0,151160.0,143392.0,141038.0,139330.0,136375.0,131259.0,125598.0,120451.0
01,40-44,MALE,158371.0,167249.0,156583.0,165075.0,174366.0,162247.0,158443.0,149247.0,141797.0,139607.0,138038.0,135250.0,130331.0,124856.0
01,45-49,MALE,155973.0,155044.0,163957.0,153826.0,162253.0,171493.0,159891.0,156337.0,147480.0,140359.0,138351.0,136936.0,134325.0,129607.0
01,5-9,MALE,151727.0,142613.0,139723.0,137588.0,133976.0,128100.0,121804.0,116134.0,111847.0,109027.0,106531.0,103329.0,99419.0,95466.0
01,50-54,MALE,144678.0,151750.0,151212.0,160155.0,150567.0,158999.0,168251.0,157176.0,153910.0,145431.0,138645.0,136836.0,135592.0,133170.0
01,55-59,MALE,154518.0,139558.0,146794.0,146648.0,155604.0,146624.0,155048.0,164293.0,153795.0,150849.0,142787.0,136371.0,134781.0,133728.0
01,60-64,MALE,148694.0,146104.0,132522.0,139951.0,140325.0,149333.0,141190.0,149639.0,158899.0,149185.0,146684.0,139195.0,133281.0,132004.0
01,65-69,MALE,149748.0,135877.0,134385.0,122615.0,130203.0,131217.0,140246.0,133217.0,141682.0,150930.0,142262.0,140361.0,133644.0,128400.0
01,70-74,MALE,128645.0,131983.0,120710.0,120330.0,110559.0,118164.0,119802.0,128752.0,122963.0,131397.0,140578.0,133096.0,131869.0,126046.0
01,75-79,MALE,96458.0,107841.0,111835.0,103364.0,104159.0,96589.0,104115.0,106393.0,115182.0,110790.0,119147.0,128197.0,122071.0,121620.0
01,80-84,MALE,63262.0,73076.0,83118.0,87597.0,82256.0,84243.0,79222.0,86501.0,89465.0,97901.0,95188.0,103293.0,112036.0,107621.0
01,85+,MALE,31444.0,41992.0,50755.0,59720.0,65230.0,63276.0,66243.0,65678.0,74185.0,80535.0,89900.0,91170.0,99417.0,110985.0
02,0-4,FEMALE,19465.0,16815.0,15163.0,14177.0,13373.0,12453.0,11475.0,10653.0,10071.0,9669.0,9338.0,9002.0,8657.0,8348.0
02,10-14,FEMALE,22529.0,19620.0,17053.0,14970.0,13666.0,12887.0,12230.0,11464.0,10654.0,9983.0,9518.0,9200.0,8930.0,8648.0
02,15-19,FEMALE,23299.0,21003.0,18352.0,16048.0,14192.0,13027.0,12328.0,11728.0,11024.0,10281.0,9672.0,9254.0,8970.0,8724.0
02,20-24,FEMALE,19710.0,20615.0,18688.0,16425.0,14507.0,12983.0,12025.0,11448.0,10936.0,10326.0,9686.0,9170.0,8823.0,8589.0
02,25-29,FEMALE,20289.0,18808.0,19428.0,17826.0,15860.0,14297.0,13096.0,12339.0,11879.0,11435.0,10887.0,10320.0,9878.0,9596.0
02,30-34,FEMALE,22442.0,18807.0,17687.0,18109.0,16764.0,15055.0,13762.0,12796.0,12184.0,11807.0,11417.0,10925.0,10420.0,10037.0
02,35-39,FEMALE,25271.0,20605.0,17655.0,16840.0,17104.0,15972.0,14480.0,13410.0,12640.0,12149.0,11842.0,11498.0,11053.0,10600.0
02,40-44,FEMALE,24656.0,22584.0,18563.0,16034.0,15367.0,15574.0,14589.0,13274.0,12351.0,11695.0,11276.0,11013.0,10709.0,10311.0
02,45-49,FEMALE,21925.0,21919.0,20238.0,16778.0,14618.0,14082.0,14242.0,13388.0,12228.0,11433.0,10878.0,10522.0,10298.0,10030.0
02,5-9,FEMALE,21058.0,18195.0,15859.0,14400.0,13530.0,12810.0,11975.0,11089.0,10349.0,9831.0,9476.0,9179.0,8873.0,8555.0
02,50-54,FEMALE,17865.0,19741.0,19790.0,18379.0,15329.0,13433.0,12992.0,13129.0,12375.0,11339.0,10641.0,10160.0,9853.0,9660.0
02,55-59,FEMALE,17640.0,16104.0,17828.0,17918.0,16740.0,14046.0,12380.0,12021.0,12137.0,11471.0,10543.0,9930.0,9514.0,9249.0
02,60-64,FEMALE,18025.0,16392.0,15026.0,16676.0,16806.0,15793.0,13329.0,11816.0,11516.0,11625.0,11017.0,10153.0,9594.0,9222.0
02,65-69,FEMALE,19184.0,16454.0,15034.0,13831.0,15391.0,15558.0,14699.0,12467.0,11105.0,10858.0,10963.0,10417.0,9625.0,9121.0
02,70-74,FEMALE,17826.0,17571.0,15126.0,13878.0,12813.0,14299.0,14494.0,13747.0,11704.0,10463.0,10259.0,10370.0,9876.0,9144.0
02,75-79,FEMALE,13884.0,15896.0,15741.0,13620.0,12569.0,11660.0,13064.0,13293.0,12671.0,10839.0,9735.0,9579.0,9700.0,9266.0
02,80-84,FEMALE,7851.0,10808.0,12456.0,12427.0,10845.0,10102.0,9439.0,10637.0,10889.0,10469.0,9029.0,8175.0,8097.0,8219.0
02,85+,FEMALE,5551.0,7674.0,10691.0,13021.0,13786.0,12708.0,11874.0,11282.0,12442.0,13337.0,13516.0,12396.0,11369.0,11129.0
02,0-4,MALE,20438.0,17655.0,15921.0,14886.0,14042.0,13075.0,12049.0,11185.0,10574.0,10153.0,9805.0,9452.0,9090.0,8766.0
02,10-14,MALE,23664.0,20495.0,18034.0,15894.0,14551.0,13745.0,13060.0,12257.0,11409.0,10710.0,10227.0,9898.0,9616.0,9317.0
02,15-19,MALE,24457.0,22133.0,19258.0,17067.0,15179.0,13988.0,13270.0,12644.0,11905.0,11128.0,10495.0,10063.0,9770.0,9514.0
02,20-24,MALE,22765.0,21883.0,19954.0,17510.0,15709.0,14189.0,13229.0,12644.0,12107.0,11461.0,10788.0,10251.0,9896.0,9657.0
02,25-29,MALE,26437.0,21515.0,20731.0,19170.0,17094.0,15676.0,14535.0,13813.0,13364.0,12902.0,12324.0,11729.0,11276.0,10997.0
02,30-34,MALE,26970.0,23961.0,20230.0,19522.0,18236.0,16454.0,15309.0,14429.0,13866.0,13508.0,13104.0,12584.0,12054.0,11664.0
02,35-39,MALE,28408.0,24455.0,22125.0,19345.0,18706.0,17641.0,16102.0,15176.0,14507.0,14075.0,13793.0,13438.0,12966.0,12491.0
02,40-44,MALE,26985.0,25029.0,21716.0,19791.0,17508.0,16955.0,16049.0,14718.0,13941.0,13394.0,13040.0,12807.0,12500.0,12085.0
02,45-49,MALE,24813.0,23733.0,22229.0,19447.0,17861.0,15992.0,15512.0,14739.0,13582.0,12930.0,12486.0,12198.0,12007.0,11740.0
02,5-9,MALE,21920.0,19154.0,16731.0,15216.0,14312.0,13560.0,12686.0,11758.0,10984.0,10443.0,10074.0,9763.0,9441.0,9106.0
02,50-54,MALE,20505.0,21985.0,21141.0,19942.0,17551.0,16208.0,14637.0,14218.0,13552.0,12539.0,11982.0,11612.0,11374.0,11217.0
02,55-59,MALE,19808.0,18031.0,19419.0,18782.0,17852.0,15814.0,14692.0,13387.0,13026.0,12459.0,11577.0,11107.0,10805.0,10613.0
02,60-64,MALE,19589.0,17885.0,16370.0,17713.0,17226.0,16486.0,14688.0,13721.0,12593.0,12281.0,11785.0,10989.0,10579.0,10326.0
02,65-69,MALE,20317.0,17225.0,15837.0,14577.0,15853.0,15504.0,14936.0,13381.0,12562.0,11604.0,11344.0,10924.0,10225.0,9880.0
02,70-74,MALE,17545.0,17670.0,15088.0,13977.0,12947.0,14162.0,13930.0,13505.0,12167.0,11483.0,10671.0,10466.0,10117.0,9505.0
02,75-79,MALE,13566.0,14716.0,14943.0,12876.0,12044.0,11247.0,12392.0,12278.0,11995.0,10882.0,10337.0,9673.0,9528.0,9255.0
02,80-84,MALE,7247.0,9613.0,10560.0,10851.0,9479.0,8989.0,8488.0,9449.0,9464.0,9352.0,8569.0,8215.0,7776.0,7708.0
02,85+,MALE,3708.0,5198.0,7070.0,8170.0,8687.0,7914.0,7631.0,7454.0,8440.0,8918.0,9131.0,8692.0,8471.0,8310.0
04,0-4,FEMALE,190528.0,190112.0,188040.0,183485.0,175742.0,167527.0,161031.0,157523.0,156163.0,154896.0,152323.0,148499.0,144448.0,141242.0
04,10-14,FEMALE,216710.0,199042.0,193037.0,193041.0,191402.0,187374.0,180107.0,172189.0,165861.0,162482.0,161274.0,160196.0,157813.0,154140.0
04,15-19,FEMALE,228464.0,217901.0,200517.0,194648.0,194773.0,193283.0,189450.0,182363.0,174552.0,168285.0,164952.0,163801.0,162796.0,160486.0
04,20-24,FEMALE,250290.0,231447.0,221171.0,204047.0,198395.0,198737.0,197518.0,194049.0,187292.0,179672.0,173512.0,170270.0,169234.0,168373.0
04,25-29,FEMALE,256625.0,255910.0,237975.0,228000.0,211252.0,205773.0,206362.0,205465.0,202403.0,195996.0,188559.0,182482.0,179310.0,178384.0
04,30-34,FEMALE,256744.0,259414.0,259833.0,242778.0,233204.0,216876.0,211547.0,212294.0,211634.0,208884.0,202766.0,195509.0,189524.0,186409.0
04,35-39,FEMALE,265015.0,259472.0,262491.0,263920.0,247741.0,238543.0,222678.0,217524.0,218442.0,218022.0,215577.0,209749.0,202683.0,196805.0
04,40-44,FEMALE,246545.0,266988.0,261485.0,264749.0,266902.0,251322.0,242460.0,227041.0,222072.0,223140.0,222901.0,220683.0,215083.0,208188.0
04,45-49,FEMALE,238063.0,247355.0,267984.0,262362.0,265833.0,268642.0,253665.0,245162.0,230203.0,225435.0,226667.0,226622.0,224642.0,219282.0
04,5-9,FEMALE,197794.0,191585.0,191466.0,189662.0,185439.0,177993.0,169970.0,163584.0,160159.0,158893.0,157741.0,155283.0,151550.0,147556.0
04,50-54,FEMALE,215742.0,236284.0,245710.0,266184.0,260454.0,264134.0,267409.0,252941.0,244741.0,230166.0,225576.0,226959.0,227089.0,225312.0
04,55-59,FEMALE,220047.0,212045.0,232772.0,242096.0,262353.0,256664.0,260554.0,264278.0,250374.0,242534.0,228416.0,224046.0,225608.0,225943.0
04,60-64,FEMALE,218049.0,216989.0,209311.0,230332.0,239677.0,259936.0,254226.0,258375.0,262625.0,249247.0,241778.0,228091.0,223950.0,225739.0
04,65-69,FEMALE,235308.0,214697.0,214061.0,206831.0,228389.0,237993.0,258482.0,252840.0,257382.0,262324.0,249543.0,242527.0,229303.0,225466.0
04,70-74,FEMALE,229135.0,230136.0,210408.0,210235.0,203599.0,225805.0,235704.0,256450.0,250929.0,255944.0,261645.0,249514.0,243020.0,230250.0
04,75-79,FEMALE,198110.0,217779.0,219945.0,201787.0,202406.0,196765.0,219373.0,229650.0,250559.0,245525.0,251146.0,257673.0,246504.0,240782.0
04,80-84,FEMALE,146346.0,173662.0,192570.0,196123.0,181170.0,183047.0,179166.0,201301.0,211827.0,232208.0,228287.0,234535.0,241925.0,232592.0
04,85+,FEMALE,111258.0,153403.0,192398.0,222542.0,236019.0,226211.0,225701.0,226007.0,253181.0,278120.0,308748.0,316673.0,327030.0,343558.0
04,0-4,MALE,200054.0,199618.0,197442.0,192660.0,184530.0,175904.0,169083.0,165400.0,163972.0,162642.0,159940.0,155924.0,151671.0,148305.0
04,10-14,MALE,225907.0,207408.0,202107.0,202188.0,200539.0,196387.0,188846.0,180612.0,174027.0,170515.0,169265.0,168149.0,165669.0,161844.0
04,15-19,MALE,238456.0,227128.0,209059.0,203935.0,204174.0,202705.0,198786.0,191468.0,183377.0,176878.0,173428.0,172244.0,171207.0,168812.0
04,20-24,MALE,264919.0,241650.0,230754.0,213152.0,208307.0,208813.0,207680.0,204201.0,197292.0,189455.0,183110.0,179779.0,178729.0,177856.0
04,25-29,MALE,275399.0,270328.0,248893.0,238599.0,221760.0,217203.0,218039.0,217328.0,214377.0,207954.0,200420.0,194249.0,191043.0,190134.0
