GEOID,SEX,2029,AGE_GROUP,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
01,FEMALE,141020.6799259897,0-4,137736.09138106933,135124.47122742858,131253.93239194422,125315.53214446089,119594.97781193415,115008.29809526393,111651.51535594522,109093.06679663569,106453.663103546,103151.6498125415,99422.94762772473,95936.74470762798,93106.63890791354
01,MALE,148071.71395119838,0-4,144622.89597835866,141880.6948165005,137816.62903844845,131581.3087773736,125574.7267270478,120758.7130236038,117234.09114663102,114547.72015883152,111776.34628054628,108309.23232431464,104394.09502949264,100733.58196267638,97761.97087239605
02,FEMALE,20400.72193250277,0-4,17629.60887067733,15900.848712508996,14853.283383712696,14008.769104615683,13123.790834170504,12223.165379851214,11487.09904146382,10928.734242914541,10502.720850949492,10143.146863975155,9798.562814016412,9469.904025747364,9192.812811308193
02,MALE,21420.75803331005,0-4,18511.08931782526,16695.891151394117,15595.947555943252,14709.207562718264,13779.980378569404,12834.323651349521,12061.453995891863,11475.170957300657,11027.856895650022,10650.304209253256,10288.490956725935,9943.39922897606,9652.453453758126
04,FEMALE,197057.12053538882,0-4,196375.06935728065,194010.2039474143,189124.3254762955,181176.370912977,173455.1911938156,168273.93431449847,166445.475326982,165872.23478461115,164597.5282918035,161820.12601890034,158023.64975342216,154413.80804646734,151997.38434277297
04,MALE,206909.9766025549,0-4,206193.8228654015,203710.71418455706,198580.5417888807,190235.18949576697,182127.95078906463,176687.63106471952,174767.74912745238,174165.8465578455,172827.40474013612,169911.13235301845,165924.83227348808,162134.4984804455,159597.25359107106
05,FEMALE,85485.96638840312,0-4,83149.69845736276,81421.50716936143,79331.03050847494,76040.02469121905,72555.81313892412,69580.04295358712,67492.30373685689,65992.86220395492,64505.93049062183,62644.48922436153,60500.15592663878,58457.055369592716,56800.20499283256
05,MALE,89760.26472534788,0-4,87307.18339727656,85492.5825445209,83297.58205016152,79842.02594136819,76183.60381074423,73059.04511553037,70866.91893753562,69292.5053276812,67731.22702837663,65776.7136984217,63525.16373537324,61379.908150056035,59640.21525411823
06,FEMALE,1070494.4044205185,0-4,1121522.9255132065,1165491.1495721887,1206593.1819222162,1224560.17686844,1222942.6164611357,1227591.7392247305,1252310.0253478577,1286522.1613490575,1317737.0424696095,1339317.0695267546,1350528.6303799227,1355315.1950514414,1361075.708558828
06,MALE,1124019.1248609957,0-4,1177599.0720187789,1223765.7072897234,1266922.8412656784,1285788.1859628966,1284089.7475348953,1288971.3264376232,1314925.5268719739,1350848.2696802472,1383623.8948632258,1406282.923277652,1418055.0621757768,1423080.9550818529,1429129.4942657896
08,FEMALE,160758.80436943003,0-4,157620.24198518987,151797.14290164414,147040.81752101128,142191.26079804366,137862.30036723838,134739.84497857583,133713.26918528494,132872.34493258587,131057.49348284371,128524.06205230048,125704.93156422906,123076.2925532654,121144.6457348742
08,MALE,168796.74462085706,0-4,165501.25411676147,159387.0000778447,154392.85842720518,149300.82386709502,144755.41541386204,141476.83725512627,140398.93267196036,139515.96220645396,137610.36818385264,134950.26518126292,131990.17816821,129230.1072061593,127201.87804645252
09,FEMALE,88509.0749631458,0-4,87235.386737165,86857.52184525132,85143.71710562997,80400.59453444638,75972.21847278316,72994.99983729934,71624.31162129286,71031.38387841592,70425.61455170606,69117.9218681321,66957.02860772298,64651.238575188545,62926.883305259835
09,MALE,92934.52872944744,0-4,91597.15609190648,91200.39795531966,89400.90297836594,84420.6242776508,79770.8294119966,76644.74984412827,75205.52721704046,74582.95308689814,73946.89529372861,72573.81797570788,70304.8800518353,67883.80051720145,66073.22748342282
10,FEMALE,27520.270398070268,0-4,27744.021862943922,28223.71119738482,28596.28930264806,28010.663906229085,27031.075857255506,26312.89698659538,26052.35271510489,26031.278017057666,26014.875999928663,25795.25492110179,25317.404280029274,24736.830448816483,24266.10187158714
10,MALE,28896.283923615432,0-4,29131.222961778636,29634.896763039917,30026.103773642695,29411.19710728272,28382.629655659646,27628.541841319286,27354.97035620086,27332.841923246957,27315.619805258142,27085.0176724449,26583.274499220795,25973.671976328355,25479.40697014104
11,FEMALE,20203.546778691038,0-4,20155.06203057167,19276.907524064387,18442.245874114455,17752.911125076338,17140.285972107038,16641.972393463275,16326.324104550738,16170.192471959828,16042.088340360246,15849.091712695432,15583.717798065303,15272.765970774464,14987.001918677037
11,MALE,21213.724121767315,0-4,21162.815136232035,20240.75290421937,19364.358171600834,18640.5566849695,17997.300274226145,17474.071016548038,17142.64031312517,16978.702098872705,16844.19276066688,16641.546301579263,16362.903691163227,16036.4042724441,15736.35201768322
12,FEMALE,574019.3987364083,0-4,563792.6926826751,558785.9435436452,557221.6147392527,551808.2678754104,544325.7563805686,538805.6825923503,537140.0994404898,536363.473395632,535142.9197272315,532630.5175306493,528631.630641433,524151.41678230674,520682.41785266064
12,MALE,602720.3687909027,0-4,591982.3274323862,586725.2408353785,585082.6955904457,579398.6813823014,571542.0443111837,565745.9668324228,563997.1045226278,563181.647175368,561900.0658232971,559262.0435163709,555063.2122818739,550358.987728873,546716.5388520334
13,FEMALE,309738.76073255436,0-4,301149.18077405245,294775.4540884252,288455.10214753804,277861.16542698984,265810.15989542595,255448.7758015428,248677.0061669443,243957.99474020346,239484.682799067,233940.3151774772,227226.05874700076,220400.17530829326,214667.15079131417
13,MALE,325225.69883267843,0-4,316206.6398744906,309514.2268532754,302877.8573140482,291754.2237553008,279100.6679446883,268221.21464398684,261110.85652627028,256155.89452722497,251458.91698811465,245637.3309843088,238587.36173093208,231420.18411888994,225400.5083748866
15,FEMALE,38404.07050283884,0-4,37201.37870681971,36501.85060657991,36111.63717769067,35526.38642211574,34663.64337502702,33719.82078049687,33195.4474537849,33000.8312316544,32846.26212700854,32559.75380744708,32122.82802835631,31617.204900921322,31200.862775146972
15,MALE,40324.2740358536,0-4,39061.44764978697,38326.94314439178,37917.21904397808,37302.70575050443,36396.825550884416,35405.81182643427,34855.2198332792,34650.87280000229,34488.57524009244,34187.74150449417,33728.9694363593,33198.06515244891,32760.905920300494
16,FEMALE,55857.95221831249,0-4,56047.19093653229,56927.82552784217,56510.519244121315,53734.11223059455,50411.56780113281,48153.5847155689,47434.050065804084,47458.24320046824,47285.15552027531,46323.88676834641,44737.7210505049,43179.08940586003,42179.77766401095
16,MALE,58650.84984067898,0-4,58849.55049484857,59774.216815904474,59336.045217912026,56420.81785313976,52932.14620152381,50561.26396121882,49805.752578818254,49831.155370220586,49649.41330598252,48640.081116260124,46974.60711220137,45338.04388500474,44288.76655585834
17,FEMALE,319993.0343622076,0-4,313929.6254971162,306667.53330344154,297125.5048165409,283319.93654132815,268795.9605854279,255105.27794653966,246900.3134956645,242603.3670539654,238598.63749251046,232890.5216868472,225446.8673397855,217579.71896156564,210839.37933338466
17,MALE,335992.68614591646,0-4,329626.1068363275,322000.91003148037,311981.78011827864,297485.9334264751,282235.7586698024,267860.54189616314,259245.32922106227,254733.53545639734,250528.56941604867,244535.04781893207,236719.21075299132,228458.7049542477,221381.3483432759
18,FEMALE,193438.1692775139,0-4,190655.1644661752,189010.1476078588,185167.51794137908,178079.578249731,170062.39204616836,162931.47548164334,158346.2644816968,155671.7389879105,153079.7366660221,149197.60150949747,144109.85234807688,138904.49739085065,134611.58696262463
18,MALE,203110.07778104438,0-4,200187.92272856823,198460.65502699878,194425.89387640735,186983.55719872384,178565.51168333952,171078.04928912641,166263.57773824257,163455.32596921868,160733.72353070453,156657.4816155578,151315.34499502322,145849.72228886856,141342.16633835118
19,FEMALE,89576.55979248759,0-4,91378.09483325019,94154.64284436131,93528.20283742472,89497.0435660072,84862.13151616993,81156.9053050356,79903.86914877717,80367.31447863673,80637.61530328167,79277.54394586613,76512.19375996795,73550.83195186715,71470.7930856799
19,MALE,94055.38780047515,0-4,95946.99959364519,98862.37500588105,98204.61299846921,93971.89576265443,89105.23810937513,85214.75058692452,83899.0626225963,84385.68021904386,84669.49608497645,83241.42115941133,80337.80346365132,77228.37356453841,75044.3327546154
20,FEMALE,83550.63800064965,0-4,83711.11504851542,84216.81864945308,82625.14890958388,78975.3057291876,74950.69668304635,71815.50973297136,70280.7832732808,69772.32968123029,69125.47818632165,67566.82494413799,65254.80112605456,62922.88925979246,61188.58225043027
20,MALE,87728.16991781,0-4,87896.67081810196,88427.65959919016,86756.4063720012,82924.0710318369,78698.23153256354,75406.2852343421,73794.82245135239,73260.9461795951,72581.75210980844,70945.16620519606,68517.5411957345,66069.03373568125,64248.01137549543
21,FEMALE,128158.23250535292,0-4,125263.96948081949,123086.82983594088,120550.77066752566,116616.31245053813,112335.09079741908,108407.42595215616,105425.42066673972,103244.8523265192,101170.09410402604,98650.02381017155,95693.29086233467,92740.10045924084,90194.47601484152
21,MALE,134566.144156893,0-4,131527.16798053955,129241.17135297069,126578.30922561484,122447.12809697136,117951.84536031871,113827.79727198748,110696.6917216889,108407.09496401034,106228.59882996717,103582.52502090335,100477.95542506852,97377.10550121458,94704.19983407344
22,FEMALE,133134.12600995068,0-4,129531.78290164385,127693.27824077435,125665.68658543518,121754.01932828363,117199.42752147057,113037.48081576164,110011.47715862795,108039.97696133955,106345.04277087098,104170.20869627061,101428.01188626004,98611.44958079893,96242.82027829281
22,MALE,139790.83233774066,0-4,136008.37207328,134077.94217899017,131948.97094046837,127841.72031965737,123059.39892156994,118689.35487972239,115512.05103911168,113441.9758315547,111662.29493121523,109378.71915243901,106499.41250136576,103542.0220800542,101054.96131193721
23,FEMALE,29693.234267984502,0-4,28310.48344349891,27302.79271602076,26391.640036078716,24793.683793461903,23184.00539530281,21952.562390381787,21247.910675672585,20726.214301275573,20164.861392930037,19446.433354052322,18565.427256719726,17702.791481307275,17039.40532374559
23,MALE,31177.895987470834,0-4,29726.0076214775,28667.932357418864,27711.222043292935,26033.3679882177,24343.20566982067,23050.190514401147,22310.306213812033,21762.525020588222,21173.10446671033,20418.75502574145,19493.698623361623,18587.931059001705,17891.375593425942
24,FEMALE,169097.18184196932,0-4,163005.4744986421,159087.03262957442,157715.30404263674,154887.25787093205,150360.15906553005,145290.8675938269,141671.61175637954,139219.08168209955,137381.9953708017,135533.09021876907,133150.00768226446,130269.15108957187,127484.37879624813
24,MALE,177552.04096873268,0-4,171155.74825699028,167041.38429366593,165601.06927710018,162631.62079623048,157878.16704963034,152555.41100330284,148755.19237324115,146180.0357947444,144251.09516750506,142309.74475749175,139807.50809367342,136782.6086707556,133858.59776219478
25,FEMALE,173773.33983964863,0-4,176398.265500067,177450.83962630964,173506.19592958325,163093.04921666623,154531.52759274642,150127.36081890977,149194.93921264057,149739.8233304134,149781.57347210695,147837.72575041896,143813.48267829674,139454.12270558087,136445.6870742585
25,MALE,182462.00686725456,0-4,185218.17881123198,186323.3816440025,182181.50576163112,171247.7017109336,162258.10400406268,157633.72889063135,156654.68620385753,157226.8145276307,157270.65217641747,155229.61206824664,151004.1568416933,146426.82886944796,143267.97145594272
26,FEMALE,252332.87993060576,0-4,247778.21780923114,243426.65032995655,236424.5319618403,225934.49815825638,214670.19050879456,204134.7769439791,197501.1700017762,193692.67314863557,190074.41965224798,184971.96204135343,178428.01701815214,171633.57144360326,165872.47796000683
26,MALE,264949.5239788642,0-4,260167.1287504872,255597.98289635679,248245.75860839925,237231.22311248572,225403.70007824167,214341.51583302565,207376.2285423527,203377.3068457743,199578.1406738256,194220.56018134032,187349.41790563744,180215.2500509683,174166.10189201098
27,FEMALE,156935.87966511695,0-4,153613.7027918425,153026.62793938306,152205.69501828332,148151.34796935093,141780.41584266847,134627.61872092326,130398.92315832268,128719.32027971835,128009.56294056524,126480.23455269852,123303.02680171911,119053.08706102497,115052.7761590235
27,MALE,164782.6736805446,0-4,161294.3879629254,160677.95936772265,159815.97980039963,155558.91539818948,148869.43666386686,141358.99968456806,136918.86934297057,135155.2863200917,134410.04111383544,132804.24630626186,129468.17816708217,125005.74143848207,120805.41499056047
28,FEMALE,81986.37047470387,0-4,80953.07881056191,79897.88883042199,77413.59351391337,73350.33863104606,69518.61797493893,66675.00380149292,64792.164596428884,63421.51410210776,61826.35525923059,59671.12343505986,57257.3507630684,55103.11092743447,53445.770820300466
28,MALE,86085.68901524626,0-4,85000.73276768537,83892.78328832214,81284.27320547879,77017.85557763517,72994.54888793717,70008.75400523593,68031.7728395327,66592.58982021453,64917.673034866515,62654.67961904542,60120.21831295958,57858.26648510232,56118.059372271855
29,FEMALE,167978.2731840301,0-4,164440.5533436039,162507.1399626547,159447.65305984145,153474.00015011826,146513.02841474794,140279.08296754636,136400.45428555054,134155.97594652785,132048.3859240976,128916.17885778834,124724.1036350499,120388.7035866107,116853.3959998807
29,MALE,176377.18687766712,0-4,172662.5810444944,170632.49699410136,167420.03574552026,161147.70018908632,153838.67986552048,147293.03714468086,143220.47702779016,140863.7747713562,138650.80524737234,135361.98782710553,130960.30884237081,126408.1387906209,122696.06582382965
30,FEMALE,27396.057442459598,0-4,26624.2692132381,26266.69526778281,25856.112021658126,24955.461430560084,23665.49389873222,22406.726410084775,21655.683150180288,21258.286148958865,20938.678548907406,20486.36353434069,19832.410658196746,19088.83309268798,18450.75106228576
30,MALE,28765.86032019876,0-4,27955.482679357974,27580.030036556615,27148.917628041527,26203.234507203953,24848.768598520248,23527.06273518239,22738.467312128716,22321.20046076475,21985.6124806452,21510.681715257422,20824.031195172225,20043.274751235585,19373.288619182447
31,FEMALE,60246.21525422813,0-4,60832.054889571045,62025.79735546357,61740.4073399962,59932.84369959272,57506.057886628834,55330.8916135053,54525.718165687635,54724.102782778944,54928.89204027008,54326.990142821815,52925.27936316677,51301.978939093446,50095.01135675228
31,MALE,63258.52602929,0-4,63873.65764652015,65127.08723595202,64827.427719652784,62929.485896858576,60381.360792749,58097.43620552338,57252.00408514978,57460.30793313631,57675.336653544,57043.339661099926,55571.54334217477,53867.07789656501,52599.761934859365
32,FEMALE,83822.12916261496,0-4,80280.28201302065,77591.60331174122,76152.696021758,74442.01059683996,72110.86721452806,69835.90293444152,68589.96778306666,68051.98592203083,67643.30728941182,67004.83365200816,66065.7648527568,65025.86396301889,64247.953535092136
32,MALE,88013.23563792923,0-4,84294.29613012912,81471.18349323454,79960.33083845719,78164.11114194256,75716.41059003718,73327.69809547994,72019.46618628093,71454.58523208302,71025.47266774927,70355.07534834456,69369.0531089381,68277.15717450013,67460.35122501756
33,FEMALE,30620.440514143807,0-4,29875.36162830714,29464.614740864337,28745.925703578105,26984.594321632663,25391.266742723394,24393.425918607674,23990.686644120837,23769.06431560205,23475.617344011524,22873.11518151126,21940.05114269698,21009.974527464332,20365.372939719677
33,MALE,32151.462546128176,0-4,31369.12971584694,30937.845483947796,30183.22199464992,28333.824043246135,26660.830085064765,25613.097219538704,25190.220981244962,24957.517536254803,24649.398216024598,24016.77094527581,23037.053704329534,22060.47325814459,21383.641590880557
34,FEMALE,258519.39302470555,0-4,247798.9944752632,235796.92796100563,226312.80283597496,219566.09305615138,213685.41889823775,207812.02741601528,203385.24753861994,198986.94719299464,193985.62508908944,188969.66782893392,184459.55088838606,180482.3859580249,177031.33853696467
34,MALE,271445.36272893724,0-4,260188.9442498251,247586.7744073942,237628.44302416776,230544.39775396997,224369.6898869551,218202.6288294175,213554.50995724488,208936.2945934367,203684.9063833109,198418.15125911933,193682.52847061952,189506.505292925,185882.90550010427
35,FEMALE,51626.031422817796,0-4,50565.365512200406,49571.2751327109,47795.15716137631,44849.42459533156,41819.60946294376,39627.619380735174,38470.067567999096,37789.826752598754,36984.88924573896,35794.53211560615,34367.68460558217,33053.1203139385,32103.752082743424
35,MALE,54207.333004542015,0-4,53093.63379817632,52049.83889950855,50184.91502924312,47091.89583429226,43910.58994466395,41609.00035789559,40393.5709542854,39679.3180979756,38834.1337156078,37584.25872872433,36086.06884290665,34705.77633641131,33708.939693461856
36,FEMALE,524048.0515562989,0-4,530590.1085926942,528211.6232533382,521200.2032030021,510446.33963106986,501175.5815254209,496655.83127669507,498071.06723750615,501125.37713741005,501886.0060382956,498968.092415722,493758.23669528036,488610.21902570705,485392.86608571187
36,MALE,550250.4542415435,0-4,557119.6141310998,554622.2045242883,547260.2134699982,535968.6567172647,526234.3607044328,521488.6229423441,522974.6207014859,526181.6460970112,526980.306443097,523916.49713879643,518446.1486312647,513040.7300771574,509662.5094895028
37,FEMALE,305428.5614002121,0-4,299726.7193947638,294096.321626724,287221.4362775282,276042.0613141058,266146.1931918394,259695.60336925247,255976.35506937714,252757.7859250372,248719.5989891884,243271.0930267754,236871.53838424245,230956.93310870352,226541.56038322812
37,MALE,320699.98953283555,0-4,314713.05542594596,308801.13776834984,301582.50815028494,289844.16443639965,279453.5029059913,272680.3835909526,268775.1728753211,265395.67527310434,261155.57898963534,255434.64772798467,248715.11535201318,242504.7798114848,237868.63844883052
38,FEMALE,25097.852944286424,0-4,27150.18744287804,29220.161280404143,29787.956925620652,29189.831395824138,28377.354088611268,27858.242088713036,28211.702012393212,29130.35932957008,29901.35855304043,29998.304861322544,29503.28132172458,28860.12010120982,28502.34015646128
38,MALE,26352.7455966458,0-4,28507.696820587724,30681.16935041448,31277.354778008208,30649.322971599257,29796.221798859187,29251.154198859622,29622.28711879627,30586.8773020203,31396.426486822227,31498.220110538317,30978.445393858972,30303.126112186626,29927.457170127316
39,FEMALE,314116.31321245595,0-4,304400.00973707624,297437.36112928856,291980.54083989933,282573.53033576126,271033.07504577085,259339.67931194796,250579.3296511635,244625.71066960023,239697.81471548107,234064.33537591872,227012.17401912488,219343.62655938003,212388.4412179819
39,MALE,329822.12893747253,0-4,319620.010286332,312309.22924672754,306579.5679417503,296702.20691047685,284584.7288536211,272306.66333070997,263108.2961850904,256856.99625322846,251682.70550039312,245767.55219269777,238362.7827666186,230310.80793231443,223007.86332242057
40,FEMALE,118927.0414416164,0-4,118719.27330595147,119411.6632910548,118562.61450872578,114870.83437107784,110315.48079861252,106937.30634802817,105610.72107851539,105409.5489891361,104953.20179486713,103403.41283977957,100990.29714314926,98637.71269366813,97081.12560739703
40,MALE,124873.39353807723,0-4,124655.23699558647,125382.2464800869,124490.74525846739,120614.37611318023,115831.2548611578,112284.1716873517,110891.25715409132,110680.02646020186,110200.86190612587,108573.58350296624,106039.81202100973,103569.59834857224,101935.18190766849
41,FEMALE,98957.96938194016,0-4,95722.60499833201,92518.86318063218,89672.80895047562,85908.816999539,81616.82768019804,77999.6721479112,75985.99626939342,74809.18154779551,73586.40062721263,72018.77480688869,70128.77577044691,68181.02900488858,66607.34196184907
41,MALE,103905.86787132353,0-4,100508.73526787173,97144.80635863013,94156.4494163823,90204.25786712723,85697.66908093938,81899.65577129666,79785.2960984402,78549.64064052115,77265.72067365846,75619.71356199696,73635.21457334563,71590.08046911011,69937.70907359601
42,FEMALE,322195.637969244,0-4,316349.18121769425,315143.4620433691,313508.0673238478,302136.34925617784,288405.4087441471,277101.0638079785,270720.9022761611,267475.8800688996,264932.21484939,260761.41781638534,254049.54237214956,246414.41265328904,240037.396171037
42,MALE,338305.41993375623,0-4,332166.64034343045,330900.6352101419,329183.47075430927,317243.16678092466,302825.6792404775,290956.11705518316,284256.94744546694,280849.67412717704,278178.8256461706,273799.48876066064,266752.0195428371,258735.13333646837,252039.26602879647
44,FEMALE,25725.106248668424,0-4,25745.342226920548,25904.447012681572,25487.173990108247,23771.5031826666,22226.24286196149,21328.771791266972,20984.631260524173,20907.16216027662,20799.874394528866,20397.280456170443,19686.15817886364,18950.47481465014,18443.81101833251
44,MALE,27011.361566375483,0-4,27032.609343544365,27199.66936862606,26761.532694838523,24960.078346673083,23337.55500961594,22395.210385202714,22033.862827852226,21952.520272576417,21839.868118519276,21417.144483160402,20670.46609184248,19897.998559267493,19366.001573030117
45,FEMALE,144695.70670555392,0-4,142590.56158712856,142068.21648177117,140785.7621860273,135990.01303606626,130448.03948423364,126365.80457841883,124093.88375746278,122755.29429078041,121353.86464370857,119059.11216821986,115870.88301416046,112631.95307694773,110123.85833461779
45,MALE,151930.49207049422,0-4,149720.08969571601,149171.6273349837,147825.0503241897,142789.51371574748,136970.44148518713,132684.09483324474,130298.57797077514,128893.05903048423,127421.55790077153,125012.06780103795,121664.427188622,118263.55075388464,115630.05127392405
46,FEMALE,27501.41652143621,0-4,27589.324378193018,28243.350672263365,28529.135949986172,28056.014355509436,27086.16307282686,26056.438513009118,25584.206802167035,25678.47860804328,25905.61138751991,25808.26303445184,25281.916563361974,24559.23811270816,23977.60015618367
46,MALE,28876.487353145803,0-4,28968.790602758472,29655.51821166642,29955.592753333953,29458.81507903638,28440.471232020864,27359.26044400114,26863.417147520144,26962.40254370953,27200.891962206555,27098.67619146512,26546.01239671286,25787.200023378206,25176.480168908256
47,FEMALE,203727.76975276304,0-4,195672.21030064678,187823.30943887855,181111.9002525771,174661.63892749915,169144.2711111783,164142.24894394825,159649.83041555987,155252.8524461161,150822.52537232632,146385.31665427028,142056.21651099587,138069.123431714,134554.8547973502
47,MALE,213914.1582821653,0-4,205455.82085579186,197214.47494932622,190167.49530233382,183394.72090967972,177601.48470141177,172349.3614247948,167632.32196906605,163015.4951002487,158363.6516718612,153704.58251699276,149159.02736566716,144972.57963160385,141282.59756480143
48,FEMALE,991083.4584952561,0-4,1000197.4924196281,1013936.8653006634,1026082.4673195479,1025757.7577402141,1019095.5309678642,1016468.2534472314,1024017.1926315408,1035956.1798572793,1046312.3870382629,1051170.2317912483,1050628.6255419499,1048558.2076256461,1049204.2079760064
48,MALE,1040637.631623191,0-4,1050207.3672456497,1064633.7087735534,1077386.5908958719,1077045.645837505,1070050.3077251718,1067291.6663279687,1075218.0524730412,1087753.989062514,1098628.0066046698,1103728.7435963002,1103160.0570344261,1100986.1182218827,1101664.4185898933
49,FEMALE,117814.38160148247,0-4,124832.88237225493,129530.44903033494,128801.43108548109,123771.70939834537,118244.9349296075,115712.64779271277,117041.59555179949,119820.60916873983,121203.31176610642,119935.52425626208,116930.38358492403,114175.56220686766,113117.12937700159
49,MALE,123705.10070570851,0-4,131074.5265164584,136006.9715084054,135241.5026661594,129960.29489363582,124157.18170032804,121498.28020606947,122893.67535338296,125811.63965174001,127263.47737925839,125932.30049366195,122776.90278814093,119884.340340617,118772.98586904065
50,FEMALE,13032.13024729236,0-4,13301.707700574805,14108.693648313529,14420.04535615022,13573.21465124076,12500.034320226869,11748.499595652844,11475.500364710957,11535.909320307741,11654.136807520772,11562.301829783572,11176.65734704021,10682.105052763949,10305.366425757236
50,MALE,13683.736762328563,0-4,13966.793088330392,14814.128333621486,15141.047626913836,14251.875386585301,13125.036038800718,12335.924577843927,12049.275385298979,12112.704788687985,12236.843650285906,12140.416923643019,11735.490216683433,11216.210307591975,10820.634749157698
51,FEMALE,238563.24189628309,0-4,236467.17792261942,235694.46965341613,234431.5715471579,229336.53937410115,223276.83574454003,217946.0611429131,215386.70480963556,214436.2381400357,213569.8208173572,211626.87069400377,208354.66525297717,204586.01144648017,201462.10917741503
51,MALE,250491.40404000267,0-4,248290.53686722612,247479.19318440423,246153.1501725742,240803.36638982015,234440.67757753874,228843.36424473766,226156.0400942716,225158.0500909969,224248.31190200683,222208.21427208744,218772.39855833873,214815.31206074427,211535.21467758543
53,FEMALE,213351.20113152725,0-4,205851.78258420186,197485.25794274508,192887.55304408568,189801.6647303052,186094.76741188904,182073.61760407028,179668.38463533472,177683.33675829513,175305.46484886162,172781.8983906312,170205.26264107073,167584.59345650018,165319.9935802443
53,MALE,224018.7612318406,0-4,216144.37175561153,207359.52088036676,202531.93073583188,199291.74800572978,195399.50582063285,191177.29852159883,188651.80390393344,186567.50363263497,184070.73812724228,181420.99334558297,178715.5258080163,175963.82316368,173585.9932931471
54,FEMALE,40990.895984417606,0-4,40719.77506466978,40484.68398740458,39411.94795840866,37299.846942297845,35063.13902310028,33432.661282628666,32532.70354845038,31999.357937938075,31331.667383629545,30292.10853961225,29022.016555610473,27845.137253943933,26966.611995437088
54,MALE,43040.44079204161,0-4,42755.76382625082,42508.91819507416,41382.54536440853,39164.8392970592,36816.29598144323,35104.29435361378,34159.3387325421,33599.325841394835,32898.250759234004,31806.71397280274,30473.117389340507,29237.394122349375,28314.942600737093
55,FEMALE,149834.04831091926,0-4,150098.05108350585,151543.16465532797,148296.042871245,140381.85048337266,131970.51248139035,124973.87135294412,121859.65140294522,121071.61793227418,120147.60690452022,117194.10098656263,112362.96829200562,107213.05452899815,103194.4511297412
55,MALE,157325.75075718114,0-4,157602.9536684512,159120.3229191607,155710.8450452079,147400.94303631954,138569.03813251382,131222.5649462109,127952.6339980737,127125.19885370754,126154.98727437644,123053.80605991553,117981.11672964029,112573.70727742671,108354.17370738309
