GEOID,AGE_GROUP,SEX,2029,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
01,0-4,FEMALE,141021.0,137736.0,135124.0,131254.0,125315.0,119595.0,115008.0,111651.0,109093.0,106454.0,103152.0,99423.0,95937.0,93106.0
01,10-14,FEMALE,155435.0,146082.0,140257.0,137134.0,134657.0,130950.0,125182.0,119597.0,115115.0,111858.0,109386.0,106828.0,103607.0,99954.0
01,15-19,FEMALE,158517.0,155273.0,145950.0,140205.0,137097.0,134633.0,130957.0,125230.0,119676.0,115217.0,111983.0,109531.0,106994.0,103796.0
01,20-24,FEMALE,180149.0,164119.0,160700.0,151017.0,145398.0,142265.0,139795.0,136125.0,130339.0,124685.0,120138.0,116880.0,114435.0,111905.0
01,25-29,FEMALE,172379.0,179907.0,164282.0,160834.0,151199.0,145807.0,142730.0,140305.0,136723.0,131046.0,125474.0,120990.0,117800.0,115417.0
01,30-34,FEMALE,163347.0,170201.0,177577.0,162435.0,159041.0,149582.0,144419.0,141430.0,139079.0,135614.0,130090.0,124651.0,120272.0,117173.0
01,35-39,FEMALE,175256.0,161158.0,167748.0,174977.0,160358.0,157040.0,147794.0,142879.0,139997.0,137735.0,134401.0,129047.0,123758.0,119498.0
01,40-44,FEMALE,168092.0,174073.0,160233.0,166726.0,173906.0,159595.0,156349.0,147231.0,142471.0,139669.0,137476.0,134227.0,128972.0,123768.0
01,45-49,FEMALE,165460.0,166570.0,172653.0,159096.0,165514.0,172664.0,158688.0,155538.0,146572.0,141983.0,139276.0,137166.0,134014.0,128867.0
01,5-9,FEMALE,146278.0,140360.0,137219.0,134725.0,130985.0,125174.0,119556.0,115050.0,111769.0,109276.0,106697.0,103452.0,99775.0,96331.0
01,50-54,FEMALE,155111.0,162805.0,164091.0,170247.0,157032.0,163445.0,170612.0,156997.0,153990.0,145236.0,140828.0,138239.0,136232.0,133195.0
01,55-59,FEMALE,162799.0,151410.0,159199.0,160675.0,166918.0,154159.0,160572.0,167756.0,154586.0,151766.0,143283.0,139096.0,136658.0,134782.0
01,60-64,FEMALE,159850.0,157348.0,146663.0,154575.0,156321.0,162713.0,150570.0,157031.0,164268.0,151662.0,149102.0,140974.0,137075.0,134847.0
01,65-69,FEMALE,168354.0,152234.0,150374.0,140580.0,148623.0,150699.0,157272.0,145900.0,152433.0,159736.0,147828.0,145600.0,137912.0,134363.0
01,70-74,FEMALE,155165.0,157308.0,142850.0,141706.0,132962.0,141066.0,143484.0,150203.0,139749.0,146369.0,153731.0,142627.0,140797.0,133640.0
01,75-79,FEMALE,124586.0,139669.0,142470.0,130182.0,129973.0,122610.0,130749.0,133593.0,140478.0,131257.0,137992.0,145417.0,135386.0,134098.0
01,80-84,FEMALE,88566.0,104557.0,118408.0,121933.0,112504.0,113430.0,107892.0,115981.0,119356.0,126391.0,118898.0,125692.0,133117.0,124646.0
01,85+,FEMALE,66854.0,87992.0,108817.0,127395.0,136728.0,131628.0,131736.0,129837.0,140800.0,151063.0,162946.0,161258.0,167394.0,179225.0
01,0-4,MALE,148072.0,144623.0,141881.0,137817.0,131582.0,125575.0,120759.0,117234.0,114548.0,111777.0,108310.0,104394.0,100734.0,97762.0
01,10-14,MALE,161707.0,151772.0,147137.0,143913.0,141356.0,137505.0,131487.0,125651.0,120973.0,117576.0,115001.0,112332.0,108966.0,105143.0
