GEOID,AGE_GROUP,SEX,POPULATION_REMAINDER
01,0-4,FEMALE,0.4903827706730226
01,10-14,FEMALE,0.23208692783373408
01,15-19,FEMALE,0.14318217319669202
01,20-24,FEMALE,-0.03364518169837538
01,25-29,FEMALE,0.18625732789223548
01,30-34,FEMALE,-0.03462375116941985
01,35-39,FEMALE,0.22372833138797432
01,40-44,FEMALE,0.398829061203287
01,45-49,FEMALE,0.4444654482649639
01,5-9,FEMALE,-0.1759435063431738
01,50-54,FEMALE,-0.07050912402337417
01,55-59,FEMALE,0.477141561510507
01,60-64,FEMALE,0.3877031043812167
01,65-69,FEMALE,-0.4032741581031587
01,70-74,FEMALE,0.18843301630113274
01,75-79,FEMALE,0.3173630208475515
01,80-84,FEMALE,0.2577064027573215
01,85+,FEMALE,0.23224503998062573
01,0-4,MALE,0.3089267549221404
01,10-14,MALE,0.009065547390491702
01,15-19,MALE,0.2113529979105806
01,20-24,MALE,-0.3232233461603755
01,25-29,MALE,-0.09482975893479306
01,30-34,MALE,0.4785125287453411
01,35-39,MALE,0.23882726400916
01,40-44,MALE,-0.029859386049793102
01,45-49,MALE,0.3730998489772901
01,5-9,MALE,-0.27594046197191346
01,50-54,MALE,-0.33984524870174937
01,55-59,MALE,0.09717494089272805
01,60-64,MALE,-0.470841732021654
01,65-69,MALE,-0.3599658946041018
01,70-74,MALE,-0.13885021759779193
01,75-79,MALE,0.4901679305767175
01,80-84,MALE,0.2644434366666246
01,85+,MALE,0.48841451687621884
02,0-4,FEMALE,-0.10668702286602638
02,10-14,FEMALE,0.020481484551055473
02,15-19,FEMALE,0.11586582029121928
02,20-24,FEMALE,-0.24043926855301834
02,25-29,FEMALE,0.048889203873841325
02,30-34,FEMALE,-0.28970357886646525
02,35-39,FEMALE,-0.25800641273781366
02,40-44,FEMALE,-0.4960564678258379
02,45-49,FEMALE,-0.05366384995249973
02,5-9,FEMALE,-0.15562069424777292
02,50-54,FEMALE,0.1249516122006753
02,55-59,FEMALE,-0.17306289024963917
02,60-64,FEMALE,-0.0971672925297753
02,65-69,FEMALE,-0.308823589439271
02,70-74,FEMALE,-0.15813788173545618
02,75-79,FEMALE,0.45499507230306335
02,80-84,FEMALE,0.33997069289762294
02,85+,FEMALE,0.11205715166215668
02,0-4,MALE,-0.4655378725819901
02,10-14,MALE,-0.040491045107046375
02,15-19,MALE,0.4205759871711052
02,20-24,MALE,0.14531236693437677
02,25-29,MALE,0.1106732022963115
02,30-34,MALE,0.4145450932737731
02,35-39,MALE,0.3895348701207695
02,40-44,MALE,-0.14432258903616457
02,45-49,MALE,0.4147863277976285
02,5-9,MALE,-0.059849979805221665
02,50-54,MALE,0.2113047800194181
02,55-59,MALE,-0.37869321849939297
02,60-64,MALE,-0.19927101132270764
02,65-69,MALE,-0.09490804915367335
02,70-74,MALE,-0.250524538974787
02,75-79,MALE,0.2896384050582128
02,80-84,MALE,0.11800204004703119
02,85+,MALE,0.09076039749015763
04,0-4,FEMALE,-0.1030807165952865
04,10-14,FEMALE,0.21677170592010953
04,15-19,FEMALE,0.3068151228071656
04,20-24,FEMALE,-0.1764367779251188
04,25-29,FEMALE,-0.2746334596595261
04,30-34,FEMALE,0.4941846966394223
04,35-39,FEMALE,-0.15988427866250277
04,40-44,FEMALE,0.48309488463564776
04,45-49,FEMALE,-0.05017896430217661
